,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-12-23,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1614261947.0,,,,,,,1500000000.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,,,,,,,,,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2020-12-24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1614261949.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,,,,,,,,,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
2,2020-12-25,33995.0,257.0,10078.0,11646.0,41.0,8455.0,10962.0,11.0,1524.0,13978.0,12126.0,11914.0,11698.0,8961.0,63.0,10290.0,355.0,11096.0,2194.0,11.0,,,,,,,,,1614261962.0,,,,,,,0.0,,0.987097847779,5.100347686021999,,5.100347686021999,,,,,,,,,,,7.7868269e-05,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1490176616.7843115,1499993748.0078106,1499999982.4234846,1480646771.6685722,1499884175.8004022,1499999519.69075,1468950340.281965,1495407986.8762558,1499999999.889377,1499999998.826596,1499999988.8509443,1499999676.8172321,1499996306.162621,1499942694.6749086,1483314182.0348754,1491352664.5669835,1496224500.8946326,1468950340.281965,,,,,,,,,1485818411.333731,1495207147.7571824,1487437712.9647474,1500000000.0,1500000000.0,75207.0,0.870451388889,86535.0,294097597.3287089,,4124.601540048521,,671.8080814907432,,0.23794826284499998,,
3,2020-12-26,12305.0,184.0,10324.0,13015.0,34.0,8155.0,11927.0,11.0,1178.0,16287.0,13791.0,13458.0,13118.0,8764.0,47.0,10665.0,247.0,12150.0,1762.0,11.0,9145.0,58.0,10998.0,354.0,4.0,12505.0,4711.0,14.0,1614261968.0,155682203.74949202,17.963154213091,17.963154213091,2428992153.36216,2428992153.36216,135220803.9049137,0.0,0.0,0.9902942262989999,12.716128042522,,12.716128042522,,6.115733579230895e-05,1.6193281022414399,,,,,,,,0.00010184835800000001,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1491570245.0709038,1499989204.5532935,1499999969.3674376,1485441339.448715,1499848123.769728,1499999233.7760165,1475789525.6183674,1495491364.603203,1499999999.8302069,1499999998.3458648,1499999982.075775,1499999499.9793713,1499993349.1856802,1499918832.4290512,1487046249.1262805,1492329045.6812437,1496198794.5190544,1475789525.6183674,1499999786.2830374,1499995970.3659213,1499949231.621108,1487876690.1387048,1493174748.1349196,1447024958.8265123,1498293871.2947845,1477953222.046422,1489750459.017139,1496060351.2361648,1491199598.961529,1500000000.0,1500000000.0,27081.0,0.3134375,33665.0,117960435.36083202,191016647.93243012,4792.269327578517,7760.25639565758,676.9722511784005,1096.2401907708354,0.345502760787,,
4,2020-12-27,6016.0,182.0,10284.0,13158.0,39.0,8009.0,11953.0,11.0,1149.0,16670.0,13977.0,13624.0,13265.0,8645.0,52.0,10662.0,247.0,12204.0,1734.0,12.0,8718.0,55.0,10715.0,260.0,3.0,12283.0,1861.0,12.0,1614261972.0,103095748.26892488,16.880110924255,16.880110924255,1608525300.63852,1608525300.63852,95291157.02238819,0.0,0.0,0.990327795581,18.195670173575,,18.195670173575,,4.0571904905250045e-05,1.07235020042568,,,1.6193281022414399,6.11573357923089e-05,0.0025468868285191603,1.3247432581786498,1.6193281022414399,0.00010605195299999999,96140000.0,96140000.0,86072200.15634818,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1491698779.5258653,1499988524.8171859,1499999967.725,1485491693.3719215,1499841830.184788,1499999152.3176575,1473899296.0071537,1495564902.9522128,1499999999.8108568,1499999998.2376118,1499999980.8563814,1499999450.3505833,1499993107.1570535,1499915375.3807232,1487124209.917592,1492478856.860472,1496271780.1840184,1474945283.8971534,1499999527.101797,1499993619.7015326,1499922447.6293817,1487415756.4778807,1492604369.7591348,1437729247.116373,1496394199.6784742,1474945283.8971534,1489869374.9432619,1496204327.648248,1491437085.3161635,1500000000.0,1500000000.0,13526.0,0.15655092592599998,17187.0,82437194.43642111,88401541.97642691,7152.463447849267,7669.945611838513,969.1914847526551,1039.3126829253727,0.427455686973,,
5,2020-12-28,3929.0,193.0,10397.0,13394.0,39.0,8038.0,12140.0,12.0,1150.0,17064.0,14250.0,13876.0,13504.0,8670.0,52.0,10784.0,251.0,12396.0,1711.0,14.0,8757.0,57.0,10860.0,264.0,3.0,12504.0,1905.0,14.0,1614261975.0,106203372.93458268,16.574084155852002,16.574084155852002,1657011227.396235,1657011227.396235,99976035.58753179,0.0,0.0,0.990123063197,28.725465319038,,28.725465319038,,4.085431756440888e-05,1.10467415159749,,,1.07235020042568,4.05719049052498e-05,0.0015575603253550699,0.8718754586953791,1.07235020042568,0.00010817547399999999,96140000.0,96140000.0,81389689.20236371,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1491861768.3132217,1499988045.7345796,1499999966.2955003,1485184594.7951365,1499838658.246549,1499999122.6747637,1473436299.550019,1495549531.0935571,1499999999.807405,1499999998.1403692,1499999979.748072,1499999426.9855044,1499992726.8583167,1499911785.525578,1486759153.2636247,1492549169.7421174,1496227265.4264023,1475720319.8451514,1499999530.6182804,1499993452.816818,1499920110.580804,1487225034.5228963,1492671224.4814177,1432254007.0600123,1496411238.7701535,1475720319.8451514,1489694870.9267378,1496222265.4264026,1491481831.3070812,1500000000.0,1500000000.0,7700.0,0.08912037037000001,9924.0,52218475.25672113,57684399.85193294,7827.885611693744,8647.262896899989,998.2058144228225,1102.692161167213,0.47924497818000006,,
6,2020-12-29,3330.0,185.0,10372.0,13419.0,41.0,7939.0,12140.0,11.0,1116.0,17189.0,14292.0,13911.0,13528.0,8612.0,53.0,10769.0,242.0,12403.0,1692.0,12.0,8266.0,49.0,10633.0,220.0,2.0,12296.0,1500.0,11.0,1614261978.0,85929005.05103333,16.320918983556002,16.320918983556002,1340685537.5135221,1340685537.5135221,82145223.49288847,0.0,0.0,0.9906042694939999,16.403560330144998,,16.403560330144998,,3.2822286382232624e-05,0.893790358342348,,,1.10467415159749,4.0854317564408796e-05,0.00151217862205727,0.903998372784177,1.10467415159749,0.000112546592,96140000.0,96140000.0,83257170.56447479,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1492049415.237746,1499987794.579617,1499999965.7028768,1485906404.2408473,1499832100.0565608,1499999098.8299568,1475113348.84939,1495576765.1998942,1499999999.8018253,1499999998.0815556,1499999979.0341916,1499999411.642816,1499992605.9367893,1499909838.9230273,1487352637.2754693,1492727757.369139,1496272849.141587,1476131913.9755647,1499999301.211254,1499991189.4529946,1499874059.301903,1486944294.6084237,1492496525.9321175,1420924232.5865338,1496071606.4827814,1475113348.84939,1490113146.416087,1496298656.1804426,1491826100.6575634,1500000000.0,1500000000.0,7326.0,0.084791666667,10132.0,91443562.84918396,81731374.80707315,13948.300876616519,12466.856838777969,2943.683686421671,2631.0360969333487,0.573461101168,,
7,2020-12-30,2581.0,170.0,10606.0,13698.0,38.0,8062.0,12404.0,11.0,1099.0,17516.0,14592.0,14197.0,13813.0,8766.0,47.0,11014.0,227.0,12670.0,1695.0,13.0,8870.0,52.0,11092.0,239.0,4.0,12773.0,1885.0,14.0,1614261982.0,105879611.89763744,16.639023506239,16.639023506239,1651959827.81835,1651959827.81835,99282258.19255373,0.0,0.0,0.991059684377,22.924883497477,,22.924883497477,,3.818066569257755e-05,1.1013065518789,,,0.893790358342348,3.28222863822326e-05,0.0012211313519391199,0.7292795008195,0.893790358342348,0.00011808962900000001,96140000.0,96140000.0,83653639.99063185,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1491990837.8694296,1499987570.1770744,1499999964.9875174,1486589526.566085,1499823802.7053287,1499999089.3471792,1476343152.939624,1495489731.1538315,1499999999.799366,1499999997.992151,1499999978.9713275,1499999404.910496,1499992502.6896253,1499905051.32777,1487655654.58107,1492658363.0312932,1496211534.7552514,1478545708.56658,1499999504.037456,1499993251.5215259,1499914992.696573,1488138757.2160044,1492772809.549422,1444441043.7336414,1496391847.0987737,1479488829.04133,1490472247.4978917,1496266615.7303321,1492064084.776503,1500000000.0,1500000000.0,6347.0,0.073460648148,8394.0,65431084.9677852,72059682.57156686,11568.43591618506,12740.394269485792,3586.3475492634266,3949.6680533186477,0.6381980685549999,,
8,2020-12-31,2376.0,178.0,10875.0,14050.0,40.0,8262.0,12733.0,11.0,1135.0,17945.0,14953.0,14554.0,14166.0,8969.0,53.0,11295.0,236.0,13003.0,1753.0,12.0,9292.0,60.0,11568.0,286.0,4.0,13282.0,2660.0,13.0,1614261984.0,131253924.02053404,16.965561921051,16.965561921051,2047856105.999595,2047856105.999595,120706647.70959283,0.0,0.0,0.990621278999,30.784193213888997,,30.784193213888997,,4.704037697253062e-05,1.3652374039997301,,,1.1013065518789,3.81806656925774e-05,0.0014660472977973,0.895470377187378,1.1013065518789,0.00012152409299999999,96140000.0,96140000.0,82145194.41508017,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,96140000.0,6.4093333333,1491806757.1269114,1499987215.5796988,1499999964.743952,1485931918.498039,1499818707.7404656,1499999073.8660362,1476207025.9608796,1495394198.3520575,1499999999.7952144,1499999997.9730802,1499999978.7926393,1499999394.6019166,1499992293.7609165,1499900500.3681755,1487487641.7217042,1492482658.5746336,1496141263.6973898,1477215154.5507398,1499999638.4982474,1499994631.083825,1499928465.8043513,1488106779.9849405,1492903416.2366529,1443974664.7173212,1496900833.8122568,1478115154.55074,1490088788.2260377,1496181815.83889,1491821536.4978602,1500000000.0,1500000000.0,5904.0,0.068333333333,7597.0,48726305.39894277,66522974.68935065,9472.65360157024,12932.421011996448,2720.4708274732743,3714.0885301566104,0.686173901495,,
9,2021-01-01,2251.0,147.0,10914.0,14160.0,33.0,8232.0,12816.0,11.0,1045.0,18104.0,15078.0,14667.0,14277.0,8939.0,44.0,11332.0,190.0,13097.0,1678.0,12.0,9095.0,50.0,11456.0,210.0,4.0,13251.0,1991.0,16.0,1614261987.0,114894642.39336585,15.926996237137,15.926996237137,1725317485.134135,1725317485.134135,108326608.44806585,0.0,0.0,0.991469900674,40.267563761617,,40.267563761617,,3.9148553373758334e-05,1.15021165675609,,,1.3652374039997301,4.70403769725307e-05,0.00184734729410298,1.11561158294223,1.3652374039997301,0.00012391888999999998,99890000.0,99890000.0,86936706.50932373,99890000.0,99890000.0,99890000.0,99890000.0,99890000.0,99890000.0,99890000.0,99890000.0,99890000.0,6.6593333333,1492088889.9918249,1499986993.1094675,1499999964.5342283,1487204851.0105655,1499815051.1349134,1499999048.8947291,1476001997.6298113,1495347751.3067544,1499999999.7960212,1499999997.9052324,1499999978.7717013,1499999383.2373552,1499992064.341887,1499896750.9638038,1488516263.6213639,1492589776.554166,1496112623.6675582,1477110587.6755204,1499999528.2660537,1499993224.293221,1499911435.076065,1489081440.6558723,1492774872.7439435,1438359523.6151788,1496402695.524464,1480775735.0255318,1491161559.6328673,1496239943.9041939,1492499370.0186656,1500000000.0,1500000000.0,4717.0,0.054594907407,5999.0,37250825.72365095,42846333.97113291,8341.038933952565,9593.960211288626,1191.0413748237727,1369.9496730011028,0.719532496539,,
