,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-06-11,102.0,98.0,99.0,102.0,98.0,99.0,100.0,93.0,98.0,102.0,102.0,102.0,102.0,99.0,98.0,100.0,98.0,102.0,99.0,98.0,,,,,,,,,1622814037.0,3456.0,,,,,0.0,,0.0,,0.0,,10000000000.0,,0.9999998988,1.0,,,,,,,,,,,6.897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999998988.0,9999999988.0,10000000000.0,9999998988.0,9999999988.0,9999999998.0,9983474101.0,9999998988.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,9999999998.0,9999999988.0,9999998988.0,9999998988.0,9999999988.0,9999998988.0,,,,,,,,,9999999998.0,5463028132.0,1740000000.0,10000000000.0,0.0,0.0,102.0,10000000000.0,,98039215.68627451,,24000000.0,,1.0,,
1,2019-06-12,0.0,98.0,99.0,102.0,98.0,99.0,100.0,93.0,98.0,102.0,102.0,102.0,102.0,99.0,98.0,100.0,98.0,102.0,99.0,98.0,,,,,,,,,1622814037.0,4800.0,,,,,,,,,0.0,,0.0,,0.9999998988,,,,,,,,,,,,6.897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999998988.0,9999999988.0,10000000000.0,9999998988.0,9999999988.0,9999999998.0,9983474101.0,9999998988.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,9999999998.0,9999999988.0,9999998988.0,9999998988.0,9999999988.0,9999998988.0,,,,,,,,,9999999998.0,5463028132.0,1740000000.0,10000000000.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
2,2019-06-13,0.0,98.0,99.0,102.0,98.0,99.0,100.0,93.0,98.0,102.0,102.0,102.0,102.0,99.0,98.0,100.0,98.0,102.0,99.0,98.0,,,,,,,,,1622814037.0,20354.0,,,,,,,,,0.0,,0.0,,0.9999998988,,,,,,,,,,,,6.897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999998988.0,9999999988.0,10000000000.0,9999998988.0,9999999988.0,9999999998.0,9983474101.0,9999998988.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,9999999998.0,9999999988.0,9999998988.0,9999998988.0,9999999988.0,9999998988.0,,,,,,,,,9999999998.0,5463028132.0,1740000000.0,10000000000.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
3,2019-06-14,0.0,98.0,99.0,102.0,98.0,99.0,100.0,93.0,98.0,102.0,102.0,102.0,102.0,99.0,98.0,100.0,98.0,102.0,99.0,98.0,,,,,,,,,1622814037.0,20345.0,,,,,,,,,0.0,,0.0,,0.9999998988,,,,,,,,,,,,6.897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999998988.0,9999999988.0,10000000000.0,9999998988.0,9999999988.0,9999999998.0,9983474101.0,9999998988.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,9999999998.0,9999999988.0,9999998988.0,9999998988.0,9999999988.0,9999998988.0,,,,,,,,,9999999998.0,5463028132.0,1740000000.0,10000000000.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
4,2019-06-15,15.0,98.0,106.0,109.0,98.0,100.0,107.0,92.0,98.0,109.0,109.0,109.0,109.0,106.0,98.0,107.0,98.0,109.0,100.0,98.0,,,,,,,,,1622814037.0,20360.0,,,,,0.001,,0.001,,0.012,,0.0,,0.999999638769,104313.88833440261,,,,,,,,,,,9.266160000000001e-07,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2599.899,2.5999e-05,9999996387.689001,9999999987.588001,10000000000.0,9999996387.689001,9999998387.689001,9999999997.588001,9973564764.589,9999996387.689001,10000000000.0,10000000000.0,10000000000.0,10000000000.0,9999999997.588001,9999999987.588001,9999996387.689001,9999996387.689001,9999998387.689001,9999996387.689001,,,,,,,,,9999998387.689001,5463025531.892,1740000000.0,10000000000.0,78.0,0.0009027777779999999,27.0,95864.51199999999,,3550.53748148,,0.1,,1.000009586451,,
5,2019-06-16,22.0,98.0,105.0,113.0,98.0,99.0,108.0,92.0,98.0,125.0,125.0,125.0,125.0,105.0,98.0,108.0,98.0,113.0,99.0,98.0,,,,,,,,,1622814037.0,20338.0,,,,,0.09111517,,0.001,,2.6423400000000004,,0.0,,0.999999638765,16424985.407262778,,,,,,,,,,,1.5013519999999999e-06,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3101.411614,3.10141e-05,9999996387.647045,9999999784.33307,9999999996.999998,9999996387.647045,9999997387.647045,9999999980.490522,9973564764.589,9999996387.647045,10000000000.0,10000000000.0,10000000000.0,9999999996.999998,9999999980.490522,9999999784.33307,9999996387.647045,9999996387.647045,9999997387.647045,9999996387.647045,,,,,,,,,9999998387.546045,6063025531.891999,1740000000.0,10000000000.0,213.0,0.002465277778,77.0,608.828547,,7.90686425,,0.005626,,1.000009647334,,
6,2019-06-17,19.0,98.0,105.0,120.0,98.0,99.0,110.0,92.0,98.0,136.0,136.0,136.0,136.0,105.0,98.0,110.0,98.0,120.0,99.0,98.0,,,,,,,,,1622814037.0,20346.0,,,,,0.00108333,,0.001,,0.026000000000000002,,0.0,,0.9999996387610001,49003996.70716663,,,,,,,,,,,1.5013749999999999e-06,3101.424461,3101.424461,701.5254610000001,3101.424461,3101.424461,3101.424461,3101.424461,3101.424461,3101.424461,3101.424461,3101.424461,3101.424461,3.10142e-05,9999996387.6082,9999999784.294224,9999999995.10928,9999996387.6082,9999997387.6082,9999999955.275696,9973564764.589,9999996387.6082,10000000000.0,10000000000.0,10000000000.0,9999999995.10928,9999999955.275696,9999999784.294224,9999996387.6082,9999996387.6082,9999997387.6082,9999996387.6082,,,,,,,,,9999998387.5072,6363025531.891999,1740000000.0,10000000000.0,191.0,0.002210648148,74.0,204.064988,,2.75763497,,0.001,,1.000009667741,,
7,2019-06-18,130.0,99.0,108.0,129.0,97.0,99.0,115.0,82.0,99.0,190.0,190.0,190.0,190.0,108.0,99.0,115.0,99.0,129.0,99.0,97.0,,,,,,,,,1622814037.0,20278.0,,,,,0.00111585,,0.001,,0.0915,,0.0,,0.9997996280949999,99.999725227143,,,,,,,,,,,2.137503e-06,100003212.199755,100003212.199755,100001798.646072,100003212.199755,100003212.199755,100003212.199755,100003212.199755,100003212.199755,100003212.199755,100003212.199755,100003212.199755,100003212.199755,1.0000321220000001,9999996280.744408,9999999775.94193,9999999989.407284,9997996280.946407,9999996280.744408,9999999946.791435,9863564661.051004,9999996280.744408,10000000000.0,10000000000.0,10000000000.0,9999999989.407284,9999999946.791435,9999999775.94193,9999996280.744408,9999996280.744408,9999996280.744408,9997996280.946407,,,,,,,,,9999997280.643408,7572971131.485,1740000000.0,10000000000.0,542.0,0.006273148148,191.0,100000274.773612,,523561.65850059,,0.0015,,1.010009695418,,
8,2019-06-19,63.0,99.0,107.0,124.0,97.0,99.0,115.0,82.0,99.0,204.0,204.0,204.0,204.0,107.0,99.0,115.0,99.0,124.0,99.0,97.0,,,,,,,,,1622814037.0,20140.0,,,,,0.00115192,,0.001,,3.8163199999999997,,0.0,,0.9997996278479999,7364.379010712572,,,,,,,,,,,1.403575e-06,100003211.849971,100003211.849971,100002998.103609,100003211.849971,100003211.849971,100003211.849971,100003211.849971,100003211.849971,100003211.849971,100003211.849971,100003211.849971,100003211.849971,1.0000321184999998,9999996278.280972,9999999569.772915,9999999985.851429,9997996278.482971,9999996278.280972,9999999960.308126,9864922283.831932,9999996278.280972,10000000000.0,10000000000.0,10000000000.0,9999999985.851429,9999999960.308126,9999999569.772915,9999996278.280972,9999996278.280972,9999996278.280972,9997996278.482971,,,,,,,,,9999997179.867416,7702971131.384,2651599898.896,10000000000.0,20739.0,0.24003472222199998,4156.0,1357887.743889,,326.72948626,,0.001,,1.0101454841920001,,
9,2019-06-20,881.0,133.0,694.0,818.0,110.0,449.0,788.0,82.0,240.0,1034.0,1034.0,1034.0,1034.0,694.0,133.0,788.0,240.0,818.0,449.0,110.0,,,,,,,,,1622814037.0,20172.0,,,,,0.00109599,,0.00105,,2.85616,,0.0,,0.998730065433,122.478694473289,,,,,,,,,,,2.0424739e-05,138253889.804008,138253889.804008,33799492.941955,138253889.804008,138253889.804008,138253889.804008,138253889.804008,138253889.804008,138253889.804008,138253889.804008,138253889.804008,138253889.804008,1.3825388980000002,9995663972.278881,9999995553.929916,9999999956.957256,9987300654.333977,9999890711.807985,9999999858.330538,9827016624.361315,9999174695.155836,10000000000.0,10000000000.0,10000000000.0,9999999956.957256,9999999858.330538,9999995553.929916,9995663972.278881,9999174695.155836,9999890711.807985,9987300654.333977,,,,,,,,,9970217165.151562,9977928942.083164,5350775430.686,10000000000.0,17887.0,0.207025462963,6371.0,81646853.299705,,12815.39056972,,0.00105,,1.018310169524,,
