,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-05-15,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,1614335328.0,,,,0.0,226666.6666666667,,1.0,1.0,,,,,,,,,,,0.0,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,100.0,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,0.0,226666.6666666667,226666.6666666667,0.0,,,,,,,,,226666.6666666667,80000.0,80000.0,226666.6666666667,7.0,8.102e-05,7.0,226666.66666666672,,32380.95238095,,26666.66666666667,,1.0,,
1,2017-05-16,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,,,,,,,,,1614335328.0,,,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,100.0,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,226666.6666666667,0.0,226666.6666666667,226666.6666666667,0.0,,,,,,,,,226666.6666666667,80000.0,80000.0,226666.6666666667,0.0,0.0,0.0,0.0,,,,,,1.0,,
2,2017-05-17,2945.0,1668.0,2272.0,2276.0,633.0,2250.0,2276.0,110.0,2194.0,2285.0,2276.0,2276.0,2276.0,2098.0,50.0,2240.0,353.0,2269.0,1290.0,5.0,,,,,,,,,1614335328.0,,,,0.0,39382857.14285714,,0.9605150305850001,8.8120925,,,,,,,,,,,1.351415e-06,3730161.8258696,3730161.8258696,3503495.159202933,3730161.8258696,3730161.8258696,3730161.8258696,3730161.8258696,3730161.8258696,3730161.8258696,3730161.8258696,3730161.8258696,3730161.8258696,9.417336,39515792.21456873,39609523.211326614,39609523.80940763,38045542.97335413,39609489.958887324,39609523.80940763,32000038.81143035,39608513.689290345,39609523.80940763,39609523.80940763,39609523.80940763,39609520.80978731,39609420.92920031,39601763.12529991,28358578.191508465,36397827.750040255,39285234.45379673,19960178.837685518,,,,,,,,,31575038.811430346,34931336.62593165,25048287.848942675,39609523.80952381,1466.0,0.01696759,1466.0,4494905.586093226,,4688.995144699999,,595.0,,0.17926833917368865,,
3,2017-05-18,911.0,1647.0,2311.0,2317.0,590.0,2282.0,2315.0,104.0,2222.0,2333.0,2317.0,2317.0,2315.0,2108.0,42.0,2270.0,326.0,2306.0,1247.0,5.0,,,,,,,,,1614335328.0,,,,0.0,0.0,,0.960251827485,7.85700003,,,,,,,,,,,1.631741e-06,7739542.059309376,7739542.059309376,7512875.392642712,7739542.059309376,7739542.059309376,7739542.059309376,7739542.059309376,7739542.059309376,7739542.059309376,7739542.059309376,7739542.059309376,7739542.059309376,19.539599,39507634.64670348,39609523.17122661,39609523.8093076,38035117.62391486,39609480.62968034,39609523.76930761,32387517.819670558,39608503.80014452,39609523.8093076,39609523.8093076,39609523.76930761,39609518.90527961,39609396.89784968,39600463.55310107,28636931.878112193,36484990.64437282,39262192.36718785,21289048.961023744,,,,,,,,,32227517.819670554,35447500.22269498,26462434.801990595,39609523.80952381,1304.0,0.01509259,1303.0,5041303.7624196615,,5885.61871625,,677.50627075,,0.3728824109851238,,
4,2017-05-19,477.0,1668.0,2396.0,2405.0,578.0,2359.0,2400.0,100.0,2291.0,2421.0,2405.0,2404.0,2400.0,2158.0,41.0,2348.0,317.0,2389.0,1246.0,4.0,,,,,,,,,1614335329.0,,,,0.0,0.0,,0.95955839099,26.559611199999996,,,,,,,,,,,2.020325e-06,8605934.227859119,8605934.227859119,7531547.6676217625,8605934.227859119,8605934.227859119,8605934.227859119,8605934.227859119,8605934.227859119,8605934.227859119,8605934.227859119,8605934.227859119,8605934.227859119,21.726932,39499702.261549436,39609523.128582194,39609523.8090633,38007650.93456157,39609469.52447874,39609523.726663195,32404169.768650994,39608259.793291576,39609523.8090633,39609523.79936322,39609523.726663195,39609516.8826352,39609395.782648064,39598932.30626233,28788061.736441344,36474542.05791975,39241892.14909802,20732547.724061582,,,,,,,,,32404169.768650994,35676274.76808421,26869464.66031974,39609523.80952381,667.0,0.00771991,667.0,1491344.2637151603,,3867.24826551,,399.99,,0.4380044913589429,,
5,2017-05-20,476.0,1704.0,2631.0,2640.0,587.0,2439.0,2635.0,104.0,2357.0,2658.0,2640.0,2639.0,2635.0,2208.0,44.0,2427.0,319.0,2622.0,1266.0,6.0,,,,,,,,,1614335329.0,,,,0.0,0.0,,0.958476324771,5.59897009,,,,,,,,,,,9.090454999999999e-06,15271510.569291059,15271510.569291059,12026101.198683504,15271510.569291059,15271510.569291059,15271510.569291059,15271510.569291059,15271510.569291059,15271510.569291059,15271510.569291059,15271510.569291059,15271510.569291059,38.555147999999996,39494468.42416502,39609523.12851341,39609523.808994524,37964790.80686498,39609280.987614356,39609523.72659442,32421800.06672832,39607739.35735884,39609523.808994524,39609523.799294434,39609523.72659442,39609515.84644481,39609199.965715714,39597335.33446023,28780262.761098243,36382226.25734441,39227017.635743015,20548660.44442509,,,,,,,,,32261800.066728324,35833658.960218064,26711745.005211234,39609523.80952381,610.0,0.00706019,609.0,7074430.32234467,,12511.50425378,,100.0,,0.6303699973718839,,
6,2017-05-21,311.0,1735.0,2693.0,2702.0,588.0,2500.0,2697.0,102.0,2412.0,2722.0,2702.0,2701.0,2697.0,2259.0,44.0,2484.0,321.0,2684.0,1279.0,6.0,,,,,,,,,1614335329.0,,,,0.0,0.0,,0.9578385851819999,31.65056639,,,,,,,,,,,9.166145e-06,16004230.652809603,16004230.652809603,12479847.253765484,16004230.652809603,16004230.652809603,16004230.652809603,16004230.652809603,16004230.652809603,16004230.652809603,16004230.652809603,16004230.652809603,16004230.652809603,40.405006,39490885.1112955,39609523.12851341,39609523.808994494,37939530.24545463,39609277.13761434,39609523.7265944,32335410.17606488,39607617.92716944,39609523.808994494,39609523.79929441,39609523.7265944,39609515.8464448,39609156.49843928,39597055.88145688,28845622.580843616,36365142.57565834,39212022.82931356,20748898.564132776,,,,,,,,,32255410.176064882,35871729.049531996,26911192.958334174,39609523.80952381,420.0,0.00486111,420.0,1251463.348782267,,4268.73428769,,355.619619605,,0.6756335660391634,,
7,2017-05-22,327.0,1738.0,2734.0,2744.0,581.0,2535.0,2740.0,99.0,2441.0,2764.0,2744.0,2743.0,2738.0,2278.0,42.0,2519.0,314.0,2722.0,1277.0,6.0,,,,,,,,,1614335329.0,,,,0.0,0.0,,0.9574421932350001,28.6397325,,,,,,,,,,,9.269888e-06,16512282.00478884,16512282.00478884,6867840.620025743,16512282.00478884,16512282.00478884,16512282.00478884,16512282.00478884,16512282.00478884,16512282.00478884,16512282.00478884,16512282.00478884,16512282.00478884,41.687656,39486043.14479294,39609522.85771963,39609523.808994494,37923829.34920276,39609270.634968884,39609523.73929442,32388944.57994688,39607500.615582176,39609523.808994494,39609523.79929441,39609523.55580063,39609512.77379933,39609146.78217816,39596248.14969042,28979693.867392275,36341118.41571124,39204292.41111724,21188015.62187658,,,,,,,,,32427385.10003668,35961106.41364757,27311500.686944306,39609523.80952381,478.0,0.00553241,478.0,1383027.0169575068,,3590.95086478,,370.0,,0.7189684599808125,,
8,2017-05-23,359.0,1774.0,2844.0,2855.0,583.0,2640.0,2851.0,99.0,2531.0,2876.0,2855.0,2854.0,2849.0,2351.0,40.0,2618.0,318.0,2830.0,1294.0,6.0,,,,,,,,,1614335329.0,,,,0.0,0.0,,0.956429640773,27.81947099,,,,,,,,,,,9.636812e-06,17041790.23650952,17041790.23650952,6925513.096449636,17041790.23650952,17041790.23650952,17041790.23650952,17041790.23650952,17041790.23650952,17041790.23650952,16850562.85555714,17041790.23650952,17041790.23650952,43.024476,39477819.32203989,39609522.75727412,39609523.80867699,37883722.62831341,39609259.59896705,39609523.7389769,32239175.629729696,39607251.19883967,39609523.80867699,39609523.79897691,39609523.55548313,39609511.00219133,39609093.96329687,39594851.11164059,28756210.301812924,36314547.40272985,39186728.589933604,21480199.11367077,,,,,,,,,32277616.149819504,36004547.40272985,27416802.250812925,39609523.80952381,541.0,0.00626157,541.0,1423805.7880116594,,3301.47053407,,299.95,,0.7640610384101946,,
9,2017-05-24,587.0,1811.0,2996.0,3010.0,583.0,2780.0,3006.0,97.0,2650.0,3034.0,3010.0,3009.0,3002.0,2445.0,41.0,2755.0,316.0,2978.0,1288.0,6.0,,,,,,,,,1614335329.0,,,,0.0,0.0,,0.955365341753,37.95681915,,,,,,,,,,,1.0247128e-05,17442120.88820426,17442120.88820426,7189142.9923226815,17442120.88820426,17442120.88820426,17442120.88820426,17442120.88820426,17442120.88820426,17442120.88820426,17250893.507251877,17442120.88820426,17442120.88820426,44.035169,39463899.225119516,39609522.47608539,39609523.808541015,37841566.25094297,39609239.97474234,39609523.73884093,32174537.3642707,39606713.49600457,39609523.808541015,39609523.798840925,39609523.38534714,39609507.09440465,39609061.4587563,39592679.89617228,28855397.51486559,36248185.75018727,39144115.55282353,21645363.494599804,,,,,,,,,32288915.70654832,36118185.75018727,27698959.838243686,39609523.80952381,824.0,0.00953704,824.0,1043541.7060043148,,1969.94461095,,319.02054968,,0.8050419491433015,,
