,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.8481297125751,0.28843813852141303,4.20834521061811,688.5333269447501,805.8481297125751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.4594390672701,0.31349524251309996,4.11883695344133,729.9945420175841,848.4594390672701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.414866538967,0.250025,3.49346026334,589.6808637727011,687.414866538967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-08-01,308149.0,9588.0,1425145.0,6653590.0,931.0,414564.0,3319000.0,61.0,109739.0,18284210.0,7523295.0,4356604.0,1787856.0,18327.0,2.0,148483.0,108.0,610450.0,1786.0,0.0,1076884.0,5237.0,2740895.0,80648.0,33.0,5857100.0,286909.0,382.0,1614335691.0,89.0,770861.337078652,2564959089.2333574,25.85146816,0.37382205,5411499996.85331,78252345.62957262,209330470.6115272,860221984436.2224,860221984436.22,7.6e-07,0.000675808737826256,0.22188686413580966,0.00030561,0.10034028971963112,52.0440309,17087.507407098703,3805806.1441017,1112.5,2.4636727014293998,0.006749788223094229,365264.7894803495,1112.5,365264.7894803495,0.337372004136,21.16922533,,0.30611504,,0.1203817565984006,328.32790065649397,,,798.720635293374,0.2790181949737,3.97846869149545,688.665331159123,798.720635293374,382352.29688744846,1164.5440309,382352.29688744823,0.047365200088,14657947.52256935,6380787.04582006,1047155.14995023,7812187.40199874,9653996.86672218,3339478.44613381,10691357.12270425,12660087.97353664,13564309.21297494,2129770.96901635,5201239.07673688,14657947.52256935,47.398302,9374409.60810617,16340809.6290518,16476305.00264494,5560564.89767544,15771114.17562063,16453613.01048199,2429092.77016803,14259489.71671178,16477373.9169857,16465396.3781196,16385938.905934101,15997522.7651948,14723798.6538581,10366376.1563745,236255.67047714,2965298.00267042,6545032.16102818,0.0,16474508.84877538,16440466.94290753,16262488.43429689,8385480.20440697,13606740.78020384,1782446.30309174,15483515.75702247,4370706.0772668,2885297.98178431,16389930.88812188,15008580.49029154,16481998.5935797,20200540.625,238335.96070607,77010.0,0.891319444444444,207932.0,778582.9823848001,255630516.09327352,7.18677134516539,2359.6175482563995,0.013590000000000001,4.461976169921754,0.0906661732106344,,
4,2017-08-02,16751.0,9591.0,1420702.0,6646334.0,933.0,413096.0,3312776.0,61.0,109553.0,18276652.0,7515948.0,4350076.0,1782867.0,18312.0,2.0,148113.0,109.0,608372.0,1790.0,0.0,1100513.0,5872.0,2798886.0,82995.0,34.0,5912820.0,301812.0,422.0,1614335692.0,7.0,617224.714285714,2681131542.5177317,24.74393817,0.44193315,5653824428.630082,100978770.83431871,228493313.76962978,440437736252.0028,731435770343.43,1.3e-06,0.00115189937051466,0.3951342544483056,0.00037976,0.1302684837845206,5.61781323,1927.0697589443866,254519.085523694,87.5,0.193770981529096,0.0005308794014495781,30014.989285721385,87.5,30014.989285721385,0.33826453366400006,171.07852984,,3.05550692,,0.12751296428039804,343.028448979673,,,328.32790065649397,0.120381756598401,1.4544803550466001,279.875587474227,328.32790065649397,414294.35593211406,93.11781323,31942.059044665766,0.047209035308,14658236.63708541,6385373.81446537,690629.26758558,7816061.75957904,9658254.76358978,3334970.10536871,10691647.65139918,12661594.81961635,13564488.98750702,2079456.53900506,5196474.54927191,14658236.63708541,47.421556,9391724.36128503,16341037.89354193,16476392.70441765,5575305.16625938,15773153.41485704,16453708.27488483,2429092.77016803,14268251.11641368,16477461.5091983,16465488.0563805,16386097.798456699,15998837.8048765,14730443.115200501,10381565.406990198,236255.67047714,2977082.2773728,6562582.34843399,0.0,16474784.42374376,16442479.26823958,16271047.82275501,8592039.37434417,13690445.75187282,1812446.55029985,15534204.62100641,4497909.43201033,2887082.24654765,16390495.31183269,15016885.51991648,16482086.0935797,20200562.5,294374.3329006,4877.0,0.0564467592592593,6428.0,96342.22429141,33048123.76993416,23.3993798884319,8026.652990214947,0.9852774999999999,337.97821263956985,0.0997914307647295,,
5,2017-08-03,80506.0,9645.0,1405827.0,6617849.0,938.0,408501.0,3289332.0,61.0,109532.0,18244172.0,7486717.0,4324922.0,1765391.0,18387.0,2.0,147714.0,109.0,601424.0,1802.0,0.0,1029447.0,5053.0,2652330.0,78790.0,27.0,5739366.0,273791.0,366.0,1614335692.0,35.0,509420.742857143,2342083377.2098875,16.21579497,0.57639378,4994964257.670635,177547036.0414597,308030797.65445274,225505642691.9916,230740532887.44897,1.15e-06,0.0008939974888106721,0.2709224396193803,0.0002951,0.08942889989326416,20.57356421,6234.7381029608005,401456.09365118295,437.5,0.9688291910724258,0.00265432655088336,132582.6624984855,437.5,132582.6624984855,0.33769885528300003,31.52500113,,1.12056268,,0.1086285460289068,303.046085710824,,,343.028448979673,0.12751296428039802,1.5765286139598997,289.584898680184,343.028448979673,553111.7565335603,458.07356421,138817.40060144628,0.046652716064999995,14658448.96259989,6429817.57337503,517832.18829996,7728472.62394531,9676346.42771434,3416840.9699192997,10705706.98646418,12669051.88371827,13568612.40156074,2174432.7634938997,5238985.39191895,14658448.96259989,46.888892,9414881.43121978,16342094.22263343,16476832.5439866,5566129.34971892,15780837.41914341,16454183.91895626,2412707.1087199,14296616.30280797,16477900.402644102,16465942.7186401,16386847.1370013,16003730.5272841,14754792.675048098,10408161.6477685,236255.67047714,2962144.76000496,6561552.23526415,0.0,16474775.15350106,16439152.74295002,16254573.05321084,8348493.65650997,13588992.8269287,1583403.49040601,15468642.21273308,4309634.08775253,2872144.72917981,16392588.64704333,15040628.57694065,16482523.5935797,20200671.875,585874.70491495,23013.0,0.266354166666667,37546.0,522839.74634885,158444538.5850591,27.9680993597182,8475.623035734003,0.97483386,295.41958549137337,0.16349809521131,,
6,2017-08-04,88105.0,9530.0,1384891.0,6583936.0,936.0,400489.0,3259627.0,63.0,108577.0,18206943.0,7450468.0,4293829.0,1741932.0,18183.0,2.0,145886.0,111.0,590315.0,1801.0,0.0,805819.0,3099.0,2213885.0,28815.0,14.0,5126666.0,201990.0,194.0,1614335692.0,19.0,1137191.10526316,1535868442.2000253,8.80246211,0.62811804,3230499417.822557,230519021.66410407,366999525.4596287,225505642691.9916,225505642691.992,1e-06,0.0008068553314844661,0.15813768481076176,0.00025842,0.0506484110771273,21.52932081,4219.587843805555,212988.979723215,237.5,0.5259282683758979,0.0014408993654134198,46548.245611089456,237.5,46548.245611089456,0.344518066637,18.4460163,,1.31625395,,0.06852234868497947,195.992613099324,,,303.046085710824,0.108628546028907,1.35270979777263,258.348813739864,303.046085710824,603879.5899884553,259.02932081,50767.833454895015,0.04591294654,14658585.58585088,6567267.54420529,1071715.90509711,7836358.81940962,9765486.39784501,3620132.9200338996,10713709.51894551,12677305.59207642,13570747.45429349,2413336.25011392,5386691.82621414,14658585.58585088,47.542756,9490989.26915652,16342984.11308008,16477073.172182001,5678608.98479342,15790265.56811355,16454453.05314378,2522570.74781063,14340941.20051199,16478138.3839792,16466194.966052802,16387423.430692099,16009466.715311801,14788975.9680574,10474536.9906051,318287.21156714,3076726.02943557,6676141.95668237,0.0,16472546.69471031,16422117.44565649,16168808.6855375,7614305.28525553,11261311.06716835,1125051.21405415,15197231.02438858,3668919.54942347,2966725.95932009,16394978.11465075,15082794.23671604,16482761.0935797,20200731.25,1176161.78497137,26683.0,0.308831018518519,41505.0,893567.5229602,175132633.8056598,32.1421740789546,6299.6286884276715,0.9573775,187.6389179474981,0.244432478520974,,
7,2017-08-05,44381.0,9557.0,1372293.0,6565427.0,939.0,395560.0,3242127.0,62.0,107697.0,18188031.0,7431776.0,4275764.0,1727660.0,18108.0,2.0,144470.0,112.0,583777.0,1795.0,0.0,792834.0,3018.0,2190283.0,28383.0,14.0,5095864.0,198729.0,203.0,1614335692.0,13.0,766488.230769231,1530919257.134943,8.20840019,0.67628392,3188357892.363155,262686409.69311085,388426224.304403,225505642691.9916,225505642691.992,9.2e-07,0.000762004988819876,0.14739767531715586,0.0002497,0.04830047055688489,9.20121024,1779.8269294546562,145729.30191588402,162.5,0.359842109703784,0.000985868793708998,31433.025492566263,162.5,31433.025492566263,0.351216014067,27.15877018,,2.23759066,,0.05974936896551706,193.43400303117699,,,195.992613099324,0.0685223486849795,0.8849579842375559,166.053763980567,195.992613099324,637092.4424104763,171.70121024,33212.852422020915,0.04548714805700001,14658616.21634286,6649122.92485485,1019455.55067573,7914426.79748604,9824877.79293131,3720450.98111584,10769877.73114947,12690725.60342123,13579550.77400823,2383830.31125175,5487777.87742528,14658616.21634286,48.015916,9561345.27048495,16343539.52321985,16477235.99403861,5789066.72470225,15795665.34255633,16454623.34264741,2533544.52069612,14366708.11258331,16478300.988350198,16466358.164114999,16387757.0546151,16012890.6833526,14808222.5544073,10532208.7470884,355931.00065714,3105462.51824163,6775218.74187155,0.0,16472645.47816673,16421941.81433902,16168337.13115518,7669619.77856131,11297557.66345881,1162695.00314415,15205279.34278948,3777794.44722119,2985462.43798711,16396423.48061585,15108844.59422883,16482923.5935797,20200771.875,1358015.68274825,12075.0,0.139756944444444,19606.0,606909.79309401,117396990.7569977,45.578095150144904,8816.353395428403,0.99984032,193.40311548957297,0.298644002839635,,
8,2017-08-06,33613.0,9499.0,1363943.0,6552448.0,924.0,392891.0,3229956.0,64.0,107428.0,18174818.0,7418681.0,4263221.0,1718261.0,18071.0,3.0,144014.0,113.0,580092.0,1769.0,0.0,848655.0,3705.0,2294411.0,69071.0,16.0,5262145.0,220972.0,268.0,1614335692.0,65.0,108159.09230769199,1672469646.5514407,8.46552775,0.75708547,3469877361.1505194,310316594.1193166,409883171.24016976,144323701657.01956,144878792817.239,9.9e-07,0.000687714886218107,0.14476610769956794,0.000226,0.04757369804806902,6.98099381,1469.5207592583138,468127.650546413,812.5,1.7991218636138502,0.0049291009962023295,171033.75957546936,812.5,171033.75957546936,0.353686276638,42.49645677,,3.80052502,,0.06516888016012573,210.50308870826998,,,193.43400303117699,0.0597493689655172,0.777031664082364,164.63304611731502,193.43400303117699,809595.7227452041,819.48099381,172503.28033472766,0.045190525623,14659078.06926274,6680981.16924485,652768.90718088,7945107.39397875,9832354.68536894,3755298.25584575,10772988.753352802,12692943.86270194,13580761.10562311,2367084.24872631,5534272.76725724,14659078.06926274,48.199676000000004,9583435.08559582,16344645.86323899,16478048.67521049,5830071.24402295,15800287.79180273,16455440.43768992,2669269.30828069,14382458.85943671,16479113.556873098,16467170.9586471,16388726.634467999,16016313.8673034,14821734.8941712,10556573.8275165,462198.99824171,3225766.39632154,6805940.69781759,0.0,16474348.41493672,16428521.16830769,16200914.85442399,8055850.57436868,13356139.18623138,1317223.37292951,15330806.24777395,4186434.93579585,3095766.30566984,16398109.263708701,15123707.73206023,16483736.0935797,20200975.0,1474166.46484164,10151.0,0.11748842592592598,16487.0,387884.95196828,81650980.4527819,44.480708998458205,9363.326632109194,0.79554634,167.46496178055952,0.34311879889578,,
9,2017-08-07,58611.0,9440.0,1357701.0,6541841.0,926.0,391117.0,3219984.0,64.0,106961.0,18154165.0,7402967.0,4253233.0,1710952.0,18029.0,3.0,143555.0,116.0,577244.0,1774.0,0.0,1011615.0,5028.0,2629529.0,78721.0,31.0,5725357.0,269660.0,393.0,1614335692.0,78.0,148681.461538462,2561736541.3653197,10.8082265,1.08054949,5295001375.506673,529366316.8973251,489904738.1398951,144323701657.01956,144323701657.02,7.9e-07,0.000537117938539578,0.17252593674414118,0.00019493,0.06261284242521598,9.10629753,2925.004731560167,559600.8696186999,975.0,2.158818543921,0.0059145713532082105,313176.634507698,975.0,313176.634507698,0.35564098222900004,34.717153100000004,,3.4708379000000003,,0.09467970371246966,321.20680462328,,,210.50308870826998,0.0651688801601258,0.7912723450742729,178.792714644108,210.50308870826998,1125697.3619844622,984.10629753,316101.63923925813,0.044957838790999995,14659489.82690447,6711100.89100474,662867.18718106,7975349.53958959,9846820.29772049,3804162.40354246,10781897.40653502,12697817.69232842,13583901.38106362,2205994.98389976,5583279.43463725,14659489.82690447,48.380281,9604539.96083926,16345890.44930673,16479033.30578974,5862638.84507443,15804367.93737285,16456425.78205398,2667237.40657128,14390080.61110282,16480093.079700598,16468155.3612091,16389838.2657254,16019142.28079,14829713.318430802,10579951.7772117,465349.36190255,3259537.78347603,6839471.74106295,0.0,16477172.95557281,16442848.67682355,16267322.27336208,8597952.02728464,13751122.78600248,1885131.23970548,15528441.55314163,4701772.44881093,3099537.64791968,16399680.25975599,15132915.07130428,16484711.0935797,20201218.75,1648054.4909943,16954.0,0.19622685185185199,29195.0,474829.00005581,152518305.85039392,47.649999927702,15305.504217076683,0.9999775,321.199577470176,0.42748832161080097,,
