,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-07-05,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614335154,,,,,,0.0,200000000,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,,,,,,,,,200000000.0,200000000.0,200000000.0,200000000.0,0.0,0,0.0,0,0.0,,,,,,0.0,,
1,2017-07-06,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614335154,,,,,,0.0,0,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,,,,,,,,,200000000.0,200000000.0,200000000.0,200000000.0,0.0,0,0.0,0,0.0,,,,,,0.0,,
2,2017-07-07,6,3,6,6,3,3,6,3,3,6,6,6,6,3,3,5,3,6,3,2,,,,,,,,,1614335154,,,,,,0.0,0,,0.99999988,9.49240593,,0.99999839,,,,,,1.3413e-07,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,10.53472,199999976.0,200000000.0,200000000.0,199999976.0,199999976.0,200000000.0,199999976.0,199999976.0,200000000.0,200000000.0,200000000.0,200000000.0,199999996.0,199999976.0,199999976.0,199999976.0,199999976.0,199000010.0,,,,,,,,,200000000.0,178930560.0,178930560.0,200000000.0,21069440.0,8,9.259e-05,8,21069474.0,,2633684.25,,10.0,,0.10534737,,
3,2017-07-08,24,17,26,28,8,21,28,3,21,28,28,28,28,21,4,23,10,27,21,2,,,,,,,,,1614335154,,,,,,0.0,0,,0.9995282425,504.08980662,,53.10444968,,,,,,2.1237300000000002e-07,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,21069440.0,10.53472,199993573.0,199999998.2,200000000.0,199905648.5,199999962.0,200000000.0,199603221.5,199999962.0,200000000.0,200000000.0,200000000.0,199999999.2,199999982.2,199999962.0,199739480.5,199945608.5,199999962.0,199000010.0,,,,,,,,,200000000.0,199000010.0,178930560.0,200000000.0,21069440.0,35,0.00040509,35,396754.7,,11335.84857143,,4451.5,,0.1073311435,,
4,2017-07-09,82,75,96,99,24,92,99,6,92,99,99,99,99,92,7,93,39,98,91,5,,,,,,,,,1614335154,,,,,,0.0,0,,0.9973154925,6.76724851,,1.59265299,,,,,,1.89629e-07,47069440.0,47069440.0,6999965.8,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,23.53472,199973665.0,199999997.2,200000000.0,199463098.5,199999971.0,200000000.0,198719724.5,199999971.0,200000000.0,200000000.0,200000000.0,199999999.2,199999981.2,199999971.0,198854983.5,199695863.5,199999472.0,197909725.5,,,,,,,,,200000000.0,198989837.5,152930560.0,200000000.0,47069440.0,137,0.00158565,137,29554109.0,,216015.36496350003,,9989.0,,0.2553016685,,
5,2017-07-10,55,105,138,144,31,133,144,7,132,144,144,144,144,132,9,134,48,140,129,6,,,,,,,,,1614335154,,,,,,0.0,0,,0.9961909461,125.21015115,,29.46785849,,,,,,2.62211e-07,47069440.0,47069440.0,26769225.5,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,23.53472,199959461.3,199999995.1,200000000.0,199238189.22,199999959.9,200000000.0,198222860.22,199999931.9,200000000.0,200000000.0,200000000.0,199999997.1,199999970.1,199999931.9,198458119.22,199496777.22,199997983.0,197412861.22,,,,,,,,,199945401.3,198721351.22,152930560.0,200000000.0,47069440.0,68,0.00078704,68,1597314.58,,23489.92029412,,8616.5,,0.2632882414,,
6,2017-07-11,304,329,407,415,90,400,415,10,397,416,416,416,415,397,19,401,149,410,360,7,,,,,,,,,1614335154,,,,,,0.0,0,,0.9889811332189999,8.51842683,,2.0047879,,,,,,2.73638e-07,47069440.0,47069440.0,42751243.3259,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,23.53472,199921079.20138317,199999993.50238317,199999999.99,197796226.64378318,199999949.40238318,199999999.99,193749233.74928316,199999811.7323832,200000000.0,200000000.0,199999999.99,199999996.50238317,199999959.60238317,199999811.7323832,194982762.52928317,198651982.66148317,199968324.22038317,191960888.6292832,,,,,,,,,197995919.4067832,196346203.40328318,184907098.3661,200000000.0,47069440.0,404,0.00467593,404,23478513.590716824,,58115.13265029,,6560.61905,,0.380680809353584,,
7,2017-07-12,421,611,705,712,214,698,712,14,689,714,714,712,712,690,39,699,347,708,657,6,,,,,,,,,1614335154,,,,,,0.0,0,,0.9821418114020001,15.38374197,,3.6205206,,,,,,2.64682e-07,47069440.0,47069440.0,41782960.1499,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,47069440.0,23.53472,199908929.68938318,199999994.60238317,199999999.99,196428362.28043318,199999951.6003832,199999999.99,185244080.38838318,199999441.5633832,200000000.0,199999999.99,199999999.99,199999997.60238317,199999962.00038317,199999541.5633832,188646892.26923317,198394364.36388317,199978353.13338318,181989365.6919832,,,,,,,,,193029946.23673317,191384919.1167332,182859524.99498317,200000000.0,47069440.0,534,0.00618056,534,13000738.0769,,24345.95145487,,8898.95,,0.445684499738084,,
8,2017-07-13,389,871,1005,1013,314,996,1013,22,986,1016,1016,1013,1013,989,64,998,498,1009,948,5,,,,,,,,,1614335154,,,,,,0.0,0,,0.9754059236,9.14854221,,2.24456922,,,,,,4.30379e-07,49069440.0,49069440.0,35444835.705383204,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,24.53472,199861010.23538318,199999993.5983832,199999999.98599997,195081184.72008318,199999924.79638317,199999999.98599997,177805101.72789317,199999245.21518317,200000000.0,199999999.98599997,199999999.98599997,199999997.5983832,199999945.19638318,199999581.50418317,184020204.6719932,197731945.10248318,199976001.37488317,171395908.40253317,,,,,,,,,187076175.3694932,187146148.8174932,174737988.5760432,200000000.0,49069440.0,511,0.00591435,511,21861406.47831953,,42784.74653291,,9970.0,,0.5549995271296815,,
9,2017-07-14,362,1074,1261,1273,372,1251,1273,35,1241,1278,1277,1274,1273,1246,82,1252,603,1265,1176,6,,,,,,,,,1614335155,,,,,,0.0,0,,0.969298749863,8.54528029,,2.09656059,,,,,,4.61073e-07,49069440.0,49069440.0,25350706.975683697,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,49069440.0,24.53472,199807311.1248718,199999990.9783832,199999999.976,193859749.97257176,199999922.97638327,199999999.976,174448438.8917286,199998922.18218324,199999999.99999997,199999999.98600003,199999999.976,199999994.97838324,199999933.3763832,199999658.27118322,181221391.98280805,197179891.0779718,199960494.8408832,161846308.1298785,,,,,,,,,182884945.78830808,184881305.77130812,167052960.99687853,200000000.0,49069440.0,422,0.00488426,422,23404732.58918515,,55461.45163314,,5483.5,,0.6720231900756072,,
