,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-08-12,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1614334986.0,,,,,,,1303030303.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,1303030303.0,,,,,,,,,1303030303.0,1303030303.0,1303030303.0,1303030303.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2020-08-13,717.0,8.0,85.0,360.0,8.0,18.0,217.0,8.0,11.0,603.0,553.0,487.0,373.0,24.0,8.0,109.0,9.0,236.0,11.0,8.0,,,,,,,,,1614334986.0,,,,,,,20494.652837636993,,0.9999820400660001,1.0000089349230001,,1.0000089349230001,,,,,,,,,,,2.948171e-06,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,1303032339.9868948,99.9985835037,1303027394.9462051,1303050012.0931726,1303050791.370332,1303027394.9462051,1303047003.3330996,1303050715.2773511,1303027394.9462051,1303045349.318338,1303050797.6377916,1303050797.3629239,1303050792.8627968,1303050737.2989402,1303050292.17979,1303047709.1468146,1303027394.9462051,1303038495.1293588,1303045349.318338,1303027394.9462051,,,,,,,,,1303050195.6455855,1303049516.4566765,1287008171.8788965,1303050797.6528378,23402.706632523696,1564.0,0.018101851852,1950.0,1303039155.0986922,,668227.4584071782,,1.799820663957992,,0.9999944332490001,,
2,2020-08-14,7064.0,19.0,1887.0,3119.0,9.0,647.0,2806.0,9.0,104.0,3780.0,3460.0,3307.0,3138.0,762.0,10.0,2042.0,20.0,2882.0,139.0,9.0,,,,,,,,,1614334986.0,,,,,,,565154.4496208986,,0.999269793953,203.757657230582,,203.757657230582,,,,,,,,,,,5.0718064999999996e-05,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,1303583622.852095,99.99752003260001,1303047299.0738575,1303610036.8193855,1303615941.8579705,1302664043.8518867,1303549857.551703,1303615738.186762,1302664043.8518867,1303332459.5680873,1303615952.058459,1303615951.3549178,1303615944.003164,1303615821.8532083,1303611785.9943056,1303562634.9891565,1302789191.5638726,1303057742.5316532,1303372311.6742432,1302664043.8518867,,,,,,,,,1303326943.3164272,1303498064.1030288,1303175720.5669017,1303615952.1024585,908213.3564427986,23577.0,0.272881944444,28706.0,6397874.660618157,,258.7297015683016,,47.90373624750496,,1.00525821013,,
3,2020-08-15,5182.0,25.0,1969.0,3371.0,10.0,713.0,3036.0,9.0,113.0,4206.0,3782.0,3587.0,3395.0,847.0,10.0,2112.0,28.0,3125.0,139.0,10.0,1932.0,23.0,3014.0,107.0,9.0,3362.0,677.0,10.0,1614334986.0,9175907623.346842,4.1728032379140005,4.1728032379140005,9176052505.182686,9176052505.182686,2199013943.86636,698547.4382400954,4914388.341852492,0.999173387115,337.310086771821,,337.310086771821,,0.0005928378258328464,7.035153337951809,,,,,,,,5.320691999999999e-05,1304293905.556618,1304293905.556618,1124107105.9782,1304293905.556618,1304293905.556618,1304293905.556618,1304293905.556618,1304293905.556618,1304293905.556618,1304293905.556618,1304293905.556618,1304293905.556618,99.9984210875,1303717581.0496328,1304307734.7686083,1304314487.5042152,1303236336.369254,1304245125.7971842,1304314268.2285113,1302171246.8439324,1304011231.421362,1304314499.492198,1304314498.5542867,1304314490.1467638,1304314365.2178388,1304309346.579071,1304260165.3636081,1303236336.369254,1303749721.0461411,1304040914.1474512,1303236336.369254,1304314486.264591,1304314238.2412243,1304307231.9507859,1303690399.9145873,1304003049.6528354,1302171246.8439324,1304240237.6212218,1303236336.369254,1303992787.2244174,1304187631.2371285,1303848124.8304477,1304314499.5406988,2099213.3370104027,14079.0,0.16295138888900002,16204.0,3866811.4316516877,27203611.350614574,328.9343539372262,2314.103618068498,110.251545,775.6365248210943,1.0088063051060001,,
4,2020-08-16,3081.0,29.0,2293.0,3752.0,12.0,900.0,3415.0,11.0,119.0,4597.0,4155.0,3972.0,3776.0,1058.0,13.0,2455.0,30.0,3509.0,152.0,11.0,2140.0,25.0,3364.0,101.0,11.0,3729.0,768.0,12.0,1614334986.0,7742198972.239319,1.1608900041680001,1.1608900041680001,7742511732.573921,7742511732.573921,6669461968.642129,708753.7434057912,4204932.103712014,0.9989525383750001,166.136145500912,,166.136145500912,,0.0004985740824079483,5.932853466855715,,,7.035153337951809,0.000592837825832846,0.0162621445952002,5.945490000657831,7.035153337951809,5.9148675e-05,1304970536.6046264,1304970536.6046264,1124120418.2279797,1304970536.6046264,1304970536.6046264,1304970536.6046264,1304970536.6046264,1304970536.6046264,1304970536.6046264,1304970536.6046264,1304970536.6046264,1304970536.6046264,99.99596047969999,1304343229.8466194,1305016069.335245,1305023240.987992,1303656291.5068314,1304946096.1927705,1305023015.5372345,1303430686.5059268,1304639348.8558686,1305023253.2248442,1305023252.3275769,1305023243.6506476,1305023118.0770957,1305017895.226891,1304963858.1466584,1303775122.33315,1304355049.4340203,1304677291.4097154,1303430686.5059268,1305023237.5928288,1305022940.391777,1305013777.4395702,1304283649.8089056,1304612502.0789554,1303430686.5059268,1304926808.7710748,1303656291.5068314,1304610809.0022447,1304853220.712817,1304460178.4897268,1305023253.2841039,3399383.4980123723,8061.0,0.09329861111099999,9187.0,7855143.438830648,46603414.98371534,990.4732562626574,5876.332692245774,172.49314406527103,1023.3765477764858,1.015231081477,,
5,2020-08-17,3124.0,32.0,2518.0,4050.0,14.0,1003.0,3700.0,12.0,123.0,4929.0,4451.0,4268.0,4075.0,1196.0,15.0,2687.0,34.0,3792.0,165.0,12.0,2150.0,25.0,3558.0,75.0,10.0,4007.0,708.0,13.0,1614334986.0,5756647553.621798,1.157070970041,1.157070970041,5756902284.7626295,5756902284.7626295,4975409835.541646,654432.414284071,2885477.405550904,0.9988738534080001,193.599177933341,,193.599177933341,,0.0003580070455873758,4.409129716943385,,,5.932853466855709,0.0004985740824079481,0.0137036651781161,5.0095083971140095,5.932853466855709,6.5641454e-05,1305619912.1337202,1305619912.1337202,1124478722.963885,1305619912.1337202,1305619912.1337202,1305619912.1337202,1305619912.1337202,1305619912.1337202,1305619912.1337202,1305619912.1337202,1305619912.1337202,1305619912.1337202,99.99557520469999,1304966033.064627,1305670188.2013268,1305677673.5708365,1304207301.2229016,1305592018.7841575,1305677440.4996016,1303525363.9997113,1305235584.2668717,1305677685.6380553,1305677684.7486436,1305677676.3255339,1305677540.5249958,1305672091.7209003,1305613770.1771255,1304312288.500716,1304987421.5680594,1305283216.1770966,1303525363.9997113,1305677666.2687888,1305677185.2492602,1305663774.6384997,1304836253.893089,1305151712.5902328,1300206080.9743972,1305540184.2214105,1304072499.189527,1305201002.709225,1305477846.4736881,1305073373.4418986,1305677685.6983888,6194190.861213359,7137.0,0.082604166667,8396.0,6744231.559433351,29736191.786645006,1053.126705540179,4643.372253103891,182.52925208871204,804.7951495957907,1.021494228792,,
6,2020-08-18,2773.0,32.0,2615.0,4156.0,15.0,1045.0,3807.0,12.0,109.0,5176.0,4560.0,4366.0,4186.0,1251.0,15.0,2786.0,36.0,3899.0,148.0,12.0,2115.0,22.0,3599.0,60.0,10.0,4098.0,618.0,14.0,1614334986.0,4719771119.030751,1.153915548662,1.153915548662,4720164643.814599,4720164643.814599,4090563342.6001277,734525.1994838845,2653894.2668117266,0.998983730195,229.125555115211,,229.125555115211,,0.00030127291642314445,3.6130744985692673,,,4.409129716943379,0.00035800704558737597,0.0101864772252529,3.71683197687384,4.409129716943379,6.8318062e-05,1306303294.0227845,1306303294.0227845,1114581199.2956076,1306303294.0227845,1306303294.0227845,1306303294.0227845,1306303294.0227845,1306303294.0227845,1306303294.0227845,1306303294.0227845,1306303294.0227845,1306303294.0227845,99.99166290129999,1305717445.0844836,1306404676.378701,1306412198.7456923,1305084543.6154332,1306322997.9883137,1306411964.0998325,1303516614.817984,1305967788.0921934,1306412210.8367057,1306412209.9331543,1306412202.0254543,1306412064.5034652,1306406599.6684191,1306345971.2756977,1305084543.6154332,1305763855.821,1306011615.9505808,1303516614.817984,1306412187.457314,1306411539.9938824,1306394976.8301742,1305526953.6340432,1305875995.746184,1300170747.5196698,1306238498.80777,1304926065.6093645,1305955197.6675754,1306208339.7590978,1305846605.8896472,1306412210.8978724,8383517.688805565,6344.0,0.073425925926,7441.0,5701730.696259395,20600777.776364412,1037.1411230835774,3747.268143230763,307.97994446540275,1112.754483418726,1.026827196279,,
7,2020-08-19,2701.0,31.0,2812.0,4375.0,16.0,1118.0,4019.0,12.0,118.0,5463.0,4773.0,4589.0,4405.0,1344.0,16.0,2997.0,35.0,4112.0,154.0,12.0,2340.0,23.0,3854.0,63.0,10.0,4325.0,730.0,14.0,1614334986.0,5201308680.243035,1.236083850014,1.236083850014,5201724507.189205,5201724507.189205,4208229487.935545,609481.3172150059,2425632.2012974904,0.998961369499,293.171452656654,,293.171452656654,,0.00033908847749853884,3.9798302799194807,,,3.61307449856927,0.000301272916423144,0.008534559590399459,3.0303545306222794,3.61307449856927,7.4443653e-05,1306917208.6273658,1306917208.6273658,1113800432.8234324,1306917208.6273658,1306917208.6273658,1306917208.6273658,1306917208.6273658,1306917208.6273658,1306917208.6273658,1306917208.6273658,1306917208.6273658,1306917208.6273658,99.9920059791,1306257056.27367,1307013950.7094169,1307021680.0159333,1305664179.6204326,1306924438.7354226,1307021441.0324416,1303795879.0571058,1306535267.089443,1307021692.158161,1307021691.2973425,1307021683.3077798,1307021542.4414701,1307016037.5201378,1306949764.7136743,1305664179.6204326,1306302662.122742,1306576308.9444535,1303795879.0571058,1307021670.8144588,1307021130.3418374,1307005160.0342872,1306119422.2668047,1306432657.2832415,1300450011.7587907,1306851889.0799785,1305314501.2953124,1306508729.8166592,1306796836.0688334,1306403908.6381865,1307021692.2150874,9508209.050391437,6429.0,0.074409722222,7575.0,4458216.106551817,17742943.455279656,809.913358906249,3223.3177098863844,283.4924072000391,1128.251666301979,1.0310423227249998,,
8,2020-08-20,2279.0,32.0,2937.0,4514.0,16.0,1172.0,4158.0,12.0,132.0,5622.0,4910.0,4731.0,4544.0,1413.0,17.0,3127.0,35.0,4250.0,179.0,13.0,2444.0,23.0,3986.0,80.0,10.0,4458.0,761.0,15.0,1614334986.0,5079162701.395045,1.214878961407,1.214878961407,5079671639.330839,5079671639.330839,4181216236.92196,757334.9416536778,2941638.262051275,0.998836203338,277.77405087210497,,277.77405087210497,,0.00032729644360023367,3.884197202928554,,,3.9798302799194802,0.000339088477498539,0.00978135046355855,3.3660790662007303,3.9798302799194802,7.827100099999999e-05,1307647999.3254535,1307647999.3254535,315922835.34092206,1307647999.3254535,1307647999.3254535,1307647999.3254535,1307647999.3254535,1307647999.3254535,1307647999.3254535,1307647999.3254535,1307647999.3254535,1307647999.3254535,99.9899808891,1306936440.776154,1307771205.4574628,1307779014.949895,1306257038.2901506,1307676720.0054922,1307778781.1531212,1304107763.7830024,1307260324.268851,1307779027.094728,1307779026.2588634,1307779018.2580233,1307778881.006297,1307773347.195183,1307703702.8420274,1306358914.722351,1306972669.3564446,1307313625.1014783,1305122130.9946024,1307779004.5010502,1307778458.0079978,1307761887.3326812,1306765122.316043,1307166380.8057272,1300761896.4846876,1307599412.079161,1306083950.843698,1307209778.4322343,1307537431.2897456,1307088830.968116,1307779027.1567411,10728326.382912172,5688.0,0.065833333333,6379.0,4708067.665250988,18287063.256566256,993.9699099449057,3860.775144003148,305.8790155520063,1188.0944166416425,1.035293568206,,
9,2020-08-21,2336.0,38.0,3056.0,4668.0,19.0,1243.0,4303.0,12.0,144.0,5836.0,5071.0,4885.0,4701.0,1501.0,21.0,3261.0,43.0,4402.0,194.0,13.0,2430.0,24.0,4030.0,83.0,10.0,4600.0,708.0,15.0,1614334986.0,4239229207.115233,1.150511441933,1.150511441933,4239620413.499851,4239620413.499851,3684987614.18347,555217.4254852269,1799166.4903410422,0.998774443249,242.520306329556,,242.520306329556,,0.0002811762770309761,3.2404719444255146,,,3.88419720292855,0.000327296443600234,0.00933118528162262,3.27594979461992,3.88419720292855,8.0898011e-05,1308213519.4559693,1308213519.4559693,1110804136.599242,1308213519.4559693,1308213519.4559693,1308213519.4559693,1308213519.4559693,1308213519.4559693,1308213519.4559693,1128025880.1746688,1308213519.4559693,1308213519.4559693,99.9907726082,1307421283.3537161,1308326209.0810447,1308334231.7915409,1306730806.7158227,1308228464.4490414,1308333986.7208183,1303706690.7206545,1307788982.7090006,1308334244.5216792,1308334243.6415956,1308334235.4136472,1308334093.8132272,1308328511.7977107,1308257347.8996992,1306948341.3060527,1307477086.9135263,1307845314.081901,1304745362.1317623,1308334217.6709714,1308333376.1348557,1308313218.9699254,1307151077.022736,1307671653.1371317,1300360823.4223397,1308117786.6547327,1305817046.5284882,1307715171.5555665,1308073684.4621482,1307573969.2394428,1308334244.582226,11630768.487882515,5372.0,0.062175925926,5919.0,5394741.019353474,17481506.92065644,1214.1400668987171,3934.386823388211,402.70689,1304.960378871852,1.04034707961,,
