,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-11-30,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1614335140.0,,,,0.0,433494437.0,,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,433494437.0,,,,,,,,,433494437.0,433494437.0,433494437.0,433494437.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2017-12-01,5635.0,3381.0,5262.0,5293.0,691.0,5234.0,5285.0,81.0,5003.0,5351.0,5301.0,5294.0,5291.0,5190.0,349.0,5257.0,2146.0,5271.0,4640.0,25.0,,,,,,,,,1614335140.0,,,,0.0,0.0,,0.905331968868,1.98458625,,,,,,,,,,,1.905498e-06,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,204093428.56286904,47.08098,430146986.15513444,433494412.7247476,433494436.9362155,392456372.14254516,433493850.2837625,433494435.2352861,321665928.49740905,433440593.6066179,433494436.98968,433494436.9583852,433494436.7842719,433494424.6716844,433494383.49030244,433490879.21596414,370380386.5431482,422032502.78423685,433179967.47967327,287680951.3780518,,,,,,,,,328647793.35713214,384573899.3980754,307906967.97352695,433494437.0,1674.0,0.019375,6482.0,218430635.94577375,,34003.64314717,,6205.232702743416,,0.508453156643358,,
2,2017-12-02,729.0,3498.0,5495.0,5540.0,738.0,5459.0,5526.0,82.0,5210.0,5620.0,5548.0,5541.0,5537.0,5413.0,371.0,5488.0,2229.0,5508.0,4822.0,25.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.9027282029899999,13.48736534,,,,,,,,,,,2.555667e-06,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,50.215288,429996888.51070315,433494401.4414473,433494436.93580717,391327654.11907846,433493666.20950145,433494433.6493538,314230144.8744589,433435658.80682015,433494436.9847283,433494436.95797706,433494436.71708095,433494420.3883841,433494362.2070021,433490573.9532396,367707894.38608027,421678986.1139737,433157336.84307617,280049198.6435625,,,,,,,,,321006228.9446604,382395211.1586289,301600549.3400719,433494437.0,1036.0,0.01199074,1034.0,32140779.60930778,,32935.41798116,,2704.2245,,0.5870129241647049,,
3,2017-12-03,894.0,3535.0,5797.0,5864.0,735.0,5749.0,5840.0,83.0,5423.0,5964.0,5873.0,5866.0,5859.0,5693.0,371.0,5787.0,2233.0,5820.0,4986.0,25.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.9014099819050001,39.060215,,,,,,,,,,,3.1241449999999996e-06,217680481.53245202,217680481.53245202,41130796.931160726,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,217680481.53245202,50.215288,429673887.13498133,433494389.50122076,433494436.9122429,390756212.6119208,433493488.2481361,433494431.78661853,315237751.58477455,433417939.3209768,433494436.98007154,433494436.95332044,433494436.51699007,433494417.04486626,433494318.76924336,433489694.77652925,367319357.19423544,421120052.0596513,433106572.0868065,280473400.68548405,,,,,,,,,321671197.98351383,383924080.5895857,303683667.5683081,433494437.0,1177.0,0.01362269,1177.0,11098106.782141637,,11428.72506957,,1394.809,,0.6180435632196823,,
4,2017-12-04,619.0,3567.0,5951.0,6019.0,762.0,5898.0,5995.0,92.0,5532.0,6135.0,6031.0,6024.0,6013.0,5836.0,393.0,5938.0,2259.0,5973.0,5076.0,36.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.900993062576,2.10634443,,,,,,,,,,,3.413877e-06,416870893.57978976,416870893.57978976,215131638.09852317,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,96.165223,429519332.6845164,433494385.0863437,433494436.8306889,390575480.4022215,433493423.53825915,433494431.8300018,312443132.1758544,433409528.3703948,433494436.9781702,433494436.951419,433494436.37052166,433494415.3345048,433494294.3543664,433489220.7961625,366845642.1733792,420925941.9266588,433085094.14061546,277574994.9624197,,,,,,,,,315665189.903159,383225624.62733805,296865302.88935417,433494437.0,763.0,0.00883102,759.0,205804155.44441992,,272718.12694267,,2750.0,,1.0955423283295254,,
5,2017-12-05,432.0,3597.0,6037.0,6111.0,768.0,5976.0,6085.0,90.0,5592.0,6234.0,6123.0,6116.0,6105.0,5913.0,395.0,6021.0,2276.0,6061.0,5125.0,36.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.900403171324,57.82567951,,,,,,,,,,,3.7922449999999996e-06,416870893.57978976,416870893.57978976,209746743.76714802,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,96.165223,429464082.64142525,433494381.0953891,433494436.8299775,390319765.82595325,433493308.38897336,433494431.4044555,311499095.8708279,433405631.3080903,433494436.97745866,433494436.95070744,433494436.3698101,433494413.1935502,433494275.7325525,433489086.56664705,366281387.7861413,420787009.3728238,433075109.2299171,278224300.346334,,,,,,,,,315472094.93313766,383189812.77653676,297610300.46840835,433494437.0,504.0,0.00583333,503.0,7496573.160145197,,16666.29820699,,2282.288,,1.1148808648425463,,
6,2017-12-06,262.0,3619.0,6107.0,6185.0,776.0,6043.0,6159.0,90.0,5648.0,6311.0,6197.0,6191.0,6179.0,5980.0,397.0,6089.0,2285.0,6132.0,5172.0,36.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.90021793044,145.4625456,,,,,,,,,,,3.957802e-06,416870893.57978976,416870893.57978976,16939050.379973438,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,96.165223,429394453.5807926,433494376.07821244,433494436.79739696,390239464.9332401,433493259.0893466,433494431.20431334,310960576.38722175,433402340.56050605,433494436.9770714,433494436.95719117,433494436.33722955,433494411.0863736,433494255.415376,433489034.58644164,365854367.93991613,420625768.2621217,433064973.64873433,277680107.86272794,,,,,,,,,314962845.95199037,383127548.7390297,297617362.72211456,433494437.0,305.0,0.00353009,305.0,2980110.345406922,,10961.70763696,,2769.2845470550733,,1.122593353271255,,
7,2017-12-07,313.0,3637.0,6181.0,6264.0,787.0,6117.0,6237.0,90.0,5717.0,6397.0,6276.0,6270.0,6258.0,6053.0,399.0,6165.0,2295.0,6207.0,5226.0,36.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.900218370269,151.98063461,,,,,,,,,,,4.102477e-06,416870893.57978976,416870893.57978976,13648571.81290323,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,96.165223,429289450.0683214,433494371.93349916,433494436.79149646,390239655.5967784,433493219.9446332,433494430.8936076,310006737.9068203,433402030.9633325,433494436.9764605,433494436.9512906,433494436.33132905,433494408.9416601,433494265.2706624,433488925.44172806,365418428.9596738,420458432.87591255,433054394.39460105,277055901.38232636,,,,,,,,,314009007.4715889,383028842.0601528,296663524.2417131,433494437.0,387.0,0.00447917,387.0,2852300.4797132146,,8971.92484322,,2150.0,,1.1306029944983855,,
8,2017-12-08,990.0,3691.0,6501.0,6596.0,794.0,6428.0,6563.0,89.0,5932.0,6751.0,6612.0,6603.0,6587.0,6350.0,402.0,6481.0,2323.0,6529.0,5391.0,36.0,,,,,,,,,1614335141.0,,,,0.0,0.0,,0.8983703650660001,49.92344427,,,,,,,,,,,4.558748e-06,416870893.57978976,416870893.57978976,28081137.7822417,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,96.165223,428998488.00125194,433494364.6879249,433494436.76343775,389438555.62157017,433493078.9282022,433494430.05081993,308631808.03668004,433380507.86796445,433494436.97180337,433494436.9332321,433494436.0473522,433494404.91088516,433494232.8356019,433487830.95622253,364411854.26746,420011340.51748496,433000410.16782683,276224217.861174,,,,,,,,,313006062.8625771,383809473.3115207,297904581.79133284,433494437.0,1243.0,0.01438657,1243.0,8683183.688876016,,8698.67573019,,1300.0,,1.1555455381846462,,
9,2017-12-09,761.0,3716.0,6756.0,6863.0,794.0,6679.0,6823.0,88.0,6103.0,7032.0,6883.0,6871.0,6853.0,6586.0,405.0,6736.0,2325.0,6784.0,5494.0,35.0,,,,,,,,,1614335142.0,,,,0.0,0.0,,0.897663797642,74.09240835,,,,,,,,,,,4.79312e-06,416870893.57978976,416870893.57978976,31108187.77544679,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,416870893.57978976,251333649.06381908,416870893.57978976,416870893.57978976,96.165223,428796234.12235516,433494358.24226624,433494436.70228857,389132262.57405055,433493003.72795624,433494428.43599033,307630591.4620247,433363543.7368248,433494436.9691358,433494436.9120828,433494435.9196194,433494398.93419296,433494227.0688062,433486675.5158221,364262570.5419436,419687443.93050396,432941446.83595425,275259168.4286077,,,,,,,,,312409766.0679219,384939574.27294004,299026917.2755464,433494437.0,908.0,0.01050926,908.0,5850726.7700545285,,6976.38761341,,1050.0,,1.170158320754167,,
