,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-12-18,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,1614335681.0,,,,0.0,100.0,,1.0,10.0,,,,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,100.0,90.0,90.0,100.0,1.0,1.157e-05,1.0,10.0,,10.0,,10.0,,0.1,,
1,2017-12-19,41.0,37.0,40.0,40.0,37.0,39.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,38.0,37.0,39.0,37.0,40.0,37.0,26.0,,,,,,,,,1614335681.0,,,,0.0,98876775.0,,0.9999959545649999,1.00000403,,,,,,,,,,,2.2002199999999998e-07,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,98876487.0,99.999608,98876475.0,98876875.0,98876875.0,98876475.0,98876873.0,98876875.0,98876475.0,98876863.0,98876875.0,98876875.0,98876875.0,98876875.0,98876873.0,98876863.0,98876475.0,98876475.0,98876475.0,90922725.0,,,,,,,,,98876875.0,30360600.0,9090000.0,98876875.0,38.0,0.00043981,38.0,98876477.0,,2602012.55263158,,1363500.0,,0.9999960759277636,,
2,2017-12-20,72.0,102.0,104.0,106.0,93.0,102.0,106.0,83.0,102.0,106.0,106.0,106.0,106.0,102.0,87.0,103.0,100.0,106.0,102.0,61.0,,,,,,,,,1614335681.0,,,,0.0,157766040.0,,0.9994232453290001,61.72587462,,,,,,,,,,,1.466772e-06,98808320.0,98808320.0,98808310.0,98808320.0,98808320.0,98808320.0,98808320.0,98808320.0,98808320.0,98808320.0,98808320.0,98808320.0,38.500310999999996,256642895.0,256642911.01,256642915.0,256494895.0,256642895.0,256642915.0,255411980.0,256642895.0,256642915.0,256642915.0,256642915.0,256642915.0,256642905.0,256642895.0,256156105.0,256636095.0,256642895.0,240345305.0,,,,,,,,,256636095.0,91354880.0,13635380.0,256642915.0,22.0,0.00025463,22.0,4157784.99,,188990.59045455,,21000.0,,0.4014694112635059,,
3,2017-12-21,907.0,422.0,469.0,472.0,222.0,460.0,471.0,106.0,450.0,473.0,472.0,472.0,472.0,456.0,143.0,462.0,318.0,470.0,442.0,53.0,,,,,,,,,1614335682.0,,,,0.0,0.0,,0.9905919556799999,0.98461528,,,,,,,,,,,6.694169999999999e-07,174324572.31649733,174324572.31649733,165234560.31649733,174324572.31649733,174324572.31649733,174324572.31649733,174324572.31649733,174324572.31649733,174324572.31649733,174324572.31649733,174324572.31649733,174324572.31649733,67.92495,256598136.1228,256642912.2498,256642914.9998,254228407.08123523,256642868.2498,256642914.7498,243212238.25373253,256641769.3198,256642914.9998,256642914.9998,256642914.9998,256642914.2498,256642888.2498,256642706.3198,249749497.10323524,256028216.79073524,256636692.6838,215045892.40253252,,,,,,,,,241526605.65873253,207421307.40253252,69837173.50483255,256642915.0,1249.0,0.01445602,1351.0,260652988.50671083,,211898.3789146,,30224.0,,1.516928647352801,,
4,2017-12-22,290.0,420.0,489.0,492.0,234.0,478.0,491.0,108.0,465.0,493.0,492.0,492.0,492.0,473.0,147.0,481.0,328.0,490.0,448.0,49.0,471.0,141.0,479.0,321.0,1.0,490.0,445.0,45.0,1614335682.0,159017410.28416407,3.35170902,222912843.2847484,66507218.20370869,3000000.0,2575608.619454319,0.9910721016580001,7.77647753,,6.001349850882089e-05,0.858536206484773,,,,,,,,9.25462e-07,185219224.39969265,185219224.39969265,178546612.39969265,185219224.39969265,185219224.39969265,185219224.39969265,185219224.39969265,185219224.39969265,185219224.39969265,185219224.39969265,185219224.39969265,185219224.39969265,71.336137,259576882.3162,259642912.2498,259642914.9998,257324849.4496047,259642841.2598,259642914.7498,245772136.6382973,259641151.9008,259642914.9998,259642914.9998,259642914.9998,259642914.2498,259642880.2598,259642596.3298,252427989.65460467,259066184.1092,259630687.0138,213103446.79609728,259642914.2498,259642860.2598,259642396.3298,251787216.65460467,258995257.74960467,52606103.00613251,259627526.0458,209042861.79609728,243486504.0432973,213103446.79609728,79679298.14313251,259642915.0,290.0,0.00335648,290.0,33388242.180760074,28665014.78306464,125813.72122676,108015.6349457553,11674.0,10022.55167450324,1.6399252375493856,,
5,2017-12-23,194.0,459.0,565.0,570.0,251.0,553.0,568.0,110.0,529.0,571.0,570.0,570.0,570.0,539.0,157.0,557.0,355.0,567.0,492.0,45.0,540.0,172.0,557.0,370.0,3.0,567.0,497.0,56.0,1614335682.0,218773664.43502757,2.67232088,291431779.76854515,109055683.41715077,0.0,0.0,0.990268530969,15.58541714,,7.52762186166743e-05,1.12243301446737,,,0.858536206484773,6.0013498508821e-05,0.00125823353319746,0.719234362963425,0.858536206484773,1.121786e-06,194910218.79719263,194910218.79719263,102323153.05762784,194910218.79719263,194910218.79719263,194910218.79719263,194910218.79719263,194910218.79719263,194910218.79719263,194910218.79719263,194910218.79719263,194910218.79719263,75.068568,259558050.5131,259642911.0198,259642914.9998,257116208.01350468,259642814.0548,259642914.5198,244143114.8196973,259640098.4758,259642914.9998,259642914.9998,259642914.9998,259642914.0198,259642879.0298,259641996.6568,251852021.50650468,258999819.0231,259619298.5256,207340067.6041973,259642914.0198,259642879.0298,259642091.5598,253243118.50650468,259138745.4661,72580927.7952325,259624055.0286,217675540.9791973,241239382.2246973,218511790.9791973,89986147.93223251,259642915.0,192.0,0.00222222,192.0,16659349.742100004,18699004.150091514,87558.34769427,98278.38014426155,4923.07,5525.816300533875,1.7046726340161833,,
6,2017-12-24,220.0,491.0,636.0,660.0,253.0,621.0,658.0,114.0,578.0,661.0,660.0,660.0,660.0,599.0,162.0,628.0,375.0,657.0,530.0,47.0,599.0,164.0,628.0,378.0,1.0,657.0,531.0,50.0,1614335682.0,215206185.17077073,2.31839017,273233388.4968611,117854790.60607423,0.0,0.0,0.9888190563299999,14.13787872,,7.502615969414443e-05,1.05234293990599,,,1.12243301446737,7.52762186166742e-05,0.00154786138491401,0.9260958850974041,1.12243301446737,1.751805e-06,204501951.79719263,204501951.79719263,95926245.73303252,204501951.79719263,204501951.79719263,204501951.79719263,204501951.79719263,204501951.79719263,204501951.79719263,204501951.79719263,204501951.79719263,204501951.79719263,78.76276999999999,259541346.2881,259642892.0198,259642914.9998,256739862.19300467,259642750.0798,259642914.5198,244117204.86219728,259637976.4718,259642914.9998,259642914.9998,259642914.9998,259642914.0198,259642860.0298,259641508.9258,251676400.02100468,258935645.5716,259610039.3766,207994021.01269728,259642914.0198,259642860.0298,259641508.9258,251872015.02100468,258965095.1506,52830290.45973251,259611037.3766,210931780.38769728,239956621.25219727,223436514.48769727,94142992.79273252,259642915.0,229.0,0.00265046,229.0,18365054.6211,19326335.57150246,81090.92744585,85335.46498806913,4545.0,4782.898661872724,1.7761932545002814,,
7,2017-12-25,228.0,554.0,739.0,746.0,288.0,722.0,744.0,115.0,666.0,747.0,746.0,746.0,746.0,696.0,185.0,730.0,412.0,743.0,601.0,45.0,700.0,190.0,730.0,421.0,1.0,743.0,607.0,48.0,1614335682.0,225738061.97218615,1.55567521,282206316.7402128,181404392.73777682,357085.0,387583.24081991875,0.988030685679,16.43226137,,7.708354245697862e-05,1.0854089105392801,,,1.05234293990599,7.50261596941441e-05,0.00152759036635166,0.8803748313637091,1.05234293990599,1.828929e-06,207975132.48719263,207975132.48719263,134930748.19529733,207975132.48719263,207975132.48719263,207975132.48719263,207975132.48719263,207975132.48719263,207975132.48719263,207975132.48719263,207975132.48719263,207975132.48719263,79.990436,259870991.1316,259999993.0198,259999999.9998,256887978.27660468,259999811.1278,259999999.5198,240080458.9633973,259993126.7548,259999999.9998,259999999.9998,259999999.9998,259999999.0198,259999953.0298,259998187.1028,251391199.70260468,259108485.7542,259955288.7266,202233276.5678973,259999999.0198,259999953.0298,259998569.9088,251864547.70260468,259195303.6752,56165523.32883251,259961187.7596,205142380.0843973,235578352.48469728,223853742.43989727,103269311.38623253,260000000.0,258.0,0.00298611,258.0,15822533.1343,17173918.451272223,68643.5042314,74506.27114340234,5400.0,5861.208116912112,1.8418693011288076,,
8,2017-12-26,246.0,582.0,836.0,844.0,291.0,815.0,842.0,117.0,729.0,845.0,844.0,844.0,844.0,767.0,184.0,826.0,420.0,840.0,648.0,45.0,774.0,196.0,826.0,444.0,3.0,840.0,663.0,53.0,1614335682.0,245409587.11427462,1.55788388,302034608.5792438,193874917.06758907,0.0,0.0,0.987020677378,19.62282601,,7.386410795215e-05,1.1616715714586299,,,1.0854089105392801,7.70835424569787e-05,0.00147095379424394,0.896207441653129,1.0854089105392801,2.3056599999999995e-06,211255567.53199264,211255567.53199264,123172327.21759732,211255567.53199264,211255567.53199264,211255567.53199264,211255567.53199264,211255567.53199264,211255567.53199264,210801057.53199264,211255567.53199264,211255567.53199264,81.25214100000001,259822753.6127,259999992.7198,259999999.9998,256625376.11820468,259999741.8698,259999999.5198,239986895.67179728,259990723.6121,259999999.9998,259999999.9998,259999999.9998,259999998.7198,259999944.7298,259996862.7041,250953556.4392047,258947017.2373,259943095.4327,201315490.9207973,259999998.7198,259999944.7298,259997533.2501,252058344.8472047,259170010.2682,77582116.56623252,259957282.2852,208753651.7052973,234832389.11559728,228082974.8365973,111955002.1616325,260000000.0,363.0,0.00420139,363.0,13249875.421299996,15392003.602292642,48140.96336143,55923.98855960474,3529.0,4099.538975677504,1.909081492283423,,
9,2017-12-27,267.0,607.0,913.0,920.0,295.0,888.0,918.0,117.0,789.0,921.0,920.0,920.0,920.0,835.0,183.0,901.0,434.0,916.0,696.0,46.0,841.0,189.0,901.0,443.0,1.0,916.0,705.0,49.0,1614335682.0,229202070.179967,1.46813142,281503464.010483,191742686.96597043,0.0,0.0,0.986189762932,27.93273863,,7.035581197153809e-05,1.08270563080955,,,1.1616715714586299,7.386410795215e-05,0.00154888909847406,0.968138336052631,1.1616715714586299,2.551433e-06,211693800.84279263,211693800.84279263,122661436.86859731,211693800.84279263,211693800.84279263,211693800.84279263,211693800.84279263,211693800.84279263,211693800.84279263,206694288.84279263,211693800.84279263,211693800.84279263,81.420693,259769123.1439,259999993.7198,259999999.9998,256409338.3623047,259999698.5698,259999999.5198,239683873.61969727,259989011.6112,259999999.9998,259999999.9998,259999999.9998,259999998.7198,259999929.4098,259996555.3252,250289863.63630468,258835246.5344,259935122.865,201867540.8760973,259999998.7198,259999929.4098,259997140.1282,250863206.63630468,258922676.4484,59038790.62123251,259943888.787,204776644.3925973,234589700.42469728,231602462.17109728,118141545.6873325,260000000.0,362.0,0.00418981,362.0,9308074.064699998,10077904.201843023,31826.35466215,34458.57340085158,3982.0,4311.333821883628,1.9533935706976533,,
