,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-01-04,106,103,104,104,98,104,104,71,104,104,104,104,104,104,104,104,104,104,104,103,,,,,,,,,1614334989.0,,,,0.0,100000000000,,0.99965145,1.0,,,,,,0.0,100000000000,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99999650000.0,100000000000.0,100000000000.0,99965145000.0,100000000000.0,100000000000.0,98840431549.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999650000.0,,,,,,,,,99981400000.0,78967611090.0,50000000000.0,100000000000,104,0.0012037,104,100000000000.0,,961538461.5384616,,211741119.0,,1.0,,
1,2019-01-05,4,104,105,105,99,105,105,71,105,105,105,105,105,105,105,105,105,105,105,104,,,,,,,,,1614334989.0,,,,0.0,0,,0.99965145,220.22774094,,,,,,0.0,100000000000,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99999650000.0,100000000000.0,100000000000.0,99965145000.0,100000000000.0,100000000000.0,98811356147.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999650000.0,,,,,,,,,99974145000.0,78938535688.0,50000000000.0,100000000000,2,2.315e-05,2,454075402.0,,227037701.0,,227037701.0,,1.0045407540200002,,
2,2019-01-06,0,104,105,105,99,105,105,71,105,105,105,105,105,105,105,105,105,105,105,104,,,,,,,,,1614334989.0,,,,0.0,0,,0.99965145,,,,,,,0.0,100000000000,100000000000.0,17498889571.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99999650000.0,100000000000.0,100000000000.0,99965145000.0,100000000000.0,100000000000.0,98811356147.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999650000.0,,,,,,,,,99974145000.0,78938535688.0,50000000000.0,100000000000,0,0.0,0,0.0,,,,,,1.0045407540200002,,
3,2019-01-07,92,159,188,188,111,185,188,69,183,190,190,190,189,188,183,188,185,189,188,159,,,,,,,,,1614334989.0,,,,0.0,0,,0.99805192045,127.49411715,,,,,,2.39562e-07,100000000000,100000000000.0,778055280.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99987358235.26,99999999990.4212,99999999990.4212,99805192045.0,99999988021.9212,99999999990.4212,98305661162.0,99999949815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999949815.8413,99999988021.9212,99999999990.4212,99987358235.26,,,,,,,,,99647027045.0,84231387660.0,50000000000.0,100000000000,12,0.00013889,99,784349915.4211943,,7922726.4183959,,1500000.0,,1.012384253174212,,
4,2019-01-08,2,159,188,188,111,185,188,69,183,190,190,190,189,188,183,188,185,189,188,159,,,,,,,,,1614334989.0,,,,0.0,0,,0.99805192045,6666.66666667,,,,,,2.39562e-07,100000000000,100000000000.0,778055280.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99987358235.26,99999999990.4212,99999999990.4212,99805192045.0,99999988021.9212,99999999990.4212,98305661162.0,99999949815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999949815.8413,99999988021.9212,99999999990.4212,99987358235.26,,,,,,,,,99647027045.0,84231387660.0,50000000000.0,100000000000,1,1.157e-05,1,15000000.0,,15000000.0,,15000000.0,,1.012534253174212,,
5,2019-01-09,7,162,190,190,112,188,190,69,186,192,192,192,191,190,186,190,188,191,190,162,,,,,,,,,1614334989.0,,,,0.0,0,,0.99797943045,896.64788189,,,,,,2.19562e-07,100000000000,100000000000.0,209750000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99987359235.26,99999999990.4212,99999999990.4212,99797943045.0,99999989021.9212,99999999990.4212,98300661162.0,99999950815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999950815.8413,99999989021.9212,99999999990.4212,99987359235.26,,,,,,,,,99621778045.0,84231387660.0,50000000000.0,100000000000,6,6.944e-05,6,111526500.0,,18587750.0,,21375000.0,,1.0136495181742118,,
6,2019-01-10,4,163,191,191,112,189,191,69,187,193,193,193,192,191,187,191,189,192,191,163,,,,,,,,,1614334989.0,,,,0.0,0,,0.99795943046,1612.90325182,,,,,,2.19562e-07,100000000000,100000000000.0,276750000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99987359235.26,99999999990.4212,99999999990.4212,99795943046.0,99999989021.9212,99999999990.4212,98300661162.0,99999950815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999950815.8413,99999989021.9212,99999999990.4212,99987359235.26,,,,,,,,,99619778046.0,84231387660.0,50000000000.0,100000000000,2,2.315e-05,2,61999999.0,,30999999.5,,30999999.5,,1.0142695181642118,,
7,2019-01-11,0,163,191,191,112,189,191,69,187,193,193,193,192,191,187,191,189,192,191,163,,,,,,,,,1614334989.0,,,,0.0,0,,0.99795943046,,,,,,,2.19562e-07,100000000000,100000000000.0,82000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,100000000000.0,100000000000.0,100000000000,100.0,99987359235.26,99999999990.4212,99999999990.4212,99795943046.0,99999989021.9212,99999999990.4212,98300661162.0,99999950815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999950815.8413,99999989021.9212,99999999990.4212,99987359235.26,,,,,,,,,99619778046.0,84231387660.0,50000000000.0,100000000000,0,0.0,0,0.0,,,,,,1.0142695181642118,,
8,2019-01-12,4,163,191,191,112,189,191,69,187,193,193,193,192,191,187,191,189,192,191,163,,,,,,,,,1614334990.0,,,,0.0,0,,0.99795943046,86956.52173913,,,,,,2.19562e-07,100000000000,100000000000.0,3300000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,18400694851.0,100000000000.0,100000000000,100.0,99987359235.26,99999999990.4212,99999999990.4212,99795943046.0,99999989021.9212,99999999990.4212,98300661162.0,99999950815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999950815.8413,99999989021.9212,99999999990.4212,99987359235.26,,,,,,,,,99619778046.0,84231387660.0,50000000000.0,100000000000,2,2.315e-05,2,1150000.0,,575000.0,,575000.0,,1.0142810181642121,,
9,2019-01-13,0,163,191,191,112,189,191,69,187,193,193,193,192,191,187,191,189,192,191,163,,,,,,,,,1614334990.0,,,,0.0,0,,0.99795943046,,,,,,,2.19562e-07,100000000000,100000000000.0,3300000.0,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,100000000000,901805280.0,100000000000.0,100000000000,100.0,99987359235.26,99999999990.4212,99999999990.4212,99795943046.0,99999989021.9212,99999999990.4212,98300661162.0,99999950815.8413,100000000000.0,100000000000.0,99999999999.92119,99999999999.92119,99999999990.4212,99999999990.4212,99999950815.8413,99999989021.9212,99999999990.4212,99987359235.26,,,,,,,,,99619778046.0,84231387660.0,50000000000.0,100000000000,0,0.0,0,0.0,,,,,,1.0142810181642121,,
