,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-04-18,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,,,,,,,,,1614761187.0,,,,,,,10000000.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9850000.0,10000000.0,10000000.0,9000000.0,,,,,,,,,10000000.0,9000000.0,9000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2017-04-19,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,,,,,,,,,1614761193.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9850000.0,10000000.0,10000000.0,9000000.0,,,,,,,,,10000000.0,9000000.0,9000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
2,2017-04-20,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,,,,,,,,,1614761196.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9850000.0,10000000.0,10000000.0,9000000.0,,,,,,,,,10000000.0,9000000.0,9000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
3,2017-04-21,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,,,,,,,,,1614761199.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9850000.0,10000000.0,10000000.0,9000000.0,,,,,,,,,10000000.0,9000000.0,9000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
4,2017-04-22,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,,,,,,,,,1614761202.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9850000.0,10000000.0,10000000.0,9000000.0,,,,,,,,,10000000.0,9000000.0,9000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
5,2017-04-23,3.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,5.0,10.0,10.0,11.0,10.0,1.0,,,,,,,,,1614761204.0,,,,,,,0.0,,0.9999998999999999,10000000.0,,1.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,9999999.0,10000000.0,10000000.0,9999999.0,10000000.0,10000000.0,9999999.0,9999999.0,10000000.0,10000000.0,10000000.0,10000000.0,9999999.0,9999999.0,9850000.0,9999999.0,9999999.0,9000000.0,,,,,,,,,10000000.0,9000000.0,9000000.0,10000000.0,1.0,2.0,2.3148148e-05,2.0,1.0,,1.0,,1.0,,2e-07,,
6,2017-04-24,2.0,11.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,6.0,11.0,11.0,12.0,11.0,1.0,,,,,,,,,1614761206.0,,,,,,,0.0,,0.9999998999999999,1.1653351633409998,,1.1653399999999999e-07,,,,,,,,,,,0.0,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,85.81223222220001,9999999.0,10000000.0,10000000.0,9999999.0,10000000.0,10000000.0,9999999.0,9999999.0,10000000.0,10000000.0,10000000.0,10000000.0,9999999.0,9999999.0,9850000.0,9999999.0,9999999.0,8581222.222222224,,,,,,,,,10000000.0,8581222.222222224,8581222.222222224,10000000.0,1.0,1.0,1.1574074e-05,1.0,8581222.222222222,,8581222.222222224,,8581222.222222222,,0.8581224222220001,,
7,2017-04-25,2.0,12.0,13.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,6.0,12.0,12.0,13.0,12.0,1.0,,,,,,,,,1614761209.0,,,,,,,0.0,,0.9999998999999999,1.177106225597,,1.17711e-07,,,,,,,,,,,0.0,8581223.22222222,8581223.22222222,8581222.222222224,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,85.81223222220001,9999999.0,10000000.0,10000000.0,9999999.0,10000000.0,10000000.0,9999999.0,9999999.0,10000000.0,10000000.0,10000000.0,10000000.0,9999999.0,9999999.0,9764187.777777776,9999999.0,9999999.0,8495410.0,,,,,,,,,10000000.0,8495410.0,8495410.0,10000000.0,1.0,1.0,1.1574074e-05,1.0,8495410.0,,8495410.0,,8495410.0,,1.707663422222,,
8,2017-04-26,0.0,12.0,13.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,6.0,12.0,12.0,13.0,12.0,1.0,,,,,,,,,1614761214.0,,,,,,,0.0,,0.9999998999999999,,,,,,,,,,,,,,0.0,8581223.22222222,8581223.22222222,8581222.222222224,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,85.81223222220001,9999999.0,10000000.0,10000000.0,9999999.0,10000000.0,10000000.0,9999999.0,9999999.0,10000000.0,10000000.0,10000000.0,10000000.0,9999999.0,9999999.0,9764187.777777776,9999999.0,9999999.0,8495410.0,,,,,,,,,10000000.0,8495410.0,8495410.0,10000000.0,1.0,0.0,0.0,0.0,0.0,,,,,,1.707663422222,,
9,2017-04-27,0.0,12.0,13.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,6.0,12.0,12.0,13.0,12.0,1.0,,,,,,,,,1614761217.0,,,,,,,0.0,,0.9999998999999999,,,,,,,,,,,,,,0.0,8581223.22222222,8581223.22222222,0.0,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,8581223.22222222,85.81223222220001,9999999.0,10000000.0,10000000.0,9999999.0,10000000.0,10000000.0,9999999.0,9999999.0,10000000.0,10000000.0,10000000.0,10000000.0,9999999.0,9999999.0,9764187.777777776,9999999.0,9999999.0,8495410.0,,,,,,,,,10000000.0,8495410.0,8495410.0,10000000.0,1.0,0.0,0.0,0.0,0.0,,,,,,1.707663422222,,
