,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2018-09-09,8.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,,,,,,,,,1611240235.0,,,,0.0,100033.5,,0.999970010047,1361.0,,,,,,,,,,,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.017994,100033.5,100033.5,100033.5,100030.5,100033.5,100033.5,100015.5,100033.5,100033.5,100033.5,100033.5,100033.5,100030.5,100015.5,100015.5,100015.5,100015.5,0.0,,,,,,,,,100033.5,100015.5,100015.5,100033.5,10.0,0.00011574,11.0,73.5,,13.04545455,,10.0,,0.001434519436,,
1,2018-09-10,36.0,20.0,26.0,26.0,12.0,26.0,26.0,2.0,26.0,26.0,26.0,26.0,26.0,3.0,0.0,12.0,1.0,26.0,1.0,0.0,,,,,,,,,1611240235.0,,,,0.0,0.0,,0.9996463184829999,31.40710065,,,,,,,,,,,0.0,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1111.35,1.110978,100027.5,100033.5,100033.5,99998.12,100033.5,100033.5,99554.49,100033.5,100033.5,100033.5,100033.5,100033.5,99998.12,99654.49,0.0,98922.15,98922.15,0.0,,,,,,,,,100033.5,99554.49,98922.15,100033.5,44.0,0.00050926,45.0,3185.0600000000004,,117.53288889,,5.57,,0.054306607287,,
2,2018-09-11,17.0,29.0,37.0,37.0,16.0,37.0,37.0,3.0,37.0,37.0,37.0,37.0,37.0,4.0,0.0,17.0,1.0,37.0,1.0,0.0,,,,,,,,,1611240235.0,,,,0.0,1167.45,,0.9993063306219999,357.90405291,,,,,,,,,,,0.0,1384.11,1384.11,1369.11,1384.11,1384.11,1384.11,1384.11,1384.11,1384.11,1384.11,1384.11,1384.11,1.367685,101192.95,101200.95,101200.95,101130.75,101200.95,101200.95,100551.43,101200.95,101200.95,101200.95,101200.95,101200.95,101140.75,100651.43,0.0,99816.84,99816.84,0.0,,,,,,,,,101200.95,100551.43,99816.84,101200.95,22.0,0.00025463,22.0,282.7600000000001,,28.76181818,,10.0,,0.059932638972,,
3,2018-09-12,17.0,40.0,49.0,49.0,22.0,49.0,49.0,5.0,49.0,49.0,49.0,49.0,49.0,7.0,0.0,24.0,1.0,49.0,2.0,0.0,,,,,,,,,1611240235.0,,,,0.0,6280.04,,0.9990823493529999,17.51123606,,,,,,,,,,,0.0,7511.94,7511.94,6465.44,7511.94,7511.94,7511.94,7511.94,7511.94,7511.94,7511.94,7511.94,7511.94,6.989087,107471.99,107480.99,107480.99,107382.36,107480.99,107480.99,106578.04,107480.99,107480.99,107480.99,107480.99,107480.99,107402.36,106778.04,0.0,99969.05,104969.05,0.0,,,,,,,,,107480.99,106403.64,99969.05,107480.99,21.0,0.00024306,21.0,6137.829999999999,,295.89666667,,15.5,,0.114244109586,,
4,2018-09-13,28.0,49.0,64.0,64.0,29.0,64.0,64.0,6.0,64.0,64.0,64.0,64.0,64.0,10.0,0.0,33.0,2.0,62.0,3.0,0.0,,,,,,,,,1611240236.0,,,,0.0,15852.9,,0.9989354912909999,7.69092415,,,,,,,,,,,0.0,23403.13,23403.13,6040.08,23403.13,23403.13,23403.13,23403.13,23403.13,23403.13,23403.13,23403.13,23403.13,18.975425,123319.48,123333.89,123333.89,123202.6,123333.89,123333.89,122104.1,123333.89,123333.89,123333.89,123333.89,123332.89,123243.6,122504.1,0.0,115787.41,120787.41,0.0,,,,,,,,,123333.89,122104.1,99930.76,123333.89,43.0,0.00049769,43.0,16036.29,,373.44860465,,3.94,,0.229761341347,,
5,2018-09-14,21.0,53.0,69.0,69.0,31.0,69.0,69.0,8.0,69.0,69.0,69.0,69.0,69.0,11.0,0.0,35.0,2.0,67.0,5.0,0.0,,,,,,,,,1611240236.0,,,,0.0,1115.57,,0.998854233678,36.12266958,,,,,,,,,,,0.0,25490.46,25490.46,2799.58,25490.46,25490.46,25490.46,25490.46,25490.46,25490.46,25490.46,25490.46,25490.46,20.48258,124434.05,124449.46,124449.46,124306.87,124449.46,124449.46,123279.04,124449.46,124449.46,124449.46,124449.46,124448.46,124347.87,123579.04,0.0,114815.65,121962.35,0.0,,,,,,,,,124449.46,122790.25,98959.0,124449.46,26.0,0.00030093,26.0,3445.1900000000005,,140.04576923,,20.0,,0.25696013466,,
6,2018-09-15,5.0,55.0,72.0,72.0,33.0,72.0,72.0,8.0,72.0,72.0,72.0,72.0,72.0,12.0,0.0,37.0,2.0,70.0,5.0,0.0,,,,,,,,,1611240236.0,,,,0.0,0.0,,0.9988461982879999,568.13266378,,,,,,,,,,,0.0,25709.51,25709.51,2372.58,25709.51,25709.51,25709.51,25709.51,25709.51,25709.51,25709.51,25709.51,25709.51,20.658595000000002,124433.05,124449.46,124449.46,124305.87,124449.46,124449.46,123157.99,124449.46,124449.46,124449.46,124449.46,124448.46,124346.87,123558.04,0.0,114596.6,121743.3,0.0,,,,,,,,,124449.46,122983.59,98739.95,124449.46,4.0,4.6299999999999994e-05,4.0,219.05,,54.7625,,59.0,,0.258720286934,,
7,2018-09-16,9.0,57.0,75.0,75.0,33.0,75.0,75.0,8.0,75.0,75.0,75.0,75.0,75.0,14.0,1.0,40.0,3.0,73.0,7.0,0.0,15.0,1.0,40.0,3.0,0.0,73.0,7.0,0.0,1611240236.0,180914.30184740308,1.89921116,280231.1391044515,147551.3333299396,91970.02,119087.53993891488,0.99907776324,0.9501169,,0.0001992875300577552,1.29485173471654,,,,,,,,0.0,139718.16,139718.16,114053.35,139718.16,139718.16,139718.16,139718.16,139718.16,139718.16,139718.16,139718.16,139718.16,64.55895699999999,216401.02,216419.48,216419.48,216219.89,216419.48,216419.48,214773.61,216419.48,216419.48,216419.48,216419.48,216418.48,216316.89,215448.06,113752.3,206310.27,214459.22,0.0,216418.48,216316.89,215527.06,113752.3,206310.27,0.0,214459.22,0.0,216419.48,214459.22,113752.3,216419.48,15.0,0.00017361,15.0,227781.95,294943.8530946162,15185.46333333,19662.92353963676,100.0,129.485173471654,1.20127610509,,
8,2018-09-17,17.0,65.0,83.0,83.0,36.0,83.0,83.0,8.0,83.0,83.0,83.0,83.0,83.0,14.0,1.0,47.0,3.0,81.0,7.0,0.0,16.0,2.0,49.0,3.0,0.0,81.0,7.0,0.0,1611240236.0,257459.29504676285,2.11728459,439624.4238765743,207635.9627014185,24828.78,45245.25110795912,0.9988910179080001,131.10107218,,0.00029116608188248683,1.8222905478222902,,,1.29485173471654,0.00019928753005775502,0.00588508807721614,1.11411918937245,1.29485173471654,0.0,141283.34,141283.34,114000.18,141283.34,141283.34,141283.34,141283.34,141283.34,141283.34,141268.34,141283.34,141283.34,58.563465,241229.8,241248.26,241248.26,240980.72,241248.26,241248.26,239382.03,241248.26,241248.26,241248.26,241248.26,241247.26,241140.67,240056.48,113579.82,229401.39,239067.64,0.0,241247.26,241154.68,240217.99,213544.74,229401.39,0.0,239067.64,0.0,241248.26,239382.03,113579.82,241248.26,24.0,0.00027778,24.0,1840.17,3353.324397386143,119.50708333,217.77662835006979,10.04,18.295797100135793,1.0895320861589999,,
9,2018-09-18,28.0,71.0,91.0,91.0,38.0,91.0,91.0,9.0,91.0,91.0,91.0,91.0,91.0,18.0,1.0,53.0,3.0,88.0,8.0,0.0,20.0,2.0,53.0,3.0,0.0,88.0,8.0,0.0,1611240236.0,185415.26780191308,1.97938616,309191.2398122915,156205.61849794968,6089.6,7612.465693529211,0.998595645648,16.09285581,,0.00019716212973657364,1.2500764735827,,,1.8222905478222902,0.000291166081882487,0.00925905753902697,1.5639995224558798,1.8222905478222902,0.0,148323.14,148323.14,119376.1,148323.14,148323.14,148323.14,148323.14,148323.14,148323.14,132083.2,148323.14,148323.14,59.967827,247316.36,247337.86,247337.86,246990.51,247337.86,247337.86,244950.9,247337.86,247337.86,247337.86,247337.86,247336.08,247227.23,246074.6,113221.96,228093.33,244636.51,0.0,247336.08,247227.23,246237.5,212236.68,228093.33,0.0,244636.51,0.0,247337.86,244950.9,113221.96,247337.86,30.0,0.00034722,30.0,15369.42,19212.95035461142,629.32,786.6981263550647,19.39,24.238982822768556,1.139038398731,,
