,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-04-09,936.0,322.0,906.0,935.0,150.0,547.0,927.0,55.0,469.0,935.0,935.0,935.0,935.0,550.0,151.0,907.0,344.0,928.0,476.0,58.0,,,,,,,,,1614335359.0,,,,0.0,1000000000.05,,0.9934790508399999,,,,,,,,,,,,2.3170974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998964625.46,999999851.03,1000000000.05,993479050.89,999982453.2,999999996.77,954020210.23,999944652.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993579050.89,999184625.46,999951652.86,957020210.23,,,,,,,,,982657944.56,979744545.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2019-04-10,0.0,322.0,906.0,935.0,150.0,547.0,927.0,55.0,469.0,935.0,935.0,935.0,935.0,550.0,151.0,907.0,344.0,928.0,476.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934790508399999,,,,,,,,,,,,2.3170974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998964625.46,999999851.03,1000000000.05,993479050.89,999982453.2,999999996.77,954020210.23,999944652.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993579050.89,999184625.46,999951652.86,957020210.23,,,,,,,,,982657944.56,979744545.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,0.0,,
2,2019-04-11,0.0,322.0,906.0,935.0,150.0,547.0,927.0,55.0,469.0,935.0,935.0,935.0,935.0,550.0,151.0,907.0,344.0,928.0,476.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934790508399999,,,,,,,,,,,,2.3170974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998964625.46,999999851.03,1000000000.05,993479050.89,999982453.2,999999996.77,954020210.23,999944652.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993579050.89,999184625.46,999951652.86,957020210.23,,,,,,,,,982657944.56,979744545.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,0.0,,
3,2019-04-12,2.0,322.0,907.0,936.0,150.0,548.0,928.0,55.0,470.0,936.0,936.0,936.0,936.0,551.0,151.0,908.0,345.0,929.0,477.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934790508399999,100000.000005,,,,,,,,,,,2.3170974e-05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.001,998954625.46,999999851.03,1000000000.05,993479050.89,999982453.2,999999996.77,954020210.23,999944652.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993579050.89,999184625.46,999951652.86,957020210.23,,,,,,,,,982657944.56,979744545.66,757277174.94,1000000000.05,1.0,1.157e-05,1.0,10000.0,,10000.0,,10000.0,,9.9999999995e-06,,
4,2019-04-13,0.0,322.0,907.0,936.0,150.0,548.0,928.0,55.0,470.0,936.0,936.0,936.0,936.0,551.0,151.0,908.0,345.0,929.0,477.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934790508399999,,,,,,,,,,,,2.3170974e-05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.001,998954625.46,999999851.03,1000000000.05,993479050.89,999982453.2,999999996.77,954020210.23,999944652.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993579050.89,999184625.46,999951652.86,957020210.23,,,,,,,,,982657944.56,979744545.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,9.9999999995e-06,,
5,2019-04-14,0.0,322.0,907.0,936.0,150.0,548.0,928.0,55.0,470.0,936.0,936.0,936.0,936.0,551.0,151.0,908.0,345.0,929.0,477.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934790508399999,,,,,,,,,,,,2.3170974e-05,10000.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.001,998954625.46,999999851.03,1000000000.05,993479050.89,999982453.2,999999996.77,954020210.23,999944652.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993579050.89,999184625.46,999951652.86,957020210.23,,,,,,,,,982657944.56,979744545.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,9.9999999995e-06,,
6,2019-04-15,3.0,322.0,908.0,937.0,150.0,549.0,929.0,55.0,470.0,937.0,937.0,937.0,937.0,552.0,151.0,909.0,345.0,930.0,478.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934779508399999,909090.90913636,,,,,,,,,,,2.3170974e-05,11000.0,11000.0,1000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,0.0011,998953525.46,999999851.03,1000000000.05,993477950.89,999982453.2,999999996.77,954019110.23,999943552.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993577950.89,999183525.46,999951552.86,957019110.23,,,,,,,,,982656844.56,979743445.66,757277174.94,1000000000.05,2.0,2.315e-05,2.0,1100.0,,550.0,,550.0,,1.1099999999444999e-05,,
7,2019-04-16,0.0,322.0,908.0,937.0,150.0,549.0,929.0,55.0,470.0,937.0,937.0,937.0,937.0,552.0,151.0,909.0,345.0,930.0,478.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934779508399999,,,,,,,,,,,,2.3170974e-05,11000.0,11000.0,1000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,0.0011,998953525.46,999999851.03,1000000000.05,993477950.89,999982453.2,999999996.77,954019110.23,999943552.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993577950.89,999183525.46,999951552.86,957019110.23,,,,,,,,,982656844.56,979743445.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,1.1099999999444999e-05,,
8,2019-04-17,0.0,322.0,908.0,937.0,150.0,549.0,929.0,55.0,470.0,937.0,937.0,937.0,937.0,552.0,151.0,909.0,345.0,930.0,478.0,58.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934779508399999,,,,,,,,,,,,2.3170974e-05,11000.0,11000.0,0.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,0.0011,998953525.46,999999851.03,1000000000.05,993477950.89,999982453.2,999999996.77,954019110.23,999943552.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993577950.89,999183525.46,999951552.86,957019110.23,,,,,,,,,982656844.56,979743445.66,757277174.94,1000000000.05,0.0,0.0,0.0,0.0,,,,,,1.1099999999444999e-05,,
9,2019-04-18,3.0,323.0,909.0,938.0,151.0,550.0,930.0,56.0,471.0,938.0,938.0,938.0,938.0,553.0,152.0,910.0,346.0,931.0,479.0,59.0,,,,,,,,,1614335359.0,,,,0.0,0.0,,0.9934779508399999,18.69112208,,,,,,,,,,,2.3410257e-05,3512335.86541952,3512335.86541952,3501335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,3512335.86541952,0.351234,998953525.46,999999851.03,1000000000.05,993477950.89,999982453.2,999999996.77,954019110.23,999943552.86,1000000000.05,1000000000.05,1000000000.05,999999997.77,999999861.03,999982753.2,993577950.89,999183525.46,999951552.86,957019110.23,,,,,,,,,982246016.56,979302269.16,749536823.4345804,1000000000.05,2.0,2.315e-05,2.0,53501335.86541952,,26750667.93270976,,26750667.93270976,,0.0535124358627439,,
