,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2018-01-31,7.0,2.0,5.0,5.0,2.0,3.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,2.0,2.0,,,,,,,,,1614335239.0,,,,,,0.0,500000000.0,,0.999999588,0.9803921,,0.01960823,,,,,,,,,,,5.5571e-08,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,499999794.0,500000000.0,500000000.0,499999794.0,499999972.77,500000000.0,499999794.0,499999794.0,500000000.0,500000000.0,500000000.0,500000000.0,499999992.77,499999972.77,499999794.0,499999794.0,499999794.0,499999794.0,,,,,,,,,500000000.0,489999800.0,489999800.0,500000000.0,10000200.0,8.0,9.259e-05,8.0,510000027.23,,63750003.40375,,11.5,,1.02000005446,,
1,2018-02-01,1074.0,374.0,1042.0,1065.0,82.0,1024.0,1064.0,13.0,923.0,1067.0,1066.0,1066.0,1065.0,1005.0,46.0,1036.0,231.0,1062.0,712.0,8.0,,,,,,,,,1614335239.0,,,,,,0.0,0.0,,0.988968753749,9.98587891,,0.59915673,,,,,,,,,,,7.48851e-07,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,498954410.9953144,499999963.0429072,499999999.98897487,494484376.8744966,499999637.8129072,499999999.5389749,485584860.0,499974088.8838072,499999999.9999749,499999999.9999749,499999999.98897487,499999998.5389749,499999916.8129072,499998035.9629072,491905094.1718644,497924914.02608263,499813467.7675784,481800853.5,,,,,,,,,495303229.4967188,495537041.4967188,483657303.0,500000000.0,30000200.0,1290.0,0.01493056,1289.0,50070705.30491202,,38852.08596192,,3000.0,,1.1201607320698241,,
2,2018-02-02,1927.0,219.0,1294.0,1316.0,17.0,1266.0,1315.0,11.0,1117.0,1319.0,1318.0,1318.0,1316.0,1239.0,16.0,1285.0,32.0,1313.0,800.0,7.0,,,,,,,,,1614335239.0,,,,,,0.0,0.0,,0.993546358476,5.29249969,,0.52925209,,,,,,,,,,,1.020207e-06,500000000.0,500000000.0,499999992.77,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,498390825.13487536,499999968.4361278,499999999.9663216,496773179.23808897,499999493.70612776,499999999.5163216,495570497.88655263,499960374.4297438,499999999.9999749,499999999.9999749,499999999.9663216,499999998.5163216,499999898.20612776,499997255.35612774,496703130.23808897,497053635.1902897,499729637.71872383,492633674.8519516,,,,,,,,,497648546.4205897,497873229.78196937,496266016.9560596,500000000.0,50000200.0,2483.0,0.02873843,2483.0,94473316.79496992,,38407.85613974,,3319.5,,1.3108941456597638,,
3,2018-02-03,1129.0,49.0,977.0,1008.0,17.0,937.0,1007.0,12.0,750.0,1011.0,1010.0,1010.0,1008.0,902.0,16.0,961.0,27.0,1003.0,311.0,9.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.9977355229610001,38.17735492,,3.81775076,,,,,,,,,,,1.4603409999999999e-06,500000000.0,500000000.0,496871791.298165,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,499209967.43447375,499999957.93812776,499999999.9663216,498867761.48073405,499999275.2230324,499999999.5163216,497677679.9804504,499950543.74797773,499999999.9999749,499999999.9999749,499999999.9663216,499999997.5163216,499999833.0039324,499996367.8458324,498797712.48073405,499055643.4255941,499631195.66471773,495311748.68098336,,,,,,,,,499366111.99823815,499367911.99823815,496306747.18098336,500000000.0,50000200.0,1507.0,0.01744213,1507.0,13096769.04271287,,10659.26062998,,3319.5,,1.34302115719852,,
4,2018-02-04,965.0,43.0,417.0,455.0,13.0,362.0,453.0,11.0,178.0,459.0,457.0,457.0,455.0,322.0,12.0,394.0,25.0,448.0,127.0,8.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.9987053773200001,42.22001718,,4.22201861,,,,,,,,,,,1.984384e-06,500000000.0,500000000.0,48146182.15652382,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,499714769.12587374,499999945.85694337,499999999.9662773,499352688.6598576,499999032.692928,499999999.2975573,498878194.2976176,499955776.52179337,499999999.9999305,499999999.9999305,499999999.9662773,499999996.7975573,499999761.696928,499995631.702228,499282639.6598576,499594813.306994,499918788.02605337,496429399.10682577,,,,,,,,,499884342.1360534,499724526.2033537,487459672.7458407,500000000.0,50000200.0,1266.0,0.01465278,1266.0,11842723.744801473,,14022.07074072,,1124.5,,1.378525040314011,,
5,2018-02-05,574.0,40.0,311.0,358.0,14.0,248.0,355.0,10.0,158.0,363.0,360.0,360.0,358.0,199.0,12.0,287.0,25.0,346.0,109.0,8.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.998880437429,28.19026707,,2.81903798,,,,,,,,,,,2.458103e-06,500000000.0,500000000.0,48159364.09095274,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,499793091.2232279,499999932.4969034,499999999.9662373,499440218.7146882,499998816.4161275,499999998.9375173,498516371.8199176,499985694.6695475,499999999.9998905,499999999.9998905,499999999.9662373,499999994.4375173,499999746.730128,499994823.4339475,499310276.5187769,499688576.6643482,499950328.6738075,496903415.56674504,,,,,,,,,499940651.2838075,499771978.69434816,481502904.32102007,500000000.0,50000200.0,1085.0,0.01255787,1085.0,17736618.058471818,,18571.91574362,,3200.0,,1.4188260974776694,,
6,2018-02-06,186.0,39.0,315.0,363.0,15.0,248.0,360.0,11.0,158.0,368.0,365.0,365.0,363.0,197.0,13.0,291.0,26.0,351.0,107.0,7.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.99896460059,138.55710575,,13.855766000000001,,,,,,,,,,,2.5749549999999997e-06,500000000.0,500000000.0,48063061.84386866,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,499793446.0251222,499999932.4969034,499999999.9662373,499482300.2951625,499998759.4161275,499999998.9375173,498707452.0773359,499985866.0362075,499999999.9998905,499999999.9998905,499999999.9662373,499999994.4375173,499999746.730128,499994654.9339475,499326520.2614359,499702623.2062425,499948839.5404675,495717122.9455389,,,,,,,,,499941333.88570184,499777333.49624246,481788519.20074254,500000000.0,50000200.0,369.0,0.00427083,369.0,3608620.4116137293,,14943.12991188,,4292.5,,1.4298541273526353,,
7,2018-02-07,176.0,38.0,338.0,394.0,14.0,266.0,391.0,10.0,157.0,400.0,397.0,396.0,394.0,200.0,12.0,311.0,26.0,379.0,109.0,7.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.998938715582,157.71901734,,15.77196482,,,,,,,,,,,2.7491930000000003e-06,500000000.0,500000000.0,49039690.29244815,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,100.0,499784909.75476223,499999918.09292334,499999999.9614373,499469357.79107594,499998661.51214755,499999998.93271726,498682260.6234096,499983671.9543075,499999999.9998905,499999999.9950905,499999999.9614373,499999992.93271726,499999708.326148,499993611.1409875,499321971.92291594,499700885.4358825,499948653.9585675,496716220.7768532,,,,,,,,,499938739.30380183,499794666.83224225,486865809.28657514,500000000.0,50000200.0,288.0,0.00333333,288.0,3170194.74529082,,16827.06631947,,1700.8472199999999,,1.4395465175526527,,
8,2018-02-08,109.0,40.0,352.0,411.0,14.0,275.0,408.0,10.0,159.0,419.0,413.0,412.0,411.0,202.0,11.0,323.0,26.0,396.0,111.0,7.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.9987963122460001,146.09190242,,14.60924868,,,,,,,,,,,2.917932e-06,500000000.0,500000000.0,49029866.04339575,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,499999992.77,500000000.0,500000000.0,100.0,499784311.91542804,499999914.1150071,499999999.983521,499398156.12310165,499998579.7884664,499999998.95480096,498759956.5893062,499983138.5464064,499999999.999321,499999999.99452096,499999999.983521,499999992.95480096,499999685.9593429,499993114.2598864,499164401.95154613,499682045.5965483,499948146.61923325,496754426.39052826,,,,,,,,,499935725.1644677,499789238.91542804,486718464.4601954,500000000.0,50000200.0,170.0,0.00196759,170.0,3422503.1759558604,,30462.51954633,,2115.5,,1.4499037741984049,,
9,2018-02-09,127.0,39.0,345.0,407.0,14.0,263.0,404.0,8.0,146.0,418.0,411.0,410.0,407.0,189.0,10.0,316.0,25.0,390.0,100.0,7.0,,,,,,,,,1614335240.0,,,,,,0.0,0.0,,0.998971716533,192.56151638,,19.25622866,,,,,,,,,,,3.210967e-06,500000000.0,500000000.0,48997319.59789541,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,499971308.3503272,500000000.0,500000000.0,100.0,499803388.3391847,499999910.05031455,499999999.9188284,499485858.2663896,499998434.1872233,499999998.8901084,498550370.9796141,499982956.5499034,499999999.99926126,499999999.9944613,499999999.9188284,499999991.8901084,499999677.39465034,499992887.23382336,499173678.9380287,499706265.5061096,499949751.3531304,497784076.33568984,,,,,,,,,499949751.3531304,499813145.4166647,487645184.2029687,500000000.0,50000200.0,192.0,0.00222222,192.0,2596572.82205644,,22936.29512095,,1999.5,,1.4587113115248491,,
