,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2021-05-06,15887.0,6263.0,15835.0,15884.0,875.0,15283.0,15884.0,275.0,13029.0,15886.0,15886.0,15886.0,15884.0,14744.0,521.0,15737.0,5127.0,15835.0,11265.0,37.0,,,,,,,,,1622044094.0,15886.0,,,,,0.0,,0.0,,0.0,,469213710.0,,0.7892333665610001,,,,,,,,,,,4.2277503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457272878.98,469213679.98,469213709.98,370319115.98,469203196.98,469213709.98,307146568.0,468830839.98,469213710.0,469213710.0,469213709.98,469213679.98,469212840.98,469168042.98,345336997.98,449336160.98,467636416.98,188167002.0,,,,,,,,,219667002.0,391716307.694286,248667002.0,469213710.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2021-05-07,18.0,6263.0,15841.0,15893.0,875.0,15286.0,15891.0,275.0,13029.0,15902.0,15896.0,15895.0,15893.0,14746.0,521.0,15743.0,5127.0,15842.0,11265.0,37.0,,,,,,,,,1622044094.0,60.0,,,,,4.667e-05,,0.0,,0.0028,,0.0,,0.789232411607,1041374.585011702,,,,,,,,,,4.2385116e-05,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,9.544290000000001e-05,457272429.9795,469213676.6074,469213708.8064,370318666.9795,469203147.8584,469213708.6064,307146568.0,468830390.9795,469213708.8292,469213708.8264,469213708.8064,469213678.6064,469212837.6074,469167893.8585,345336548.9795,449335711.9795,467635967.9795,188167002.0,,,,,,,,,219667002.0,391759757.42847985,249167002.0,469213708.8306,44.0,0.000509259259,56.0,450.57149999999984,,8.04591964,,0.01005,,9.60269e-07,,
2,2021-05-08,164.0,6135.0,15715.0,15772.0,876.0,15159.0,15766.0,276.0,12901.0,15799.0,15787.0,15780.0,15771.0,14618.0,522.0,15615.0,4999.0,15717.0,11137.0,38.0,,,,,,,,,1622044094.0,186.0,,,,,0.0001,,0.0001,,0.0186,,0.0,,0.7958958763320001,150.062092172855,,,,,,,,,,4.2111409e-05,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,0.0001167579,457272329.9766,469213673.8283821,469213708.61205,373445255.9766,469203147.5549,469213708.06195,310273256.9971,468830290.9766,469213708.82655,469213708.809608,469213708.56205,469213678.06195,469212822.0035,469167793.5551,348463137.9766,449335611.9766,467635867.9766,191293690.9971,,,,,,,,,222293690.9971,394119169.9153756,250793690.9971,469213708.8306,186.0,0.002152777778,372.0,3126797.0613798765,,8405.36844726,,0.0001,,0.006664868428,,
3,2021-05-09,144.0,6135.0,15667.0,15743.0,876.0,15110.0,15724.0,276.0,12852.0,15824.0,15805.0,15796.0,15736.0,14569.0,522.0,15565.0,4999.0,15673.0,11137.0,38.0,,,,,,,,,1622044094.0,193.0,,,,,9.275e-05,,0.0001,,0.0179,,0.0,,0.7959621714899999,15051.264919189849,,,,,,,,,,4.2115115999999996e-05,566.9914,566.9914,364.8521,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,0.00012083860000000001,457303435.5778,469213660.66663206,469213706.8436,373476361.5778,469203123.0055,469213704.98555,310304382.9922,468830270.5778,469213707.57415,469213707.544408,469213706.35705,469213673.00775,469212785.0041,469167769.0057,348494243.5778,449366717.5778,467666973.5778,191324816.9922,,,,,,,,,222324816.9922,394213807.8635144,251324816.9922,469213707.5792,182.0,0.0021064814809999997,340.0,31174.370399990014,,91.68932471,,0.0001,,0.006731308044,,
4,2021-05-10,634.0,6237.0,15791.0,15893.0,941.0,15220.0,15873.0,284.0,12955.0,16127.0,16029.0,15908.0,15883.0,14675.0,541.0,15683.0,5098.0,15818.0,11240.0,45.0,,,,,,,,,1622044094.0,2436.0,,,,,9.897e-05,,0.0001,,0.2411,,0.0,,0.7941340390809999,12.705291385431002,,,,,,,,,,4.5092723999999995e-05,29999485.27889677,29999485.27889677,29999280.76027888,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,6.3935657038,457297648.5220532,469213595.99598527,469213684.8962243,372618559.3224859,469202797.2566532,469213682.46110886,302944772.813978,468829113.5315532,469213685.5576089,469213685.3006993,469213684.1157089,469213647.7929032,469212660.8630532,469167194.0426532,344171662.7680999,449339702.8572497,467665816.5315532,183371405.9012,,,,,,,,,210965206.813978,392786381.7671556,241465206.813978,469213685.5807,2411.0,0.027905092593,4070.0,36930572.57378171,,9878.21644458,,0.0001,,0.092415810251,,
5,2021-05-11,6623.0,6260.0,16042.0,16585.0,947.0,15263.0,16402.0,283.0,12980.0,20471.0,17055.0,16665.0,16506.0,14711.0,543.0,15776.0,5115.0,16289.0,11265.0,45.0,16434.0,13277.0,16633.0,15420.0,1419.0,16738.0,16071.0,7390.0,1622044094.0,13759.0,11409883636.292913,62.992103467071,172376385670.71848,2736476100.7040744,9.946e-05,0.036538907292590336,0.0001,0.0367372886513074,1.3685,502.7497951931418,0.0,0.0,0.7929469557,137.844038856558,,0.006489299448785417,367.37288651307404,,,,,,,5.218452e-05,31058044.98690695,31058044.98690695,22241111.15867906,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,6.6191686245,457282889.41271,469213085.20042413,469213680.79981345,372061562.7068624,469199967.77938145,469213652.39492446,302312614.156316,468823464.6854082,469213684.38310075,469213683.18090254,469213675.16546345,469213571.6328521,469210776.4780969,469163849.4068468,343420617.45575434,449284497.8353742,467660206.9177659,183206365.9006,469213683.7867644,469213682.620202,469213663.86358535,468922036.06651217,469205751.49972373,387868418.9463742,469213188.0813405,461294745.91786593,210850610.0684353,400723156.7725468,262850610.0684353,469213684.5123,13685.0,0.158391203704,27167.0,3403946.1438050987,1250517520.3847268,136.14146436,50014.682736049996,0.0001,0.0367372886513074,0.10029826420099999,,
6,2021-05-12,5045.0,6255.0,16387.0,17620.0,946.0,15273.0,17247.0,283.0,12978.0,22786.0,18555.0,17749.0,17494.0,14711.0,543.0,15866.0,5112.0,17042.0,11264.0,45.0,17287.0,12979.0,17679.0,15330.0,1013.0,17923.0,16437.0,6599.0,1622044094.0,12190.0,8430100432.718921,47.011618582197,126947792181.03918,2700349318.0962873,9.944e-05,0.02690392225961891,0.0001,0.0270554326826417,1.2122,327.96595497898267,0.0,0.0,0.792947632085,321.084922939264,,0.005307863966560139,270.554326826417,,367.37288651307404,0.00648929944878541,0.0884006357229748,302.846401501173,367.37288651307404,6.732641800000001e-05,31158623.59919872,31158623.59919872,7936787.14723727,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,6.640604210499999,457270053.3388061,469212065.2893653,469213676.3307197,372061878.9916429,469195205.78713614,469213611.0478357,302423956.9496814,468818484.0384553,469213682.7979184,469213680.20478153,469213667.5421798,469213458.42395306,469207488.29570097,469158466.58547753,343481951.5364532,449282523.27484053,467655833.9992369,183206365.9006,469213681.58808494,469213678.7302355,469213627.1651464,468818916.9314804,469197796.4609484,374871890.69389194,469212279.61009854,458696432.3484061,210944390.9496814,404604770.15080976,274444390.9496814,469213683.145,12122.0,0.140300925926,23952.0,1461338.26169644,395371389.65896666,75.00111188,20291.875335926183,0.0001,0.0270554326826417,0.104126854102,,
7,2021-05-13,3736.0,6257.0,16335.0,17916.0,948.0,15283.0,17418.0,283.0,12980.0,24058.0,19251.0,18080.0,17748.0,14717.0,540.0,15906.0,5112.0,17134.0,11267.0,45.0,17499.0,13175.0,17978.0,15397.0,1216.0,18305.0,16422.0,6994.0,1622044094.0,9587.0,9439856422.954317,52.437452572337996,141313513877.46704,2694896623.41099,9.966e-05,0.030014693455009962,0.0001,0.0301170915663355,0.9554,287.7386928247694,0.0,0.0,0.7931487844220001,357.388478073743,,0.006100453068659984,301.170915663355,,270.554326826417,0.0053078639665601396,0.0680553822814629,224.71730383644902,270.554326826417,6.5447783e-05,31343851.38804727,31343851.38804727,5696583.14315305,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,6.6800804565,457271870.6143296,469211700.933502,469213671.95515776,372156260.5322712,469195283.3950392,469213582.07590085,302579522.5596971,468817182.5927849,469213680.22834766,469213676.5359627,469213660.16472614,469213370.96475935,469208080.5100153,469158351.133952,343224506.0775816,449274918.03977627,467655310.94344467,183196365.9004,469213678.32043725,469213674.4690644,469213613.69766134,468885745.0417645,469199968.8434875,381975696.82242185,469212052.5770039,460082462.2970776,211099956.5596971,406726827.7153714,281099956.5596971,469213680.764,9554.0,0.110578703704,18888.0,1312895.3773019612,395405902.9522177,82.71240714,24910.571395074014,0.0001,0.0301170915663355,0.107456407903,,
8,2021-05-14,2379.0,6260.0,16287.0,18131.0,949.0,15290.0,17507.0,283.0,12983.0,24858.0,19738.0,18338.0,17922.0,14718.0,540.0,15904.0,5119.0,17172.0,11266.0,45.0,17616.0,13179.0,18203.0,15402.0,1217.0,18596.0,16393.0,6996.0,1622044094.0,5222.0,9522531002.410784,50.306152708367,142501672187.3361,2832688737.169805,9.927e-05,0.03014861182452903,0.0001,0.0303703151249411,0.5184,157.43971360769464,0.0,0.0,0.793119464611,736.7153027612179,,0.006074379390680733,303.703151249411,,301.170915663355,0.00610045306865998,0.0816810200784901,249.660156351549,301.170915663355,6.3155447e-05,31354732.28787991,31354732.28787991,5771983.069918901,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,6.6823994808,457278274.5365659,469211421.7399256,469213665.9576989,372142499.9591544,469195667.231776,469213551.516918,302638667.02949446,468817872.74783546,469213675.9814353,469213671.66839886,469213650.9702645,469213304.6928397,469208241.399868,469158266.83717114,343132687.3160239,449311472.2307566,467653042.02734715,183196246.9003,469213673.70302546,469213668.89337695,469213593.80290264,468886899.8296152,469200266.9872167,381960567.56237215,469211861.37878567,460085019.54616594,211159101.0294945,408007015.89032376,285159101.02949446,469213676.5822,5184.0,0.06,10201.0,636899.5931312698,193428413.46343437,70.77169049,21493.585421060965,0.0001,0.0303703151249411,0.108995029857,,
9,2021-05-15,1881.0,6259.0,16293.0,18312.0,962.0,15276.0,17571.0,283.0,12970.0,25668.0,20310.0,18545.0,18045.0,14707.0,539.0,15905.0,5116.0,17195.0,11253.0,45.0,17617.0,12971.0,18348.0,15331.0,1015.0,18811.0,16322.0,6456.0,1622044094.0,4675.0,7914510370.404159,42.69705183883,116802156298.94432,2735602372.263129,9.932e-05,0.02472389604759382,0.0001,0.0248931696008798,0.4643,115.57898645688493,0.0,0.0,0.794464122264,241.57962025520501,,0.005291019597302347,248.93169600879799,,303.703151249411,0.00607437939068074,0.0743148324087441,250.626839649243,303.703151249411,6.3018539e-05,31793903.69848456,31793903.69848456,5413741.7247064,31793903.69848456,31793903.69848456,31793903.69848456,31793903.69848456,31793903.69848456,31793903.69848456,31793801.69848456,31793903.69848456,31793903.69848456,6.7759967976999995,457296750.0538951,469211462.49627167,469213664.0570349,372773431.70992285,469195457.92393845,469213531.4422341,302579342.63416785,468817769.1452285,469213675.8812348,469213670.5608089,469213645.62733084,469213252.6290149,469208239.24089533,469158214.03794473,342960772.72022414,449302992.1914285,467653882.6299937,182921246.9001,469213672.7198989,469213665.59317654,469213551.4644447,468818174.1452285,469197968.12150246,375014612.0643328,469211589.59513336,458156166.0634951,211099776.63416782,409397377.1483086,289099776.63416785,469213676.5694,4643.0,0.053738425926,9129.0,1942273.4255220804,483493417.9280295,229.9646046,57245.479045070635,0.0001,0.0248931696008798,0.11346921077199999,,
