,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-09-12,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1614334992.0,,,,0.0,226000000.0,,1.0,1.34179109,,,,,,,,,,,0.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,74.52725,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,,,,,,,,,226000000.0,168431585.0,168431585.0,226000000.0,2.0,2.315e-05,2.0,168431585.0,,84215792.5,,84215792.5,,0.7452725,,
1,2017-09-13,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1614334992.0,,,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,74.52725,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,,,,,,,,,226000000.0,168431585.0,168431585.0,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.7452725,,
2,2017-09-14,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1614334992.0,,,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,168431585.0,168431585.0,0.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,168431585.0,74.52725,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,,,,,,,,,226000000.0,168431585.0,168431585.0,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.7452725,,
3,2017-09-15,19774.0,69.0,19775.0,19775.0,62.0,19775.0,19775.0,9.0,19737.0,19776.0,19775.0,19775.0,19775.0,19769.0,32.0,19775.0,68.0,19775.0,19486.0,3.0,,,,,,,,,1614334992.0,,,,0.0,0.0,,0.814718532923,4.46623996,,,,,,,,,,,0.0,219033433.97601444,219033433.97601444,50601848.97601443,219033433.97601444,219033433.97601444,219033433.97601444,219033433.97601444,219033433.97601444,219033433.97601444,219033433.97601444,219033433.97601444,219033433.97601444,96.917449,184239375.6762232,225999999.99999997,225999999.99999997,184126388.44053763,225999999.99999997,225999999.99999997,178848151.0239856,225993973.7929715,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999621.85778797,182423452.2693856,184230375.6762232,225832235.15511718,176988151.02398556,,,,,,,,,184306335.6762232,188360655.67622322,184515855.67622322,226000000.0,20140.0,0.23310185,20140.0,50601848.97601445,,2512.5049144,,2160.0,,0.9691744866195328,,
4,2017-09-16,1654.0,118.0,21310.0,21310.0,81.0,21310.0,21310.0,12.0,21268.0,21311.0,21310.0,21310.0,21310.0,21303.0,39.0,21310.0,95.0,21310.0,21000.0,3.0,,,,,,,,,1614334993.0,,,,0.0,0.0,,0.799723573836,32.44113144,,,,,,,,,,,0.0,225999898.76813585,225999898.76813585,57568313.768135875,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,99.999955,181089353.1705432,225999999.99999997,225999999.99999997,180737527.6868297,225999999.99999997,225999999.99999997,174370262.16911003,225993458.1753482,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999572.8720288,178462103.41451004,180973754.92251533,225820717.91455907,171523745.0,,,,,,,,,181013294.9225154,185437433.17054316,181294553.17054316,226000000.0,1699.0,0.01966435,1699.0,6966464.792121452,,4100.3324262,,2160.0,,0.9999995520713976,,
5,2017-09-17,0.0,118.0,21310.0,21310.0,81.0,21310.0,21310.0,12.0,21268.0,21311.0,21310.0,21310.0,21310.0,21303.0,39.0,21310.0,95.0,21310.0,21000.0,3.0,,,,,,,,,1614334993.0,,,,0.0,0.0,,0.799723573836,,,,,,,,,,,,0.0,225999898.76813585,225999898.76813585,3520453.0053552594,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,99.999955,181089353.1705432,225999999.99999997,225999999.99999997,180737527.6868297,225999999.99999997,225999999.99999997,174370262.16911003,225993458.1753482,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999572.8720288,178462103.41451004,180973754.92251533,225820717.91455907,171523745.0,,,,,,,,,181013294.9225154,185437433.17054316,181294553.17054316,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.9999995520713976,,
6,2017-09-18,0.0,118.0,21310.0,21310.0,81.0,21310.0,21310.0,12.0,21268.0,21311.0,21310.0,21310.0,21310.0,21303.0,39.0,21310.0,95.0,21310.0,21000.0,3.0,,,,,,,,,1614334993.0,,,,0.0,0.0,,0.799723573836,,,,,,,,,,,,0.0,225999898.76813585,225999898.76813585,0.0,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,99.999955,181089353.1705432,225999999.99999997,225999999.99999997,180737527.6868297,225999999.99999997,225999999.99999997,174370262.16911003,225993458.1753482,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999572.8720288,178462103.41451004,180973754.92251533,225820717.91455907,171523745.0,,,,,,,,,181013294.9225154,185437433.17054316,181294553.17054316,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.9999995520713976,,
7,2017-09-19,0.0,118.0,21310.0,21310.0,81.0,21310.0,21310.0,12.0,21268.0,21311.0,21310.0,21310.0,21310.0,21303.0,39.0,21310.0,95.0,21310.0,21000.0,3.0,,,,,,,,,1614334993.0,,,,0.0,0.0,,0.799723573836,,,,,,,,,,,,0.0,225999898.76813585,225999898.76813585,0.0,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,99.999955,181089353.1705432,225999999.99999997,225999999.99999997,180737527.6868297,225999999.99999997,225999999.99999997,174370262.16911003,225993458.1753482,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999572.8720288,178462103.41451004,180973754.92251533,225820717.91455907,171523745.0,,,,,,,,,181013294.9225154,185437433.17054316,181294553.17054316,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.9999995520713976,,
8,2017-09-20,0.0,118.0,21310.0,21310.0,81.0,21310.0,21310.0,12.0,21268.0,21311.0,21310.0,21310.0,21310.0,21303.0,39.0,21310.0,95.0,21310.0,21000.0,3.0,,,,,,,,,1614334993.0,,,,0.0,0.0,,0.799723573836,,,,,,,,,,,,0.0,225999898.76813585,225999898.76813585,0.0,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,57568313.768135875,225999898.76813585,225999898.76813585,99.999955,181089353.1705432,225999999.99999997,225999999.99999997,180737527.6868297,225999999.99999997,225999999.99999997,174370262.16911003,225993458.1753482,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999572.8720288,178462103.41451004,180973754.92251533,225820717.91455907,171523745.0,,,,,,,,,181013294.9225154,185437433.17054316,181294553.17054316,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.9999995520713976,,
9,2017-09-21,0.0,118.0,21310.0,21310.0,81.0,21310.0,21310.0,12.0,21268.0,21311.0,21310.0,21310.0,21310.0,21303.0,39.0,21310.0,95.0,21310.0,21000.0,3.0,,,,,,,,,1614334993.0,,,,0.0,0.0,,0.799723573836,,,,,,,,,,,,0.0,225999898.76813585,225999898.76813585,0.0,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,225999898.76813585,57568313.768135875,225999898.76813585,225999898.76813585,99.999955,181089353.1705432,225999999.99999997,225999999.99999997,180737527.6868297,225999999.99999997,225999999.99999997,174370262.16911003,225993458.1753482,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999999.99999997,225999572.8720288,178462103.41451004,180973754.92251533,225820717.91455907,171523745.0,,,,,,,,,181013294.9225154,185437433.17054316,181294553.17054316,226000000.0,0.0,0.0,0.0,0.0,,,,,,0.9999995520713976,,
