,time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-05-21,3,1614334985,364665242.489493,340000001,364665243.56203777,1.0,,0.0001343399999999999,1.07254483085145,,,340000000.0,2,2.315e-05,2,340000000.0,364665242.489493,170000000.0,182332621.2447465,170000000.0,182332621.2447465,1.0,,
1,2019-05-22,2,1614334985,382260821.7404312,0,0.0,340000000.0,,0.00014662374632483017,1.12429653453068,,,340000000.0,1,1.157e-05,1,1.0,1.12429653453068,1.0,1.12429653453068,1.0,1.12429653453068,1.0000000029411764,,
2,2019-05-23,0,1614334985,377828970.4090512,0,0.0,,,0.00014071107527315258,1.11126167767368,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
3,2019-05-24,0,1614334985,413928918.755396,0,0.0,,,0.00015242552870310043,1.2174379963394,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
4,2019-05-25,0,1614334985,453740677.2679382,0,0.0,,,0.00016554192315107488,1.33453140372923,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
5,2019-05-26,0,1614334985,502387088.90653133,0,0.0,,,0.00016922692112621312,1.47760908501921,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
6,2019-05-27,0,1614334985,479309013.5296246,0,0.0,,,0.00015989185622442966,1.4097323927341898,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
7,2019-05-28,0,1614334985,494465483.46635187,0,0.0,,,0.00016679541857594584,1.45431024548927,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
8,2019-05-29,0,1614334985,511614869.0332206,0,0.0,,,0.00017384918410286366,1.5047496148035902,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
9,2019-05-30,0,1614334986,477509155.6635981,0,0.0,,,0.00016978999999999955,1.40443869312823,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
10,2019-05-31,0,1614334986,504760637.8818514,0,0.0,,,0.00017351000000000004,1.4845901114172102,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
11,2019-06-01,0,1614334986,478924482.258771,0,0.0,,,0.00016465612422726273,1.4086014184081497,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
12,2019-06-02,0,1614334986,489697228.42263967,0,0.0,,,0.00016471039574479676,1.44028596594894,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
13,2019-06-03,0,1614334986,483056982.97431934,0,0.0,,,0.00017382675648113977,1.42075583227741,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
14,2019-06-04,0,1614334986,497135421.9498082,0,0.0,,,0.00019113393483060088,1.4621630057347301,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
15,2019-06-05,0,1614334986,505005764.063211,0,0.0,,,0.00019046003740502668,1.48531107077415,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.0000000029411764,,
16,2019-06-06,2,1614334986,560734102.6164868,0,0.0,32.38095238,,0.0002120713313851549,1.64921794887202,,,340000000.0,1,1.157e-05,1,10500000.0,17316788.46315621,10500000.0,17316788.46315621,10500000.0,17316788.46315621,1.030882355882353,,
17,2019-06-07,0,1614334986,575098856.3934269,0,0.0,,,0.00021080231121485665,1.6914672246865499,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.030882355882353,,
18,2019-06-08,0,1614334986,585575076.9982476,0,0.0,,,0.00021691711630625384,1.72227963823014,,,340000000.0,0,0.0,0,0.0,0.0,,,,,1.030882355882353,,
