,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-05-21,6,1,3,4,1,1,3,1,1,4,4,4,4,1,1,2,1,3,1,1,1,1,2,1,1,3,1,1,1614334989,707879577.6365086,1.00000001,707879587.2894121,707879577.6365086,660000000,707879588.3619571,0.999999970455,1.00000001,,0.0001343399999999999,1.07254483085145,,,2.9544999999999998e-08,659999990,659999990.0,659999990.0,659999990.0,659999990.0,659999990.0,659999990,659999990,659999990,659999990.0,659999990.0,659999990,99.999999,659999979.5,659999998.5,659999999.0,659999979.5,659999979.5,659999998.5,659999979.5,659999979.5,659999999.0,659999999.0,659999999.0,659999998.5,659999989.5,659999979.5,659999979.5,659999979.5,659999979.5,659999979.5,659999998.5,659999989.5,659999979.5,659999979.5,659999979.5,659999979.5,659999979.5,659999979.5,659999999.0,659999979.5,659999979.5,659999999,5,5.787e-05,4,659999991.5,707879579.245326,164999997.875,176969894.81133148,5.5,5.898996569682975,0.9999999886363636,,
1,2019-05-22,220,17,170,176,4,152,172,2,84,196,190,182,174,147,4,170,14,171,69,2,147,4,170,14,1,172,73,2,1614334989,742035711.6659522,1.0,742035712.7902488,742035711.6659522,1,1.12429653453068,0.999347442576,78.40402772,,0.00014662374632483017,1.12429653453068,,,1.2827580000000001e-06,659999999,659999999.0,659999999.0,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659836565.3867539,659999997.2103257,659999999.7635813,659569312.1,659999157.137196,659999999.1370085,658640856.1509,659980699.164584,659999999.9981722,659999999.9579494,659999999.6046637,659999998.2103258,659999997.2103257,659998767.7894174,659569312.1,659815399.1703193,659968566.9490455,658640856.1509,659999999.1370085,659999997.2103257,659998767.7894174,659569312.1,659815399.1703193,657070641.3919,659972310.7266728,658640856.1509,659988664.6406618,659848847.1432265,657070641.3919,660000000,237,0.00274306,235,8417934.883740667,9464255.017694553,37684.66652017,42368.739973571464,515.9958204334417,580.1323127456336,1.013418012321577,,
2,2019-05-23,78,28,193,201,12,171,196,4,103,225,216,207,199,165,12,193,25,195,82,4,166,12,193,25,1,196,91,4,1614334989,733432706.153367,0.99990178,733432707.2646288,733504754.0295006,0,0.0,0.9992937829200002,24.76235627,,0.00014071107527315258,1.11126167767368,,,1.4207239999999998e-06,659999999,659999999.0,659999999.0,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659822125.8008087,659999996.0003021,659999999.7190105,659533896.72738,659999069.568572,659999998.9269844,656955972.71472,659980673.6503987,659999999.9971732,659999999.9479254,659999999.5600933,659999998.0003021,659999996.0003021,659998580.8760332,659533896.72738,659800959.5843743,659962679.2588606,656955972.71472,659999998.9269844,659999996.0003021,659998680.2207931,659533896.72738,659800959.5843743,649899515.8658401,659971392.0364425,656955972.71472,659978626.8408111,659769444.014568,654899615.53822,660000000,120,0.00138889,120,26653360.160848893,29618857.727985766,227160.55685407,252434.8215109411,998.2361900000001,1109.3016232139826,1.0547199317495903,,
3,2019-05-24,129,48,242,251,16,219,246,5,146,280,269,257,249,213,14,242,39,245,121,5,217,16,242,43,1,246,137,5,1614334989,803509076.3665662,1.00016382,803509077.584004,803377466.6058245,0,0.0,0.998689991394,26.04584423,,0.00015242552870310043,1.2174379963394,,,1.5106379999999998e-06,659999999,659999999.0,659497239.1808486,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659767419.1130542,659999994.9877154,659999999.7064241,659135394.3201327,659999020.0790247,659999998.9143978,656036494.85385,659979544.6507505,659999999.9966437,659999999.9353387,659999999.5475066,659999997.9877155,659999994.9877154,659998526.8864859,658941814.3201327,659690732.4147158,659957823.2164701,656036494.85385,659999998.9143978,659999994.9877154,659998882.5570868,659135394.3201327,659730253.8966196,643680134.73347,659972958.0348223,656036494.85385,659933852.0410981,659530903.1409512,648680134.73347,660000000,175,0.00202546,174,25339935.007682186,30849799.703123208,148897.52895468,181273.50931047346,1145.238095,1394.2563717083515,1.0939747348376434,,
4,2019-05-25,107,63,303,316,21,274,310,6,196,347,336,323,314,268,17,302,51,309,159,6,272,20,302,58,1,310,190,6,1614334989,880790725.1267605,1.00166989,880790726.4612918,879322358.5780158,0,0.0,0.998270623955,119.03453596,,0.00016554192315107488,1.33453140372923,,,1.6810749999999998e-06,659999999,659999999.0,658649916.318403,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659681789.7330099,659999986.4399995,659999999.658708,658858611.8106257,659998907.6846428,659999998.6666821,655599376.6331728,659977644.636717,659999999.9966538,659999999.9281003,659999999.4997907,659999997.7399992,659999979.7733335,659998414.492104,658518932.8106257,659581970.9917716,659944331.0973366,655599376.6331728,659999998.6666821,659999979.7733335,659998770.162705,658792511.8106257,659646622.1546756,640771919.9710901,659973459.132019,655599376.6331728,659844997.8336608,659314303.7314968,649772019.64347,660000000,147,0.00170139,147,5544609.341094049,7399455.287100444,37856.13123193,50520.195952705486,1179.0,1573.4125249967622,1.1024063277029374,,
5,2019-05-26,218,88,408,429,27,375,422,6,266,473,461,445,427,367,20,405,74,421,221,6,374,26,407,88,1,422,265,6,1614334989,975221994.63507,1.00220871,975221996.1126788,973072764.7722718,0,0.0,0.997492457094,51.01775733,,0.00016922692112621312,1.47760908501921,,,1.8332650000000002e-06,659999999,659999999.0,652814270.9195163,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659581327.9802874,659999970.0736893,659999999.5491914,658345021.6821836,659998806.1942925,659999998.3003721,654086174.6923208,659968439.8505812,659999999.9956573,659999999.9085838,659999999.3902739,659999997.3736894,659999945.9260234,659998150.0804622,657715344.6650436,659461579.5217491,659927478.5638683,654086174.6923208,659999998.3003721,659999963.4070232,659998738.6723545,658278921.6821836,659581327.9802874,637894913.01395,659967767.850581,654086174.6923208,659651023.4079658,659050081.3292943,651191155.0863208,660000000,308,0.00356481,308,12936672.14085038,19115344.28523544,43933.20088296,64916.096758635664,932.1322,1377.3270071589434,1.1229084881149878,,
6,2019-05-27,335,65,291,314,24,258,304,7,166,365,351,336,312,248,20,289,54,302,146,7,256,23,290,62,1,304,164,7,1614334989,930423377.7948328,0.95648429,930423379.2045654,972753432.4004611,0,0.0,0.99828739809,150.28304245,,0.00015989185622442966,1.4097323927341898,,,1.873728e-06,659999999,659999999.0,652337394.3261135,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659743723.4753065,659999972.2357891,659999999.481651,658869682.7394559,659998784.1473124,659999997.2328317,655057313.6030477,659975986.8559152,659999999.9940327,659999999.9085584,659999999.3227338,659999995.5357891,659999957.6501231,659997945.935482,658561988.2956555,659654972.0757798,659958814.9927388,655057313.6030477,659999997.2328317,659999965.5691231,659998646.6253744,658803582.7394559,659722743.6682447,637894913.01395,659974627.4511299,655057313.6030477,659886808.0968434,659378289.5262852,648895012.3587099,660000000,508,0.00587963,508,4391713.058440062,6191140.158076696,9248.46469476,13037.860263261698,1231.2914,1735.791371475031,1.1300270033648967,,
7,2019-05-28,139,70,299,326,24,260,314,8,174,382,365,349,324,250,21,296,55,311,152,5,259,23,298,69,1,314,171,8,1614334989,959844760.568608,0.98640843,959844762.0229181,973070318.532692,0,0.0,0.99824168498,194.21940738,,0.00016679541857594584,1.45431024548927,,,2.16515e-06,659999999,659999999.0,7096991.665077883,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659753510.711183,659999969.9984076,659999999.4692698,658839512.086742,659998595.0447247,659999996.78545,655410859.7555126,659977511.3573307,659999999.9938053,659999999.906177,659999999.3103521,659999994.2984074,659999948.4127414,659997756.8328947,658606197.094362,659635085.2714108,659958619.1857994,652747835.5685695,659999996.78545,659999963.3317417,659998527.5227866,658773412.086742,659746848.378866,637894913.01395,659975465.3559972,655410859.7555126,659877471.2965235,659395102.4032925,648895012.3587099,660000000,259,0.00299769,259,3398218.586458668,4942064.106698905,17055.76054422,24804.36730407079,1000.0,1454.31024548927,1.1367200972754326,,
8,2019-05-29,130,77,336,363,27,293,349,7,192,418,403,386,360,279,24,334,60,346,168,5,293,26,336,77,1,349,191,7,1614334989,993134744.2656194,1.02038935,993134745.7703693,973289993.561001,0,0.0,0.9982078301109999,399.91759344,,0.00017384918410286366,1.5047496148035902,,,2.407971e-06,659999999,659999999.0,6230155.526505752,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659999999.0,659999999.0,659999999,100.0,659730654.7509365,659999974.188408,659999999.4625459,658817167.8733946,659998432.4768654,659999996.205071,654140748.483145,659973989.7872106,659999999.9940076,659999999.899453,659999999.2299728,659999993.4884082,659999959.6027421,659997240.9644156,658583852.8810147,659596689.5747539,659953163.1937015,652502635.999188,659999996.205071,659999974.188408,659998432.4768654,658751067.8733947,659730654.7509365,637894913.01395,659973328.2639936,654140748.483145,659835626.675771,659338069.5748131,650972635.999188,660000000,391,0.00452546,357,1650339.9971012978,2483348.4749331363,6123.92740297,9214.977400704256,1000.0,1504.74961480359,1.1400325852797668,,
9,2019-05-30,95,78,348,378,29,305,364,7,197,437,421,403,375,291,26,346,61,359,172,5,303,28,347,72,1,363,192,6,1614334989,926929536.0601933,0.95278689,926929537.4646318,972861349.1048989,0,0.0,0.9980870647040001,977.05578532,,0.00016978999999999955,1.40443869312823,,,2.401277e-06,659999999,659999999.0,4447962.815183812,659999999.0,659999999.0,659999999.0,659999999,659999999,659999999,659532569.9971584,659999999.0,659999999,100.0,659713944.8298838,659999966.9182853,659999999.4020213,658737462.7048961,659998437.1552213,659999996.5247086,654043453.6604248,659972877.4439689,659999999.9936764,659999999.8905464,659999999.1694489,659999992.237566,659999952.3326192,659997241.7653596,658504147.7125162,659577701.8132157,659951109.9110798,652369128.496188,659999995.8523285,659999960.2516192,659998299.6332831,658671362.7048961,659672341.6824064,637894913.01395,659969441.5759668,653335586.389455,659822095.5568725,659307133.3189903,650839128.496188,660000000,217,0.00251157,188,675498.7892338941,948696.6367613522,4996.80961,7017.7127584789805,327.9516875,460.5880394016977,1.141455918926251,,
