,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2018-04-30,52.0,49.0,50.0,50.0,40.0,50.0,50.0,31.0,49.0,50.0,50.0,50.0,50.0,49.0,10.0,49.0,31.0,50.0,40.0,1.0,,,,,,,,,1626362838.0,,,,,10000000.0,,0.9995197558299999,0.9999997558299999,,,,,,,,,,,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,100.0,9999997.558303831,10000000.0,10000000.0,9995197.558303835,10000000.0,10000000.0,9965364.558303835,9999997.558303831,10000000.0,10000000.0,10000000.0,10000000.0,9999997.558303831,9999997.558303831,9081933.558303833,9965364.558303835,9995197.558303835,6343697.558303833,,,,,,,,,10000000.0,8191736.558303838,6343697.558303833,10000000.0,49.0,0.00056712963,50.0,10000002.441696167,,200000.0488339233,,25000.0,,1.00000024417,,
1,2018-05-01,130.0,51.0,105.0,106.0,41.0,101.0,105.0,31.0,59.0,107.0,106.0,105.0,105.0,51.0,9.0,59.0,31.0,101.0,41.0,1.0,,,,,,,,,1626362839.0,,,,,0.0,,0.9994829258429999,400.12252232306,,,,,,,,,,,3.22309e-07,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,100.0,9999735.641609935,9999999.998297665,9999999.999993833,9994829.258428812,9999997.955391506,9999999.998297665,9964887.052030735,9999876.434515819,9999999.999993833,9999999.998297665,9999999.998297665,9999997.955391506,9999876.434515819,9999735.641609935,8981569.527030544,9964887.052030735,9994829.258428812,6343621.865722684,,,,,,,,,9999996.750042971,9081562.922937866,6343621.865722684,10000000.0,100.0,0.001157407407,100.0,24992.344699671696,,259.9722809200394,,2.4416961661170924,,1.002599966979,,
2,2018-05-02,92.0,48.0,155.0,158.0,37.0,152.0,157.0,31.0,55.0,161.0,158.0,157.0,155.0,49.0,9.0,55.0,31.0,152.0,39.0,1.0,,,,,,,,,1626362839.0,,,,,1429.99857,,0.999301000627,1914.884904203782,,,,,,,,,,,2.62741e-07,10001429.998569999,10001429.998569999,9501427.556873832,10001429.998569999,10001429.998569999,10001429.998569999,10001429.998569999,10001429.998569999,10001429.998569999,10001429.998569999,10001429.998569999,10001429.998569999,100.0,10000948.157605262,10001429.913083006,10001429.9981715,9994439.005271522,10001428.3318793,10001429.996475333,9963493.121481247,10001168.521266265,10001429.9981715,10001429.996475333,10001429.913083006,10001428.3318793,10001168.521266265,10001048.157605264,8980277.709727297,9963493.121481247,9996439.005271519,6343468.03886422,,,,,,,,,10001306.641330924,9511858.475015962,6343468.03886422,10001429.998569999,95.0,0.001099537037,95.0,5222.992764010871,,71.29983838214865,,2.4416961661170924,,1.003133867444,,
3,2018-05-03,51.0,47.0,174.0,177.0,38.0,170.0,176.0,31.0,55.0,180.0,177.0,176.0,174.0,48.0,9.0,55.0,31.0,170.0,39.0,1.0,,,,,,,,,1626362840.0,,,,,1448.1956421598777,,0.999444577139,5321.340611803696,,,,,,,,,,,3.32374e-07,10002878.194212157,10002878.194212157,7452703.286162903,10002878.194212157,10002878.194212157,10002878.194212157,10002878.194212157,10002878.194212157,10002878.194212157,10002878.194212157,10002878.194212157,10002878.194212157,100.0,10002324.808686526,10002878.108725164,10002878.19381366,9997322.366990352,10002876.085825294,10002878.192117494,9962907.688158682,10002564.645941153,10002878.19381366,10002878.192117494,10002878.108725164,10002876.085825294,10002564.645941153,10002424.808686526,8979748.76295978,9962907.688158682,9998322.366990354,6343409.438156233,,,,,,,,,10002710.886442091,9614121.34378576,6343409.438156233,10002878.194212157,58.0,0.0006712962960000001,58.0,1879.7665708569689,,45.25911997127461,,2.4416961661170924,,1.0032510631990001,,
4,2018-05-04,28.0,46.0,180.0,183.0,38.0,174.0,182.0,32.0,54.0,186.0,183.0,182.0,180.0,47.0,9.0,54.0,32.0,174.0,39.0,1.0,,,,,,,,,1626362840.0,,,,,1475.0148357612152,,0.999493315985,6764.448411429648,,,,,,,,,,,4.9162e-07,10004353.209047923,10004353.209047923,6902968.1964228675,10004353.209047923,10004353.209047923,10004353.209047923,10004353.209047923,10004353.209047923,10004353.209047923,10004353.209047923,10004353.209047923,10004353.209047923,100.0,10003786.604894413,10004353.123560924,10004353.208649421,9999284.163198253,10004350.090514017,10004353.206953255,9973449.092189552,10004026.442149047,10004353.208649421,10004353.206953255,10004353.123560924,10004350.090514017,10004026.442149047,10003886.604894415,8979253.894154917,9973449.092189552,10000284.16319825,6343380.13780224,,,,,,,,,10004175.12434615,9613626.474980893,6343380.13780224,10004353.209047923,34.0,0.000393518519,34.0,1478.960678027187,,57.318943245865334,,2.4416961661170924,,1.003297946177,,
5,2018-05-05,19.0,45.0,187.0,190.0,37.0,180.0,189.0,32.0,55.0,192.0,190.0,189.0,187.0,46.0,9.0,55.0,32.0,180.0,38.0,1.0,,,,,,,,,1626362841.0,,,,,1476.229473920178,,0.999447245807,2678.2625474868187,,,,,,,,,,,5.09118e-07,10005829.43852184,10005829.43852184,7400555.804214553,10005829.43852184,10005829.43852184,10005829.43852184,10005829.43852184,10005829.43852184,10005829.43852184,10005829.43852184,10005829.43852184,10005829.43852184,100.0,10005099.231713649,10005829.353034843,10005829.438123342,10000298.674348272,10005826.209003665,10005829.436427178,9975464.160704955,10005490.352157865,10005829.438123342,10005829.436427178,10005829.353034843,10005826.209003665,10005490.352157865,10005199.231713649,8978285.51909217,9975464.160704955,10001299.231713649,6343363.045929076,,,,,,,,,10005636.592658803,9661224.564823397,6343363.045929076,10005829.43852184,18.0,0.000208333333,18.0,3735.9404692833173,,216.37042668980314,,26.220848083058552,,1.003539162529,,
6,2018-05-06,47.0,46.0,207.0,211.0,37.0,201.0,209.0,32.0,56.0,213.0,211.0,209.0,207.0,47.0,9.0,56.0,32.0,201.0,38.0,1.0,,,,,,,,,1626362841.0,,,,,1505.2604711126526,,0.9994223692,2319.720628520678,,,,,,,,,,,3.89105e-07,10007334.698992953,10007334.698992953,7448495.8271598555,10007334.698992953,10007334.698992953,10007334.698992953,10007334.698992953,10007334.698992953,10007334.698992953,10007334.698992953,10007334.698992953,10007334.698992953,100.0,10006557.517380785,10007334.611809794,10007334.698594453,10001554.154248454,10007332.036229484,10007334.695202127,9976719.640605135,10006947.699112143,10007334.698594453,10007334.695202127,10007334.611809794,10007332.036229484,10006947.699112143,10006657.517380787,8976193.654812392,9976719.640605135,10002554.711613834,6343304.445221089,,,,,,,,,10007091.1442653,9728571.428295203,6843304.445221088,10007334.698992953,50.0,0.000578703704,49.0,4314.025825331729,,131.95774082718813,,2.4416961661170924,,1.004034333483,,
7,2018-05-07,25.0,48.0,212.0,217.0,37.0,205.0,215.0,32.0,55.0,219.0,217.0,215.0,212.0,49.0,9.0,55.0,32.0,205.0,38.0,1.0,,,,,,,,,1626362842.0,,,,,1561.4987528966171,,0.9993960847679999,6704.495128662829,,,,,,,,,,,4.6202199999999995e-07,10008896.197745848,10008896.197745848,7412274.081726621,10008896.197745848,10008896.197745848,10008896.197745848,10008896.197745848,10008896.197745848,10008896.197745848,10008896.197745848,10008896.197745848,10008896.197745848,100.0,10008274.62595846,10008896.053273665,10008896.197347352,10002851.67287333,10008893.035997184,10008896.193955023,9978017.159230012,10008495.752575506,10008896.197347352,10008896.193955023,10008896.053273665,10008893.035997184,10008495.752575506,10008374.625958458,8975664.06395404,9978017.159230012,10003852.230238708,6343284.911651759,,,,,,,,,10008641.639424833,9728008.868766125,6843284.91165176,10008896.197745848,22.0,0.00025462963,21.0,1492.863520021986,,95.3744533343803,,10.0,,1.004077801329,,
8,2018-05-08,37.0,48.0,225.0,229.0,37.0,218.0,227.0,32.0,54.0,233.0,229.0,227.0,225.0,49.0,9.0,54.0,32.0,218.0,38.0,1.0,,,,,,,,,1626362842.0,,,,,1548.1287818416897,,0.999380168908,4612.930201390512,,,,,,,,,,,4.5365299999999997e-07,10010444.326527694,10010444.326527694,7028782.6112798415,10010444.326527694,10010444.326527694,10010444.326527694,10010444.326527694,10010444.326527694,10010444.326527694,9510441.88483153,10010444.326527694,10010444.326527694,100.0,10009838.62828283,10010444.239344368,10010444.32612886,10004239.541889735,10010441.222067887,10010444.322736701,9979405.02824642,10010009.754899882,10010444.32612886,10010444.322736701,10010444.239344368,10010441.222067887,10010009.754899882,10009938.628282832,8975131.354628675,9979405.02824642,10005240.099255115,6343245.844513102,,,,,,,,,10010158.083445368,9786767.836848274,6843245.844513103,10010444.326527694,39.0,0.00045138888899999997,39.0,2170.0836322019713,,71.86309940760042,,2.4416961661170924,,1.00420249301,,
9,2018-05-09,22.0,47.0,225.0,229.0,37.0,217.0,227.0,32.0,53.0,233.0,229.0,227.0,225.0,48.0,9.0,53.0,32.0,217.0,38.0,1.0,,,,,,,,,1626362843.0,,,,,1581.1385898027356,,0.999357355476,2677.443458479605,,,,,,,,,,,6.03661e-07,10012025.465117496,10012025.465117496,7475492.94258481,10012025.465117496,10012025.465117496,10012025.465117496,10012025.465117496,10012025.465117496,10012025.465117496,7551618.1569469785,10012025.465117496,10012025.465117496,100.0,10011421.623734439,10012025.377934167,10012025.464718664,10005591.291780716,10012021.33412717,10012025.461326499,9980756.7781374,10011592.75035149,10012025.464718664,10012025.461326499,10012025.377934167,10012021.33412717,10011592.75035149,10011521.623734439,8973648.715528866,9980756.7781374,10006591.849146098,6343233.636032271,,,,,,,,,10011740.637200812,9785285.19774847,6843233.636032269,10012025.465117496,27.0,0.0003125,27.0,3739.3975336468384,,166.17923073381314,,89.0,,1.004492050396,,
