,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2014-04-22,156.0,146.0,152.0,153.0,112.0,150.0,153.0,39.0,150.0,153.0,153.0,153.0,153.0,150.0,85.0,152.0,136.0,153.0,149.0,25.0,,,,,,,,,1614334997.0,,,,0.0,452552412.0,,0.998387305027,277.25017567,,,,,,,,,,,2.64512e-07,11632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,1632289.0,0.360685,452542432.0,452552411.0,452552412.0,451822583.0,452552370.0,452552412.0,439883702.0,452552370.0,452552412.0,452552412.0,452552412.0,452552412.0,452552411.0,452552370.0,449950638.0,452468076.0,452551669.0,429766543.0,,,,,,,,,451224157.0,412376421.0,158783133.0,452552412.0,203.0,0.0023495370370370397,12.0,1632289.0,,136024.083333333,,47600.0,,0.00360685073533538,,
1,2014-04-23,13.0,149.0,156.0,158.0,114.0,154.0,158.0,40.0,153.0,158.0,158.0,158.0,158.0,154.0,87.0,156.0,139.0,158.0,152.0,26.0,,,,,,,,,1614334997.0,,,,0.0,0.0,,0.9983422008589999,44.62860207,,,,,,,,,,,2.7710799999999997e-07,11672702.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,11772701.0,2.6014009999999996,452542021.0,452552410.0,452552412.0,451802172.0,452552369.0,452552412.0,439883702.0,452551959.0,452552412.0,452552412.0,452552412.0,452552412.0,452552410.0,452552369.0,449930228.0,452467665.0,452551258.0,429766543.0,,,,,,,,,451077564.0,412376421.0,158783133.0,452552412.0,9.0,0.000104166666666667,9.0,10140412.0,,1126712.44444444,,10000.0,,0.0260140056440579,,
2,2014-04-24,37.0,160.0,167.0,170.0,119.0,165.0,170.0,43.0,165.0,170.0,170.0,170.0,170.0,165.0,89.0,167.0,149.0,170.0,164.0,29.0,,,,,,,,,1614334997.0,,,,0.0,0.0,,0.998018298044,21.59169532,,,,,,,,,,,2.85941e-07,24207922.0,23398010.0,19876150.0,23398010.0,23398010.0,23398010.0,23398010.0,23398010.0,23398010.0,23398010.0,23398010.0,23398010.0,5.170232,452539797.0,452552408.0,452552412.0,451703902.0,452552367.0,452552412.0,439389398.0,452552367.0,452552412.0,452552412.0,452552412.0,452552412.0,452552408.0,452552367.0,449652715.0,452460681.0,452551666.0,429702239.0,,,,,,,,,450672377.0,413619935.0,157375256.0,452552412.0,35.0,0.000405092592592593,35.0,20959559.0,,598844.542857143,,26137.0,,0.072328108594856,,
3,2014-04-25,1513.0,1328.0,1613.0,1619.0,555.0,1605.0,1619.0,119.0,1560.0,1619.0,1619.0,1619.0,1619.0,1597.0,341.0,1611.0,1145.0,1619.0,1531.0,56.0,,,,,,,,,1614334997.0,,,,0.0,0.0,,0.967552125211,2.04146373,,,,,,,,,,,5.53118e-07,202556390.0,202556390.0,195317860.0,202556390.0,202556390.0,202556390.0,202556390.0,202556390.0,202556390.0,202556390.0,202556390.0,202556390.0,44.758659,452030299.0,452552403.0,452552412.0,437869120.0,452552267.0,452552412.0,380692878.0,452542176.0,452552412.0,452552412.0,452552412.0,452552412.0,452552389.0,452551680.0,424638409.0,450842251.0,452524259.0,338865299.0,,,,,,,,,371625655.0,394512115.0,262150302.0,452552412.0,1942.0,0.0224768518518519,1939.0,221680359.0,,114327.157813306,,23798.0,,0.562172716913947,,
4,2014-04-26,23.0,1325.0,1613.0,1619.0,555.0,1604.0,1619.0,119.0,1559.0,1619.0,1619.0,1619.0,1619.0,1596.0,342.0,1611.0,1142.0,1619.0,1530.0,57.0,,,,,,,,,1614334998.0,,,,0.0,0.0,,0.967721310035,84.18813842,,,,,,,,,,,6.30948e-07,205901713.0,205901713.0,186956073.0,205901713.0,205901713.0,205901713.0,205901713.0,205901713.0,205901713.0,205901713.0,205901713.0,205901713.0,45.497871,452028208.0,452552403.0,452552412.0,437940329.0,452552248.0,452552412.0,380710072.0,452542157.0,452552412.0,452552412.0,452552412.0,452552412.0,452552389.0,452551661.0,424786386.0,450840160.0,452524240.0,340080455.0,,,,,,,,,371642849.0,394419574.0,259926476.0,452552412.0,19.0,0.00021990740740740697,19.0,5375489.0,,282920.473684211,,44272.0,,0.574050874796796,,
5,2014-04-27,19.0,1322.0,1608.0,1614.0,553.0,1599.0,1614.0,119.0,1555.0,1614.0,1614.0,1614.0,1614.0,1591.0,340.0,1606.0,1139.0,1614.0,1526.0,57.0,,,,,,,,,1614334998.0,,,,0.0,0.0,,0.9677963908409999,236.63625977,,,,,,,,,,,6.30373e-07,206650212.0,206650212.0,11741912.0,206650212.0,206650212.0,206650212.0,206650212.0,206650212.0,206650212.0,206650212.0,206650212.0,206650212.0,45.663266,452032670.0,452552403.0,452552412.0,437978591.0,452552248.0,452552412.0,381007833.0,452542335.0,452552412.0,452552412.0,452552412.0,452552412.0,452552389.0,452551661.0,424872281.0,450844622.0,452524418.0,340321716.0,,,,,,,,,371940610.0,394663051.0,260163453.0,452552412.0,14.0,0.000162037037037037,14.0,1912439.0,,136602.785714286,,50000.0,,0.578276769851798,,
6,2014-04-28,31.0,1331.0,1616.0,1623.0,558.0,1607.0,1623.0,122.0,1563.0,1623.0,1623.0,1623.0,1623.0,1599.0,344.0,1614.0,1143.0,1623.0,1534.0,59.0,,,,,,,,,1614334998.0,,,,0.0,0.0,,0.9679682957919999,23.34777815,,,,,,,,,,,6.732890000000001e-07,224633752.0,224633752.0,24132569.0,224633752.0,224633752.0,224633752.0,224633752.0,224633752.0,224633752.0,224633752.0,224633752.0,224633752.0,49.637069,452033669.0,452552402.0,452552412.0,438056387.0,452552247.0,452552412.0,380602469.0,452542334.0,452552412.0,452552412.0,452552412.0,452552412.0,452552388.0,452551660.0,424861960.0,450813762.0,452524417.0,339736144.0,,,,,,,,,370086356.0,394001924.0,245065522.0,452552412.0,32.0,0.00037037037037037,32.0,19383104.0,,605722.0,,23800.0,,0.621107397832187,,
7,2014-04-29,35.0,1335.0,1624.0,1631.0,565.0,1614.0,1631.0,126.0,1570.0,1631.0,1631.0,1631.0,1631.0,1606.0,349.0,1622.0,1149.0,1631.0,1540.0,64.0,,,,,,,,,1614334998.0,,,,0.0,0.0,,0.9680386478640001,30.99343741,,,,,,,,,,,7.444450000000001e-07,237315488.0,237315488.0,37851104.0,237315488.0,237315488.0,237315488.0,237315488.0,237315488.0,237315488.0,237315488.0,237315488.0,237315488.0,52.439338,452025251.0,452552402.0,452552412.0,438088225.0,452552237.0,452552412.0,380366577.0,452542324.0,452552412.0,452552412.0,452552412.0,452552412.0,452552388.0,452551650.0,424770040.0,450817427.0,452523767.0,340516048.0,,,,,,,,,367842561.0,392827287.0,235074547.0,452552412.0,31.0,0.000358796296296296,31.0,14601556.0,,471017.935483871,,23800.0,,0.653372292710264,,
8,2014-04-30,21.0,1330.0,1621.0,1630.0,561.0,1611.0,1630.0,126.0,1566.0,1630.0,1630.0,1630.0,1630.0,1602.0,348.0,1619.0,1144.0,1630.0,1535.0,64.0,,,,,,,,,1614334998.0,,,,0.0,0.0,,0.968084068017,124.76374468,,,,,,,,,,,7.522639999999999e-07,237673894.0,237673894.0,20820800.0,237673894.0,237673894.0,237673894.0,237673894.0,237673894.0,237673894.0,224192101.0,237673894.0,237673894.0,52.518533999999995,452024698.0,452552399.0,452552412.0,438108780.0,452552234.0,452552412.0,380763589.0,452542271.0,452552412.0,452552412.0,452552412.0,452552412.0,452552385.0,452551597.0,425033511.0,450816874.0,452523214.0,340929970.0,,,,,,,,,368255983.0,393224298.0,236619198.0,452552412.0,17.0,0.00019675925925925902,17.0,3627275.0,,213369.11764705897,,105100.0,,0.661387441682666,,
9,2014-05-01,11.0,1333.0,1624.0,1633.0,564.0,1614.0,1633.0,129.0,1569.0,1633.0,1633.0,1633.0,1633.0,1605.0,350.0,1622.0,1147.0,1633.0,1538.0,64.0,,,,,,,,,1614334998.0,,,,0.0,0.0,,0.968084068017,174.66436947,,,,,,,,,,,7.518899999999999e-07,239268877.0,239268877.0,8407843.0,239268877.0,239268877.0,239268877.0,239268877.0,239268877.0,239268877.0,225263956.0,239268877.0,239268877.0,52.870976,452024698.0,452552399.0,452552412.0,438108780.0,452552234.0,452552412.0,380954675.0,452542271.0,452552412.0,452552412.0,452552412.0,452552412.0,452552385.0,452551597.0,424970880.0,450816874.0,452523214.0,339323421.0,,,,,,,,,366982258.0,392288267.0,236736639.0,452552412.0,9.0,0.000104166666666667,9.0,2590983.0,,287887.0,,334304.0,,0.6671127078204591,,
