,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-07-05,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1614335828.0,,,,0.0,91299754.25758144,,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,,,,,,,,,91299754.25758144,81299754.25758144,81299754.25758144,91299754.25758144,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2017-07-06,8.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,3.0,,,,,,,,,1614335828.0,,,,0.0,0.0,,0.9999999452349999,25.39203488,,,,,,,,,,,6.2341e-08,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3.9382330000000003,91299749.25758144,91299754.25758144,91299754.25758144,91299749.25758144,91299749.25758144,91299754.25758144,91299749.25758144,91299749.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299754.25758144,91299749.25758144,91299749.25758144,91299749.25758144,91299749.25758144,91299749.25758144,90204152.20658146,,,,,,,,,91299754.25758144,80204157.20658146,80204157.20658146,91299754.25758144,12.0,0.00013889,12.0,3595606.0510000004,,299634.00425,,2.0,,0.03938245048125553,,
2,2017-07-07,7.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,7.0,,,,,,,,,1614335828.0,,,,0.0,48945643.987551354,,0.999999964348,,,,,,,,,,,,6.2341e-08,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,3595597.0510000004,2.56379,140245393.24513277,140245398.24513277,140245398.24513277,140245393.24513277,140245393.24513277,140245398.24513277,140245393.24513277,140245393.24513277,140245398.24513277,140245398.24513277,140245398.24513277,140245398.24513277,140245393.24513277,140245393.24513277,140245393.24513277,140245393.24513277,140245393.24513277,139149796.1941328,,,,,,,,,140245398.24513277,80204157.20658146,80204157.20658146,140245398.24513277,2.0,2.315e-05,2.0,0.0,,1.0,,1.0,,0.025637989524014814,,
3,2017-07-08,316.0,72.0,307.0,316.0,17.0,274.0,314.0,13.0,263.0,317.0,316.0,316.0,316.0,264.0,13.0,274.0,18.0,311.0,72.0,8.0,,,,,,,,,1614335828.0,,,,0.0,0.0,,0.997335203688,24.7379532,,,,,,,,,,,2.156766e-06,6595597.051,6595597.051,5499995.0,6595597.051,6595597.051,6595597.051,6595597.051,6595597.051,6595597.051,6595597.051,6595597.051,6595597.051,4.702897,140059611.78513274,140245392.14513278,140245398.24513277,139871672.82513276,140245127.74513277,140245398.04513276,139748724.82513276,140244387.78513274,140245398.24513277,140245398.24513277,140245398.24513277,140245396.14513278,140245127.74513277,140244487.7851328,139748724.82513276,139882667.32513282,140059611.78513274,137502700.17413282,,,,,,,,,140087597.78513283,139963342.7851328,125419273.60081221,140245398.24513277,545.0,0.00630787,545.0,5669240.1799999885,,10416.94711927,,999.5,,0.06611872009370406,,
4,2017-07-09,2066.0,210.0,1364.0,1381.0,21.0,1301.0,1381.0,14.0,1272.0,1393.0,1381.0,1381.0,1381.0,1276.0,14.0,1303.0,23.0,1369.0,221.0,8.0,,,,,,,,,1614335828.0,,,,0.0,0.0,,0.9891081066509999,29.30245129,,,,,,,,,,,4.010967e-06,8095597.051,8095597.051,6999995.0,8095597.051,8095597.051,8095597.051,8095597.051,8095597.051,8095597.051,8095597.051,8095597.051,8095597.051,5.772451,139249011.42773268,140245387.45483264,140245398.2448327,138717860.3247327,140244843.2867327,140245398.2448327,138510700.28973278,140242713.32673267,140245398.2448327,140245398.2448327,140245398.2448327,140245392.45483264,140244863.2867327,140243129.3267327,138510700.28973278,138740853.8247327,139261386.52783266,135400665.85413283,,,,,,,,,139033184.46533266,139111145.4653327,138360263.68973276,140245398.24513277,3307.0,0.03827546,3263.0,4786131.946699921,,1641.587289,,999.5,,0.10431248182153899,,
5,2017-07-10,1948.0,238.0,1317.0,1363.0,64.0,1259.0,1361.0,25.0,1225.0,1401.0,1369.0,1367.0,1362.0,1231.0,31.0,1263.0,72.0,1324.0,259.0,9.0,,,,,,,,,1614335829.0,,,,0.0,0.0,,0.9894954474600001,8.28134331,,,,,,,,,,,3.817802e-06,21397456.0513,21397456.0513,17150878.68200442,21397456.0513,21397456.0513,21397456.0513,21397456.0513,21397456.0513,21397456.0513,21397456.0513,21397456.0513,21397456.0513,15.257154000000002,139344859.0055,140245372.12586525,140245398.1970653,138772183.09079507,140244885.98776528,140245398.0470653,136823723.38827503,140242495.41925532,140245398.24406525,140245398.23706526,140245398.14706525,140245379.51986524,140244925.98776528,140243149.43306527,137514951.289275,138863984.65499505,139367396.17514202,131545338.17087501,,,,,,,,,139027181.78879777,139152380.2063182,134175977.55387498,140245398.24513277,2747.0,0.03179398,2688.0,16935102.55833358,,6511.4040877,,999.5,,0.2291126849422215,,
6,2017-07-11,637.0,296.0,1218.0,1267.0,103.0,1178.0,1264.0,43.0,1149.0,1312.0,1273.0,1271.0,1265.0,1156.0,50.0,1182.0,116.0,1225.0,324.0,9.0,,,,,,,,,1614335829.0,,,,0.0,0.0,,0.9894102165909999,14.56207737,,,,,,,,,,,2.655888e-06,26859895.4865,26859895.4865,21340316.84663351,26859895.4865,26859895.4865,26859895.4865,26859895.4865,26859895.4865,26859895.4865,26859895.4865,26859895.4865,26859895.4865,19.152069,139476559.66283673,140245371.4252822,140245398.19610542,138760229.8535874,140245057.2551822,140245398.02910542,135628575.107939,140242876.8096722,140245398.24310538,140245398.23610544,140245398.12910542,140245378.81928223,140245097.25518227,140243630.82348222,136477650.31633896,138905648.1882058,139507838.69564483,126015486.18413277,,,,,,,,,138717176.20105672,139025776.6511477,128390193.48263898,140245398.24513277,892.0,0.01032407,892.0,9630864.79067152,,11429.78133459,,999.5,,0.30180929444259325,,
7,2017-07-12,399.0,376.0,1315.0,1371.0,152.0,1277.0,1367.0,62.0,1244.0,1421.0,1379.0,1375.0,1368.0,1252.0,79.0,1281.0,162.0,1325.0,409.0,12.0,,,,,,,,,1614335829.0,,,,0.0,0.0,,0.988091888001,9.49491627,,,,,,,,,,,2.6207119999999997e-06,36258418.7041,36258418.7041,26416153.007873975,36258418.7041,36258418.7041,36258418.7041,36258418.7041,36258418.7041,36258418.7041,36258418.7041,36258418.7041,36258418.7041,25.853553,139462309.62226692,140245367.14001787,140245398.18430614,138575340.33544955,140245081.81442127,140245397.9979571,133360457.40569672,140242537.93391126,140245398.24276394,140245398.2243062,140245398.0979571,140245377.70701784,140245121.81442124,140243418.94772124,135473404.85953036,138690972.01371902,139498137.9436326,119011892.47586428,,,,,,,,,137108946.2171144,138416137.42391887,120742281.50986427,140245398.24513277,617.0,0.0071411999999999995,612.0,14770577.676092776,,25744.86069383,,1356.774135455,,0.41415419090105454,,
8,2017-07-13,544.0,517.0,1511.0,1570.0,236.0,1465.0,1566.0,84.0,1427.0,1628.0,1580.0,1574.0,1567.0,1436.0,107.0,1470.0,252.0,1521.0,554.0,14.0,,,,,,,,,1614335829.0,,,,0.0,0.0,,0.986124390738,4.63145083,,,,,,,,,,,3.290225e-06,57627218.1039,57627218.1039,38696658.560757264,57627218.1039,57627218.1039,57627218.1039,57627218.1039,57627218.1039,57627218.1039,57627218.1039,57627218.1039,57627218.1039,41.090274,139429047.8222799,140245365.35252747,140245398.17747292,138299407.89828545,140245031.32382867,140245397.9604729,130334919.95976499,140242244.67691526,140245398.24255037,140245398.2174729,140245398.06047294,140245375.91952747,140245081.32382867,140243235.40592527,133089699.51963405,138484040.14199215,139469026.68198913,109788231.80448481,,,,,,,,,132348210.1345325,136479368.03672993,111518620.83848476,140245398.24513277,1023.0,0.01184028,1023.0,30281094.06275569,,31667.45416497,,2757.517512,,0.645147906317976,,
9,2017-07-14,661.0,630.0,1665.0,1731.0,296.0,1617.0,1723.0,95.0,1570.0,1798.0,1745.0,1736.0,1724.0,1580.0,118.0,1621.0,316.0,1676.0,673.0,15.0,,,,,,,,,1614335829.0,,,,0.0,0.0,,0.984221901441,5.98502762,,,,,,,,,,,3.776336e-06,66926115.0126,66926115.0126,34181374.3835726,66926115.0126,66926115.0126,66926115.0126,66926115.0126,66926115.0126,66926115.0126,65830512.9616,66926115.0126,66926115.0126,47.720721000000005,139408253.0385717,140245361.939998,140245398.15403113,138032592.52914813,140245003.81605977,140245397.77475315,128152987.42369077,140241618.15144736,140245398.2422256,140245398.20403117,140245397.87475318,140245373.69349104,140245043.8160598,140242724.03224042,130794620.0623633,138261783.50842994,139455296.47792676,102477508.69697477,,,,,,,,,128830245.20049082,135012777.72303072,104447562.9440385,140245398.24513277,1218.0,0.01409722,1217.0,23432706.92058582,,21953.35583643,,2200.0,,0.8356513694422277,,
