,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2018-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1,2018-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2,2018-09-10,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,479.75,,1.0,0.68170515,,0.68170515,,,,,,,,,,,0.0,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,100.0,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,479.75,0.0,0.0,0.0,0.0,0.0,,,,,,,,,479.75,75.0,75.0,479.75,479.75,32.0,0.00037037,32.0,703.75,,21.9921875,,17.455,,1.4669098488796248,,
3,2018-09-11,9.0,15.0,15.0,15.0,12.0,15.0,15.0,2.0,15.0,15.0,15.0,15.0,15.0,2.0,1.0,15.0,1.0,15.0,1.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,250763.8,,0.999734520548,1.00181024,,1.00181024,,,,,,,,,,,0.0,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,100.0,251243.55,251243.55,251243.55,251176.85,251243.55,251243.55,250645.0,251243.55,251243.55,251243.55,251243.55,251243.55,251243.55,250645.0,250075.0,250075.0,250075.0,0.0,,,,,,,,,251243.55,250075.0,250075.0,251243.55,251243.55,7.0,8.102e-05,7.0,250789.56,,35827.08,,50.0,,1.0009940951717964,,
4,2018-09-12,13.0,16.0,17.0,17.0,11.0,17.0,17.0,2.0,17.0,17.0,17.0,17.0,17.0,2.0,1.0,14.0,1.0,17.0,1.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,0.0,,0.9997124568970001,836.25121561,,836.25121561,,,,,,,,,,,0.0,251092.79,251092.79,250905.29,251092.79,251092.79,251092.79,251092.79,251092.79,251092.79,251092.79,251092.79,251092.79,100.0,251091.79,251092.79,251092.79,251020.59,251092.79,251092.79,250534.5,251092.79,251092.79,251092.79,251092.79,251092.79,251082.79,250534.5,250075.0,250075.0,250075.0,0.0,,,,,,,,,251092.79,250075.0,250075.0,251092.79,251092.79,11.0,0.00012731,10.0,300.26,,30.026,,4.5,,1.0027909204402086,,
5,2018-09-13,13.0,19.0,22.0,22.0,13.0,22.0,22.0,3.0,22.0,22.0,22.0,22.0,22.0,4.0,1.0,16.0,1.0,22.0,1.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,377.37,,0.999685052095,556.0300712000001,,556.0300712000001,,,,,,,,,,,0.0,251470.16,251470.16,1187.78,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,100.0,251467.16,251470.16,251470.16,251390.96,251470.16,251470.16,250834.5,251470.16,251470.16,251470.16,251470.16,251470.16,251453.16,250934.5,250075.0,250075.0,250075.0,0.0,,,,,,,,,251470.16,250534.5,250075.0,251470.16,251470.16,9.0,0.00010417,9.0,452.26,,50.25111111,,5.0,,1.0030845409252531,,
6,2018-09-14,0.0,19.0,22.0,22.0,13.0,22.0,22.0,3.0,22.0,22.0,22.0,22.0,22.0,4.0,1.0,16.0,1.0,22.0,1.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,0.0,,0.999685052095,,,,,,,,,,,,,,0.0,251470.16,251470.16,604.28,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,100.0,251467.16,251470.16,251470.16,251390.96,251470.16,251470.16,250834.5,251470.16,251470.16,251470.16,251470.16,251470.16,251453.16,250934.5,250075.0,250075.0,250075.0,0.0,,,,,,,,,251470.16,250534.5,250075.0,251470.16,251470.16,0.0,0.0,0.0,0.0,,,,,,1.0030845409252531,,
7,2018-09-15,2.0,19.0,23.0,23.0,13.0,23.0,23.0,3.0,23.0,23.0,23.0,23.0,23.0,4.0,1.0,16.0,1.0,23.0,1.0,0.0,,,,,,,,,1614334991.0,,,,,,0.0,0.0,,0.99968107548,251470.16,,251470.16,,,,,,,,,,,0.0,251470.16,251470.16,65.5,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,100.0,251466.16,251470.16,251470.16,251389.96,251470.16,251470.16,250834.5,251470.16,251470.16,251470.16,251470.16,251470.16,251452.16,250934.5,250075.0,250075.0,250075.0,0.0,,,,,,,,,251470.16,250534.5,250075.0,251470.16,251470.16,1.0,1.157e-05,1.0,1.0,,1.0,,1.0,,1.0030885175402122,,
8,2018-09-16,3.0,21.0,25.0,25.0,13.0,25.0,25.0,3.0,25.0,25.0,25.0,25.0,25.0,4.0,1.0,16.0,1.0,25.0,1.0,0.0,,,,,,,,,1614334992.0,,,,,,0.0,0.0,,0.99968107548,16764.67733333,,16764.67733333,,,,,,,,,,,0.0,251470.16,251470.16,86.0,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,251470.16,100.0,251466.16,251470.16,251470.16,251389.96,251470.16,251470.16,250834.5,251470.16,251470.16,251470.16,251470.16,251470.16,251442.16,250934.5,250075.0,250075.0,250075.0,0.0,,,,,,,,,251470.16,250534.5,250075.0,251470.16,251470.16,2.0,2.315e-05,2.0,15.0,,7.5,,7.5,,1.0031481667645974,,
9,2018-09-17,11.0,25.0,30.0,30.0,16.0,30.0,30.0,4.0,29.0,30.0,30.0,30.0,30.0,7.0,1.0,20.0,1.0,29.0,1.0,0.0,,,,,,,,,1614334992.0,,,,,,0.0,696.0,,0.999662127543,342.57052031,,342.57052031,,,,,,,,,,,0.0,252166.16,252166.16,782.18,252166.16,252166.16,252166.16,252166.16,252166.16,252166.16,252166.16,252166.16,252166.16,100.0,252162.06,252166.16,252166.16,252080.96,252166.16,252166.16,251334.5,252166.06,252166.16,252166.16,252166.16,252166.06,252138.06,251635.5,250075.0,250075.0,250075.0,0.0,,,,,,,,,252166.16,251034.5,250075.0,252166.16,252166.16,7.0,8.102e-05,7.0,736.1,,105.15714286,,20.0,,1.0032984996876662,,
