,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-09-05,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1627402053.0,,,,,150000000.0,,1.0,1.0,,,,,,,,,,0.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,,,,,,,,,150000000.0,150000000.0,150000000.0,150000000.0,1.0,1.1574074e-05,1.0,150000000.0,,150000000.0,,150000000.0,,1.0,,
1,2020-09-06,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1627402065.0,,,,,0.0,,1.0,,,,,,,,,,,0.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,,,,,,,,,150000000.0,150000000.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
2,2020-09-07,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1627402077.0,,,,,0.0,,1.0,,,,,,,,,,,0.0,150000000.0,150000000.0,0.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,,,,,,,,,150000000.0,150000000.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
3,2020-09-08,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1627402098.0,,,,,0.0,,1.0,10.0,,,,,,,,,,0.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,,,,,,,,,150000000.0,142500000.0,142500000.0,150000000.0,3.0,3.4722222000000005e-05,3.0,15000000.0,,7500000.0,,7500000.0,,1.15,,
4,2020-09-09,305.0,76.0,220.0,226.0,24.0,215.0,225.0,2.0,175.0,280.0,246.0,226.0,226.0,183.0,2.0,215.0,30.0,220.0,90.0,2.0,,,,,,,,,1627402110.0,,,,,0.0,,0.998082605423,60.624097027608,,,,,,,,,,2.47789e-07,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,149941634.056662,149999996.47778472,149999999.88319314,149712390.81344667,149999963.07587788,149999999.76675,149014634.2667139,149997166.64561093,149999999.997919,149999999.88319314,149999999.88319314,149999996.47778472,149999963.07587788,149998135.3136308,149014634.2667139,149785297.11912724,149958314.88774762,149014634.2667139,,,,,,,,,149967047.66775042,149763989.64698827,149014634.2667139,150000000.0,631.0,0.007303240741,1217.0,2474263.656771491,,4011.600770474804,,814.0042909142704,,1.182547454251,,
5,2020-09-10,576.0,205.0,610.0,616.0,54.0,599.0,615.0,6.0,516.0,716.0,682.0,616.0,616.0,542.0,7.0,601.0,72.0,610.0,261.0,2.0,,,,,,,,,1627402121.0,,,,,0.0,,0.993917418144,29.603320829201998,,,,,,,,,,5.29734e-07,150000000.0,150000000.0,7500000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,149811658.1104728,149999996.24059954,149999999.64600796,149087612.7216369,149999921.79128468,149999999.52956486,147527963.39891905,149993273.28956234,149999999.9944467,149999999.64600796,149999999.64600796,149999996.24059954,149999944.7912847,149996480.8443109,147637589.64458892,149308392.38031876,149879868.59417084,146668855.8993539,,,,,,,,,149515915.12185603,149298392.38031876,147637589.64458892,150000000.0,1150.0,0.013310185185,2300.0,5066999.100048002,,4345.701294636291,,822.5235752595862,,1.2491815407690001,,
6,2020-09-11,676.0,330.0,1019.0,1026.0,72.0,1006.0,1025.0,7.0,887.0,1144.0,1106.0,1026.0,1026.0,928.0,8.0,1010.0,100.0,1020.0,437.0,2.0,,,,,,,,,1627402142.0,,,,,0.0,,0.989777924278,36.577022865166,,,,,,,,,,7.178499999999999e-07,150000000.0,150000000.0,6267650.993621172,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,149654979.47024238,149999995.15451825,149999999.55992663,148466688.64163035,149999894.7977116,149999999.4434835,146170043.8729972,149990161.48760587,149999999.99274397,149999999.55992663,149999999.55992663,149999996.15451822,149999944.09387413,149995086.24444357,146270301.95010757,148812708.8719459,149783331.6439977,145223163.75338873,,,,,,,,,148812708.8719459,148939089.2097667,146551934.166095,150000000.0,1153.0,0.013344907407,2393.0,4100935.1841713563,,3397.137553139804,,668.0878654792735,,1.303377208533,,
7,2020-09-12,835.0,440.0,1371.0,1380.0,77.0,1357.0,1379.0,7.0,1167.0,1564.0,1513.0,1380.0,1380.0,1237.0,9.0,1362.0,117.0,1374.0,581.0,2.0,,,,,,,,,1627402156.0,,,,,0.0,,0.985562599472,14.142277608229001,,,,,,,,,,7.569070000000001e-07,150000000.0,150000000.0,146961479.34780192,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,149538827.8125223,149999992.37624443,149999999.2169257,147834389.92077696,149999889.52693704,149999999.10048258,145249973.13523605,149984392.06455663,149999999.99117538,149999999.2169257,149999999.2169257,149999996.13409984,149999951.61704588,149993037.43043128,145493908.62243384,148326221.8949459,149702558.5014866,144265828.01338258,,,,,,,,,148143887.3314894,148651505.28082278,145953199.12509558,150000000.0,1132.0,0.013101851852,2415.0,10606495.230493627,,7871.383091370217,,641.4266454547719,,1.4301064763040001,,
8,2020-09-13,341.0,425.0,1367.0,1378.0,74.0,1349.0,1375.0,6.0,1142.0,1613.0,1555.0,1379.0,1376.0,1219.0,9.0,1355.0,113.0,1369.0,559.0,2.0,,,,,,,,,1627402168.0,,,,,0.0,,0.985922239267,89.440620840858,,,,,,,,,,1.003831e-06,150000000.0,150000000.0,146586404.38772607,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,149550343.76774156,149999993.06613496,149999998.96147135,147888335.890122,149999853.2436875,149999998.74083328,145297834.29767498,149982987.63618198,149999999.98967263,149999998.97147137,149999998.8572764,149999995.44384894,149999926.780524,149992487.3299817,145643302.09680098,148361501.94175196,149707722.80843487,144502821.54618266,,,,,,,,,148227405.22124285,148739789.98251992,146196256.0589248,150000000.0,518.0,0.00599537037,917.0,1677090.32640657,,3105.7777489400414,,777.71253949164,,1.449093130943,,
9,2020-09-14,256.0,426.0,1394.0,1406.0,70.0,1373.0,1403.0,6.0,1155.0,1675.0,1610.0,1407.0,1404.0,1232.0,10.0,1379.0,110.0,1397.0,556.0,2.0,,,,,,,,,1627402191.0,,,,,0.0,,0.985811788441,286.975134514893,,,,,,,,,,1.099054e-06,150000000.0,150000000.0,4394295.167973768,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,150000000.0,100.0,149551371.1682625,149999991.6597277,149999998.78563717,147871768.26617983,149999839.23614785,149999998.57157612,145346357.07889217,149982356.1180385,149999999.98729622,149999998.79563713,149999998.68801922,149999995.42548534,149999912.77298436,149991825.022818,145805355.94681624,148357626.19530737,149703689.9026761,144551344.32739973,,,,,,,,,148256146.68646997,148788226.56240898,146274778.83894002,150000000.0,337.0,0.003900462963,531.0,522693.3694222754,,1768.1403361368264,,560.3058135718484,,1.455352347733,,
