,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2018-01-29,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1614335320.0,,,,0.0,1000000000.0,,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,,,,,,,,,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2018-01-30,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1614335320.0,,,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,,,,,,,,,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
2,2018-01-31,38743.0,299.0,37575.0,37579.0,161.0,37553.0,37579.0,36.0,377.0,37582.0,37581.0,37581.0,37579.0,37553.0,161.0,37575.0,299.0,37579.0,377.0,36.0,,,,,,,,,1614335320.0,,,,0.0,0.0,,0.9850231791419999,3.3029382000000007,,,,,,,,,,,1.121416e-06,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,239532500.0,23.95325,990374218.8093317,999999979.6516517,999999999.9252294,985023179.1415929,999998889.0273341,999999999.9252294,942928260.2935929,990689231.2932304,999999999.9999975,999999999.9999975,999999999.9252294,999999999.9252294,999999979.6516517,999998889.0273341,985023179.1415929,990374218.8093317,990689231.2932304,942928260.2935929,,,,,,,,,973703555.1415926,991555498.0822158,990687231.2932302,1000000000.0,2324.0,0.02689815,40022.0,302760735.45119745,,7599.74039465,,250.0,,0.3041568100746365,,
3,2018-02-01,2597.0,737.0,37409.0,37423.0,280.0,37353.0,37420.0,38.0,1186.0,37436.0,37431.0,37429.0,37423.0,37353.0,280.0,37409.0,737.0,37420.0,1186.0,38.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.972835907155,9.14726541,,,,,,,,,,,2.769055e-06,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,23.954,989168971.8563012,999999968.0799268,999999999.7544979,972835907.1546572,999997286.8002192,999999998.0798331,906599820.8053018,990917202.369603,999999999.9979291,999999999.9791118,999999999.7544979,999999998.0798331,999999968.0799268,999997286.8002192,972835907.1546572,989168971.8563012,990917202.369603,906599820.8053018,,,,,,,,,938831569.2033015,991605924.6583537,979828740.0895586,1000000000.0,2781.0,0.0321875,2803.0,109322289.83219229,,39878.58939747,,250.0,,0.4159364961557584,,
4,2018-02-02,1779.0,898.0,37289.0,37308.0,308.0,37193.0,37302.0,34.0,1669.0,37333.0,37320.0,37317.0,37308.0,37193.0,308.0,37289.0,898.0,37302.0,1669.0,34.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9676901641140001,33.69552006,,,,,,,,,,,4.7765730000000005e-06,239540000.0,239540000.0,88604080.58508982,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,23.954,988097910.1756313,999999963.797331,999999999.6563475,967690164.1143124,999995351.8659037,999999996.3027617,893960679.1321688,991052317.9136673,999999999.9967335,999999999.972741,999999999.6563475,999999996.3027617,999999963.797331,999995351.8659037,967690164.1143124,988097910.1756313,991052317.9136673,893960679.1321688,,,,,,,,,928632189.5301691,991643607.053169,973110646.0317025,1000000000.0,1894.0,0.021921299999999998,1892.0,29677535.71157377,,16127.03937403,,370.9763555798687,,0.4464488546514155,,
5,2018-02-03,1443.0,974.0,37351.0,37383.0,309.0,37180.0,37375.0,32.0,1926.0,37428.0,37405.0,37398.0,37383.0,37180.0,309.0,37351.0,974.0,37375.0,1926.0,32.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.965216717527,74.89975763,,,,,,,,,,,9.239538000000001e-06,239540000.0,239540000.0,47319960.04004732,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,23.954,987548563.6640351,999999928.2637867,999999999.3734133,965216717.5271814,999991031.1642866,999999995.8179735,892056065.2442125,991096287.513566,999999999.9967037,999999999.9580657,999999999.3734133,999999995.8179735,999999928.2637867,999991031.1642866,965216717.5271814,987548563.6640351,991096287.513566,892056065.2442125,,,,,,,,,927420067.9924787,991650643.5237428,970701746.7234794,1000000000.0,1822.0,0.02108796,1818.0,13351178.04975438,,7924.14012014,,259.968,,0.4608549413898334,,
6,2018-02-04,1381.0,1011.0,37265.0,37302.0,311.0,37028.0,37291.0,32.0,2099.0,37356.0,37328.0,37320.0,37302.0,37028.0,311.0,37265.0,1011.0,37291.0,2099.0,32.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.963806689146,99.97532921,,,,,,,,,,,1.2057691e-05,239540000.0,239540000.0,33687655.81002363,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,23.954,987153386.2111433,999999913.2297454,999999999.1803054,963806689.1457676,999988315.0414225,999999993.7621362,891693178.8909446,991160985.1948903,999999999.9955353,999999999.9518977,999999999.1803054,999999993.7621362,999999913.2297454,999988315.0414225,963806689.1457676,987153386.2111433,991160985.1948903,891693178.8909446,,,,,,,,,926019526.3980156,991693770.3537952,969087603.3905762,1000000000.0,1716.0,0.01986111,1713.0,10002467.68802096,,6477.61009925,,250.0,,0.4719510874898485,,
7,2018-02-05,797.0,1020.0,37215.0,37259.0,309.0,36950.0,37245.0,31.0,2164.0,37322.0,37288.0,37279.0,37259.0,36950.0,309.0,37215.0,1020.0,37245.0,2164.0,31.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9631477642020001,166.72715153,,,,,,,,,,,1.3482931e-05,239540000.0,239540000.0,29955351.40410663,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,239540000.0,23.954,986940788.2965311,999999885.1889939,999999999.0828294,963147764.2019795,999986940.5818381,999999992.1850617,892079349.9407257,991185692.7594494,999999999.9948694,999999999.9455205,999999999.0828294,999999992.1850617,999999885.1889939,999986940.5818381,963147764.2019795,986940788.2965311,991185692.7594494,892079349.9407257,,,,,,,,,926147877.1644801,991714505.9327554,968588998.3395095,1000000000.0,943.0,0.01091435,942.0,5997823.335009743,,7020.99417486,,250.0,,0.4785648640025697,,
8,2018-02-06,926.0,1074.0,37232.0,37293.0,307.0,36962.0,37267.0,32.0,2298.0,37363.0,37326.0,37316.0,37293.0,36962.0,307.0,37232.0,1074.0,37267.0,2298.0,32.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.961814274217,148.58601536,,,,,,,,,,,1.3930387e-05,239554000.0,239554000.0,18240367.818293203,239554000.0,239554000.0,239554000.0,239554000.0,239554000.0,239554000.0,239554000.0,239554000.0,239554000.0,23.9554,986652131.1678349,999999863.9777794,999999999.0301028,961814274.2170253,999986523.7942369,999999986.2726593,893046508.9298991,991197914.1261251,999999999.9946226,999999999.9395357,999999999.0301028,999999986.2726593,999999863.9777794,999986523.7942369,961814274.2170253,986652131.1678349,991197914.1261251,893046508.9298991,,,,,,,,,925716835.7084728,991713878.9398078,967396338.3526176,1000000000.0,992.0,0.01148148,1044.0,6730108.466668283,,6802.87938617,,250.0,,0.4856670700817313,,
9,2018-02-07,813.0,1091.0,37285.0,37356.0,306.0,36991.0,37327.0,31.0,2384.0,37436.0,37387.0,37378.0,37356.0,36991.0,306.0,37285.0,1091.0,37327.0,2384.0,31.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9612429148430001,383.90730114,,,,,,,,,,,1.5109256e-05,239570250.0,239570250.0,18014011.09157885,239570250.0,239570250.0,239570250.0,239570250.0,239570250.0,239570250.0,239570250.0,239570250.0,239570250.0,23.957025,986492768.8849242,999999834.8425786,999999999.1110542,961242914.8429008,999985389.0122632,999999984.0212848,891156998.6431571,991190158.8950781,999999999.9926323,999999999.9385577,999999999.1110542,999999984.0212848,999999834.8425786,999985389.0122632,961242914.8429008,986492768.8849242,991190158.8950781,891156998.6431571,,,,,,,,,925052461.1686022,991709237.0652559,967022286.9784935,1000000000.0,860.0,0.009953700000000001,923.0,2604795.4728665813,,3135.52145317,,250.0,,0.4885611563830065,,
