,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-07-09,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,1614335410.0,,,,0.0,53252246.0,,1.0,4.69113171,,,,,,,,,,,0.0,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,11351684.25524047,21.316817999999998,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,,,,,,,,,53252246.0,41900561.74475953,41900561.74475953,53252246.0,4.0,4.6299999999999994e-05,3.0,11351684.25524047,,3783894.75174682,,3304286.4675040003,,0.2131681780190167,,
1,2017-07-10,2685.0,1201.0,2020.0,2068.0,471.0,1936.0,2052.0,104.0,1719.0,2116.0,2074.0,2066.0,2047.0,1638.0,64.0,1921.0,309.0,1999.0,1101.0,6.0,,,,,,,,,1614335410.0,,,,0.0,0.0,,0.955638186373,0.69586773,,,,,,,,,,,4.233717e-06,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,53128260.59399518,53252237.19506061,53252245.966048904,50889879.78773903,53252090.98781439,53252245.63789361,45357229.82568738,53244524.40132381,53252245.98902686,53252245.94950358,53252245.28107668,53252220.40751416,53251978.77918638,53238558.60393051,42785744.19230917,49665524.97489522,53050371.29494621,29834449.33880373,,,,,,,,,45143199.82568738,48414697.398011,36613734.69557932,53252246.0,5417.0,0.06269676,5402.0,76526390.82732901,,14493.63231651,,500.0,,1.6834273249066565,,
2,2017-07-11,1799.0,1398.0,2581.0,2661.0,503.0,2474.0,2637.0,109.0,2188.0,2762.0,2673.0,2657.0,2626.0,2044.0,64.0,2447.0,331.0,2556.0,1228.0,5.0,,,,,,,,,1614335410.0,,,,0.0,0.0,,0.949162390497,10.16600695,,,,,,,,,,,5.3616949999999995e-06,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,53066869.37318135,53252231.33142503,53252245.93621642,50545029.11269942,53252047.65711573,53252245.42993903,44656224.112288706,53243125.89514819,53252245.97422363,53252245.90721642,53252244.62645388,53252211.09158268,53251850.97953923,53232212.13313769,41795896.99817187,49254830.29861432,52937923.08877187,28076678.06880373,,,,,,,,,44172196.112288706,48643070.4652548,36992571.19172898,53252246.0,3223.0,0.03730324,3223.0,5238265.7501141,,1868.61305857,,181.294,,1.7965218953737176,,
3,2017-07-12,1698.0,1536.0,3039.0,3136.0,528.0,2906.0,3108.0,113.0,2527.0,3266.0,3156.0,3131.0,3097.0,2350.0,65.0,2864.0,353.0,3008.0,1321.0,5.0,,,,,,,,,1614335410.0,,,,0.0,0.0,,0.945392858239,16.06089626,,,,,,,,,,,7.272605999999999e-06,53252246.0,53252246.0,13270333.48773642,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,53018302.38751219,53252227.18804425,53252245.90548222,50344293.05361111,53251976.82257926,53252245.32073546,44195765.10650819,53240252.56047876,53252245.96923943,53252245.86948055,53252244.53795031,53252201.73230545,53251643.45807723,53226942.58320117,41110791.48284958,49043069.66563574,52859234.86066752,27357773.55973898,,,,,,,,,43495589.88150819,48768405.82963547,37012511.9122535,53252246.0,2938.0,0.03400463,2938.0,3315645.97276114,,1337.05771116,,118.375,,1.8702892169511385,,
4,2017-07-13,1688.0,1648.0,3453.0,3570.0,530.0,3287.0,3536.0,112.0,2807.0,3726.0,3593.0,3562.0,3519.0,2590.0,67.0,3230.0,350.0,3415.0,1375.0,7.0,,,,,,,,,1614335410.0,,,,0.0,0.0,,0.9424711633889999,10.52407446,,,,,,,,,,,8.719565e-06,53252246.0,53252246.0,10794132.93574212,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,52983585.85772992,53252224.50054836,53252245.89040982,50188706.24071648,53251919.53961615,53252245.23813497,43883732.25432529,53237772.23727898,53252245.96373662,53252245.83444467,53252243.95038807,53252194.25949537,53251462.0771449,53221529.23468425,41002379.02433479,48843818.44657969,52782932.74176448,28371804.386291698,,,,,,,,,43237591.20446064,49054190.40993728,37439983.18981734,53252246.0,2925.0,0.03385417,2925.0,5060040.783454549,,1870.07174789,,105.0,,1.9730071354136136,,
5,2017-07-14,1530.0,1818.0,3716.0,3852.0,565.0,3540.0,3813.0,114.0,3083.0,4019.0,3879.0,3842.0,3796.0,2848.0,69.0,3486.0,368.0,3673.0,1490.0,6.0,,,,,,,,,1614335411.0,,,,0.0,0.0,,0.938158112958,8.25650174,,,,,,,,,,,8.746416e-06,53252246.0,53252246.0,9698945.39480133,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,52955400.01574596,53252220.72826671,53252245.88384428,49959026.61815453,53251921.07740317,53252245.05680918,43348621.12977476,53238818.81753529,53252245.96366246,53252245.80762432,53252243.75147725,53252187.00442258,53251498.64438555,53221121.0600589,40510857.87147199,48505759.99545145,52712081.68717353,27524350.02275485,,,,,,,,,42593180.07991011,48818282.09408775,37149226.4311477,53252246.0,2611.0,0.03021991,2610.0,6449734.7252231985,,2732.19636135,,200.0,,2.1069175906296063,,
6,2017-07-15,1360.0,1947.0,3957.0,4097.0,600.0,3777.0,4052.0,115.0,3291.0,4277.0,4126.0,4084.0,4033.0,3054.0,67.0,3726.0,379.0,3911.0,1584.0,6.0,,,,,,,,,1614335411.0,,,,0.0,0.0,,0.935035513668,17.89765087,,,,,,,,,,,8.973925e-06,53252246.0,53252246.0,8440092.92929911,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,52932819.45936872,53252221.98947348,53252245.87394709,49792741.19256706,53251914.17489212,53252244.94656394,42863203.5391986,53237781.99209925,53252245.95979327,53252245.76936445,53252243.45772442,53252185.95319894,53251515.17264506,53219830.48440219,39819758.93830711,48189129.28054759,52661532.11734386,27333347.96359664,,,,,,,,,42053167.48933395,48639148.65605849,36976584.85491412,53252246.0,2014.0,0.02331019,2014.0,2975376.2882749,,1717.12764673,,223.7965,,2.1718593600435816,,
7,2017-07-16,1244.0,2085.0,4199.0,4348.0,627.0,4013.0,4303.0,114.0,3526.0,4530.0,4377.0,4335.0,4283.0,3276.0,65.0,3959.0,392.0,4152.0,1686.0,6.0,,,,,,,,,1614335411.0,,,,0.0,0.0,,0.9311451205060001,11.20102954,,,,,,,,,,,9.353825e-06,53252246.0,53252246.0,22624209.530065,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,52908768.82626592,53252219.97878273,53252245.86978963,49585569.01888686,53251901.59358059,53252244.936567895,42265354.39149149,53238180.60085674,53252245.95963581,53252245.76503534,53252243.354176395,53252182.85117821,53251481.04080581,53219209.88270462,39086977.46580053,47889648.71282075,52613613.78765059,27345823.56173556,,,,,,,,,41509913.34162684,48451455.38071934,36819847.32003467,53252246.0,1805.0,0.020891200000000002,1805.0,4754227.7968031,,2969.69909521,,221.59400000000002,,2.27251815416947,,
8,2017-07-17,1402.0,2170.0,4484.0,4647.0,634.0,4282.0,4598.0,112.0,3765.0,4837.0,4676.0,4634.0,4576.0,3478.0,64.0,4227.0,392.0,4433.0,1733.0,6.0,,,,,,,,,1614335411.0,,,,0.0,0.0,,0.9290183844159999,33.93141779,,,,,,,,,,,1.0295827999999999e-05,53252246.0,53252246.0,22369829.81157982,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,100.0,52873321.908575,53252217.06198068,53252245.87215929,49472315.54542988,53251864.43492248,53252244.81595233,41908040.80742747,53237218.61062903,53252245.95862722,53252245.77094689,53252243.04803587,53252176.75210204,53251444.34726507,53215408.91039383,38836634.06976479,47718250.33274049,52548645.15593618,27272537.16604847,,,,,,,,,41262587.44142747,48520165.27595726,37060164.10689222,53252246.0,1969.0,0.02278935,1968.0,1569408.21990067,,1020.9095876,,150.0,,2.3102470805399475,,
9,2017-07-18,1053.0,2227.0,4659.0,4822.0,640.0,4447.0,4771.0,113.0,3924.0,5027.0,4852.0,4808.0,4753.0,3632.0,62.0,4391.0,391.0,4604.0,1769.0,6.0,,,,,,,,,1614335411.0,,,,0.0,0.0,,0.927634978363,31.93148725,,,,,,,,,,,1.0702777e-05,53252246.0,53252246.0,5674446.75683975,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,33811863.13011394,53252246.0,53252246.0,100.0,52849126.45425851,53252217.18050221,53252245.86425798,49398646.06599506,53251848.21830064,53252244.79526418,41798231.08691193,53237055.75255261,53252245.95450686,53252245.75800309,53252243.36162209,53252173.18092275,53251414.95702942,53214843.00536501,38443049.97502951,47597425.57447607,52509507.2974916,27394215.48494167,,,,,,,,,41098696.72056329,48548738.35557003,37166215.24759995,53252246.0,1545.0,0.01788194,1545.0,1667703.2794825002,,1366.01755549,,192.21175985,,2.3498791577151708,,
