,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-10-10,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,1614335320.0,,,,0.0,1000000000.0,,0.999999998,333333333.3333333,,,,,,,,,,,2e-09,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,999999998.0,999999998.0,1000000000.0,5.0,5.787e-05,5.0,3.0,,0.8,,1.0,,4e-09,,
1,2017-10-11,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335320.0,,,,0.0,0.0,,0.9999999970000001,1000000000.0,,,,,,,,,,,3e-09,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,1.0,1.157e-05,1.0,1.0,,1.0,,1.0,,5e-09,,
2,2017-10-12,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9999999970000001,,,,,,,,,,,,3e-09,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,5e-09,,
3,2017-10-13,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9999999970000001,,,,,,,,,,,,3e-09,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,5e-09,,
4,2017-10-14,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9999999970000001,,,,,,,,,,,,3e-09,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,5e-09,,
5,2017-10-15,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9999999970000001,,,,,,,,,,,,3e-09,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,5e-09,,
6,2017-10-16,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9999999970000001,,,,,,,,,,,,3e-09,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,5e-09,,
7,2017-10-17,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.9999999970000001,,,,,,,,,,,,3e-09,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,999999997.0,999999997.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,999999997.0,,,,,,,,,1000000000.0,999999997.0,999999997.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,5e-09,,
8,2017-10-18,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335321.0,,,,0.0,0.0,,0.999999998,16.25000041,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538461.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,1.0,1.157e-05,1.0,61538460.0,,61538460.0,,61538460.0,,0.061538465,,
9,2017-10-19,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
10,2017-10-20,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
11,2017-10-21,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
12,2017-10-22,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
13,2017-10-23,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
14,2017-10-24,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
15,2017-10-25,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,,,1614335322.0,,,,0.0,0.0,,0.999999998,,,,,,,,,,,,2.131e-09,61538463.0,61538463.0,0.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,61538463.0,0.0,61538463.0,61538463.0,6.153846,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,999999998.0,999999998.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,999999998.0,,,,,,,,,1000000000.0,938461537.0,938461537.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.061538465,,
