,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-03-26,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1626362559,0.0,,5144192.056303299,0.0,484450000.0,5144192.056303299,1.0,,,1.5720905548082191e-06,0.0106186232971479,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,0.0,0,0.0,0.0,,,,,0.0,,
1,2020-03-27,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1626362568,0.0,,5031145.342090641,0.0,0.0,0.0,1.0,,,1.5999999999999944e-06,0.0103852726640327,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,0.0,0,0.0,0.0,,,,,0.0,,
2,2020-03-28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1626362576,0.0,,4913376.1623932505,0.0,0.0,0.0,1.0,,,1.6274818773281663e-06,0.0101421739341382,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,0.0,0,0.0,0.0,,,,,0.0,,
3,2020-03-29,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1626362589,0.0,,4290939.471541909,0.0,0.0,0.0,1.0,,,1.5000094681472832e-06,0.00885734228824834,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,0.0,0,0.0,0.0,,,,,0.0,,
4,2020-03-30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1626362599,0.0,,4292021.982047693,0.0,0.0,0.0,1.0,,,1.3763720047066586e-06,0.00885957680265805,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,0.0,0,0.0,0.0,,,,,0.0,,
5,2020-03-31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1626362607,0.0,,4708648.854508537,0.0,0.0,0.0,1.0,,,1.5110381601205573e-06,0.00971957653939217,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,484450000.0,0,0.0,0,0.0,0.0,,,,,0.0,,
6,2020-04-01,55114,2949,17332,55113,2284,3853,55113,170,3214,55113,55113,55113,55113,3554,1401,5593,2895,55113,3109,35,2885,1,3093,30,0,3473,1325,0,1626362626,4547450.027151796,1.01137152785,4599161.481779952,4547450.027151796,0.0,0.0,0.957984415316,0.49993361161300004,,1.4290856352080075e-06,0.00949357308655166,,,0.0006098132970000001,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,98.8756329859,483753408.49999803,484373188.49999696,484450000.0,464095550.0,484275827.49999803,484450000.0,191494682.0,484186672.49999803,484450000.0,484450000.0,484450000.0,484450000.0,484298355.49999696,484257614.49999803,399269272.0,483350693.49999803,484114567.49999803,99134667.0,484249488.49999803,484098362.49999803,483248481.49999803,22616631.0,94059869.0,0,391489368.0,0.0,152883608.0,484297535.49999696,285616107.0,484450000.0,227,0.0026273148149999997,55117,969028664.5000039,9199544.44939434,17581.30276503,166.90938275660508,3.0,0.02848071925965498,2.000265588812,,
7,2020-04-02,12,2948,17332,55113,2284,3853,55113,170,3214,55113,55113,55113,55113,3554,1401,5593,2895,55113,3109,35,3005,8,3324,306,0,3950,2732,0,1626362636,19612575.114446126,4.325988353827,19835600.05856128,4585218.090338261,0.0,0.0,0.9579802869230001,9902.295443860761,,6.027694722667691e-06,0.040944576444548,,,0.0006097992930000001,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,98.8756329859,483751412.49999803,484373188.49999696,484450000.0,464093550.0,484275831.49999803,484450000.0,191494682.0,484186676.49999803,484450000.0,484450000.0,484450000.0,484450000.0,484298355.49999696,484257618.49999803,399267272.0,483355690.49999803,484114571.49999803,99134667.0,484279368.49999803,484225033.49999803,483949793.49999803,56939486.0,238736671.0,0,480180988.49999803,0.0,152883608.0,484297535.49999696,285616107.0,484450000.0,10,0.000115740741,10,48923.0,2003.1315133966214,4894.8,200.41551278077358,505.0,20.67701110449674,2.000366627103,,
8,2020-04-03,4,2949,17333,55114,2284,3854,55114,170,3215,55114,55114,55114,55114,3555,1401,5594,2896,55114,3110,35,2933,3,3160,99,0,3627,1925,0,1626362645,7012230.232468609,1.548283282992,7091970.003844523,4580537.736052255,0.0,0.0,0.9579431313860001,12774.232675878071,,2.1681621779019268e-06,0.0146392197416545,,,0.0006097992930000001,479003004.0,479003004.0,1200854.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,479003004.0,98.8756329859,483751412.49999803,484373188.49999696,484450000.0,464075550.0,484275831.49999803,484450000.0,191494682.0,484186676.49999803,484450000.0,484450000.0,484450000.0,484450000.0,484298355.49999696,484257618.49999803,399249272.0,483355690.49999803,484114571.49999803,99134667.0,484263683.49999803,484155293.49999803,483662173.49999803,36946628.0,152207962.0,0,443292054.0,0.0,152883608.0,484297525.49999696,285616107.0,484450000.0,4,4.6296296e-05,4,37924.0,555.1777694825053,9481.0,138.79444237062634,6500.0,95.15492832075424,2.000444909691,,
9,2020-04-04,2,2949,17332,55113,2284,3853,55113,170,3215,55113,55113,55113,55113,3554,1401,5593,2896,55113,3110,35,2900,1,3118,40,0,3567,1483,0,1626362662,5017481.903482176,1.1078479634379998,5074538.350593695,4580536.786694945,0.0,0.0,0.957943329124,,,1.52694796820627e-06,0.0104748465230227,,,0.0006097992930000001,479002904.0,479002904.0,177924.0,479002904.0,479002904.0,479002904.0,479002904.0,479002904.0,479002904.0,479002904.0,479002904.0,479002904.0,98.87563275379999,483751412.49999803,484373088.49999696,484449900.0,464075550.0,484275731.49999803,484449900.0,191494682.0,484186676.49999803,484449900.0,484449900.0,484449900.0,484449900.0,484298255.49999696,484257518.49999803,399249272.0,483355690.49999803,484114571.49999803,99134667.0,484258792.49999803,484122420.49999803,483394444.49999803,22616631.0,103990424.0,0,407273798.0,0.0,152883608.0,484297435.49999696,285616107.0,484449900.0,0,0.0,0,0.0,0.0,,,,,2.0004453226230003,,
