,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-09-04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614335041.0,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1,2020-09-05,2168.0,1086.0,1370.0,1387.0,580.0,1345.0,1379.0,114.0,1271.0,1403.0,1376.0,1356.0,1321.0,342.0,0.0,905.0,3.0,1218.0,38.0,0.0,,,,,,,,,1614335041.0,,,,,351219.22589283326,,0.9780288418709999,0.605418478663,,,,,,,,,,,1.9235050000000002e-06,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,229512.49307959058,65.3473603263,350904.50860696874,351219.2096448284,351219.22582507477,343502.5327426399,351218.84903683444,351219.2250886391,287016.7258329873,351206.4194105972,351219.22318500996,351219.107548262,351217.1817931899,351172.7684060478,349768.67351766286,328949.1189507728,0.0,138557.69156933748,240640.55692287185,0.0,,,,,,,,,281736.9337611741,295345.9279774567,195921.54571813295,351219.22589283326,6158.0,0.071273148148,6782.0,580126.372535582,,104.89750094731444,,45.19855200709282,,2.0255578253619997,,
2,2020-09-06,1749.0,1373.0,1858.0,1886.0,621.0,1821.0,1877.0,123.0,1714.0,1918.0,1877.0,1855.0,1819.0,587.0,0.0,1350.0,13.0,1706.0,108.0,0.0,,,,,,,,,1614335041.0,,,,,525448.7302803758,,0.9691382267280001,0.895061698167,,,,,,,,,,,3.6709859999999997e-06,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,480773.0639840366,54.840953247899996,875179.1367161153,876667.8657554835,876667.9556418762,849612.4284753907,876666.1354776995,876667.9516794325,709037.020672052,876622.8585951547,876667.9516794325,876667.837907842,876665.9481641706,876615.3724017489,874963.8038800395,846452.6204272319,0.0,449383.1554649217,695275.073629819,0.0,,,,,,,,,686769.1476839042,755240.1998914008,495969.1187787376,876667.956173209,3721.0,0.043067129630000006,4363.0,979449.7496299592,,290.55524776946135,,152.993198532318,,2.257533634607,,
3,2020-09-07,1675.0,1560.0,2248.0,2301.0,642.0,2185.0,2287.0,145.0,2049.0,2353.0,2288.0,2249.0,2195.0,777.0,2.0,1687.0,21.0,2076.0,192.0,0.0,,,,,,,,,1614335041.0,,,,,435269.1010606952,,0.960190439801,0.855510501437,,,,,,,,,,,5.961158000000001e-06,883424.5696599169,883424.5696599169,636537.2854902112,883424.5696599169,883424.5696599169,883424.5696599169,883424.5696599169,883424.5696599169,883424.5696599169,883424.5696599169,883424.5696599169,883424.5696599169,67.3374202511,1308616.703329548,1311936.8144750558,1311937.0560696349,1259709.4199763413,1311933.0298540513,1311937.0474726257,1040835.7927108043,1311851.681075488,1311937.04869076,1311936.825288515,1311934.1745677963,1311881.594035239,1310019.682096834,1274829.6092913216,293405.5359781719,656739.8058613165,1094711.7565445635,0.0,,,,,,,,,969092.0467691765,1131022.8498519785,675603.6576661451,1311937.0572339038,3850.0,0.044560185185000004,4453.0,1533513.679879564,,459.14591072789597,,174.15326393012657,,3.0669795595209997,,
4,2020-09-08,1613.0,1627.0,2441.0,2505.0,623.0,2376.0,2493.0,131.0,2223.0,2590.0,2498.0,2448.0,2401.0,884.0,2.0,1873.0,31.0,2282.0,233.0,0.0,,,,,,,,,1614335041.0,,,,,663402.6179432144,,0.9602771535060001,0.959118410203,,,,,,,,,,,5.704982e-06,1274640.2217092344,1274640.2217092344,886698.0957490841,1274640.2217092344,1274640.2217092344,1274640.2217092344,1274640.2217092344,1274640.2217092344,1274640.2217092344,1274640.2217092344,1274640.2217092344,1274640.2217092344,64.5276474587,1969962.037960637,1975339.300989018,1975339.673030365,1896873.5604867844,1975333.4190045092,1975339.6607884932,1576729.781073897,1975201.695678921,1975339.6675449791,1975339.404024644,1975337.1299118386,1975282.9604628494,1973319.2767916853,1932883.0477393842,348574.86060795415,1163999.557259217,1719179.3115254014,0.0,,,,,,,,,1505592.9574993956,1743601.788526492,1096615.626483427,1975339.6751771185,3821.0,0.044224537037,4438.0,2059536.8143955453,,652.5554001290642,,211.0899923310113,,3.5030557481550004,,
5,2020-09-09,2044.0,1724.0,2752.0,2829.0,662.0,2679.0,2810.0,142.0,2468.0,2930.0,2823.0,2764.0,2720.0,1053.0,3.0,2137.0,44.0,2588.0,297.0,0.0,,,,,,,,,1614335041.0,,,,,600197.2412927857,,0.958394579729,1.018148307543,,,,,,,,,,,6.610105e-06,1844847.6747125196,1844847.6747125196,1267405.7928321196,1844847.6747125196,1844847.6747125196,1844847.6747125196,1844847.6747125196,1844847.6747125196,1844847.6747125196,1844847.6747125196,1844847.6747125196,1844847.6747125196,71.6296343071,2566492.7202283363,2575536.3919810043,2575536.913915937,2468380.620635788,2575527.5518967044,2575536.8884060923,2047128.5896630208,2575264.667366477,2575536.909907659,2575536.59598114,2575534.5435044714,2575473.323388542,2573385.841560889,2529367.86235221,529038.7711393636,1595522.0415833986,2285879.952359844,0.0,,,,,,,,,1919259.7792812563,2281879.952359844,1416705.6313529196,2575536.9164699046,5013.0,0.058020833333,5962.0,2529628.4415440536,,573.8815399435092,,200.0,,4.015165412191,,
6,2020-09-10,2427.0,1686.0,2882.0,2970.0,620.0,2790.0,2949.0,117.0,2536.0,3250.0,2962.0,2901.0,2849.0,1094.0,7.0,2243.0,47.0,2698.0,292.0,0.0,,,,,,,,,1614335041.0,,,,,625376.9622816981,,0.9587610935850001,0.947870012494,,,,,,,,,,,7.312269e-06,2397648.088915893,2397648.088915893,1865706.8116313454,2397648.088915893,2397648.088915893,2397648.088915893,2397648.088915893,2397648.088915893,2397648.088915893,2397648.088915893,2397648.088915893,2397648.088915893,74.9051108445,3188041.174419955,3200913.1884480044,3200913.8746312563,3068911.690864462,3200899.1266832226,3200913.8422028413,2566387.035006544,3200519.6519207493,3200913.86939562,3200913.541406893,3200911.0216126065,3200840.9460119563,3198748.255094677,3152411.8114500614,1303037.2345479934,2186760.427253025,2879514.7326963446,0.0,,,,,,,,,2506143.8394044046,2910248.7864808887,2017440.7200174471,3200913.8787516025,5811.0,0.067256944444,6703.0,3376954.473250997,,739.5452540432991,,275.31121161440444,,4.779378378230001,,
7,2020-09-11,1620.0,1648.0,2905.0,3003.0,575.0,2815.0,2976.0,109.0,2550.0,3331.0,2993.0,2932.0,2880.0,1114.0,6.0,2274.0,48.0,2730.0,310.0,0.0,,,,,,,,,1614335041.0,,,,,498311.2676608482,,0.958563759862,1.544122707175,,,,,,,,,,,6.814831e-06,2875459.1200264604,2875459.1200264604,2016064.8221445158,2875459.1200264604,2875459.1200264604,2875459.1200264604,2875459.1200264604,2875459.1200264604,2875459.1200264604,2875459.1200264604,2875459.1200264604,2875459.1200264604,77.73138985109999,3684124.564930058,3699224.2031724034,3699225.1417863127,3545943.164919927,3699208.143711569,3699225.0909640454,3023175.320680408,3698758.2832066957,3699225.1344923074,3699224.794657516,3699222.4393592826,3699152.4600439323,3696993.4351759963,3650468.45803325,1627779.3841523987,2666248.5264544873,3381974.0659303777,0.0,,,,,,,,,2988736.98606458,3404013.851551659,2494955.5457389476,3699225.146412451,3000.0,0.034722222222,3383.0,2395680.815535446,,884.8816655099587,,208.8995742198465,,4.944801284897,,
8,2020-09-12,1813.0,1629.0,2978.0,3088.0,570.0,2866.0,3055.0,111.0,2571.0,3471.0,3077.0,3009.0,2953.0,1149.0,6.0,2343.0,63.0,2784.0,346.0,0.0,,,,,,,,,1614335041.0,,,,,588448.590228452,,0.959703274918,1.441610187476,,,,,,,,,,,8.647135e-06,3383984.417898087,3383984.417898087,2326469.653135346,3383984.417898087,3383984.417898087,3383984.417898087,3383984.417898087,3383984.417898087,3383984.417898087,3383984.417898087,3383984.417898087,3383984.417898087,78.9235521579,4269036.5018956475,4287672.609743168,4287673.730361664,4114894.526832385,4287649.283557347,4287673.660313798,3505954.6094189356,4287055.006561288,4287673.72179383,4287673.337092671,4287670.765619758,4287592.336684146,4285482.002924552,4237175.9300148,1843406.6530587524,3191994.144287207,3963246.3217766597,0.0,,,,,,,,,3454429.621914237,3964245.591376659,2827882.5718377694,4287673.736640903,3673.0,0.042511574074,4162.0,2974225.4694720414,,1099.2219561591833,,327.74398598306715,,5.333170488982,,
9,2020-09-13,1635.0,1661.0,3138.0,3255.0,580.0,3019.0,3211.0,114.0,2687.0,3660.0,3244.0,3170.0,3111.0,1240.0,6.0,2464.0,66.0,2937.0,372.0,0.0,,,,,,,,,1614335041.0,,,,,538162.1237902343,,0.958936447695,1.4783937906,,,,,,,,,,,8.680129e-06,3721114.6715646265,3721114.6715646265,2648892.945532416,3721114.6715646265,3721114.6715646265,3721114.6715646265,3721114.6715646265,3721114.6715646265,3721114.6715646265,3663884.7788518243,3721114.6715646265,3721114.6715646265,77.1081897351,4803522.298634498,4825834.69680984,4825835.853057778,4627669.897162845,4825808.2241830565,4825835.745757444,3945446.8859146237,4825072.151178665,4825835.844309302,4825835.457181005,4825832.71125616,4825749.776099885,4823485.564617105,4774318.22787371,2125119.196457894,3611959.0525805913,4479587.527032433,0.0,,,,,,,,,3869208.5721725533,4473587.527032432,3183852.20139092,4825835.860431137,3112.0,0.036018518519,3395.0,3264242.511782128,,1353.8680445167117,,299.831997827385,,5.690885028841,,
