,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-08-28,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614334987,,,,,,0.0,100000000000,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,,,,,,,,,100000000000.0,100000000000.0,100000000000.0,100000000000,100000000000,0,0.0,0,0.0,,,,,,0.0,,
1,2017-08-29,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,,,,1614334987,,,,,,0.0,0,,0.999999,299.91002729,,299.91002729,,,,,0.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,333433333.0,0.333433,99999900000.0,100000000000.0,100000000000.0,99999900000.0,100000000000.0,100000000000.0,99999900000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999900000.0,,,,,,,,,100000000000.0,99666566667.0,99666566667.0,100000000000,100000000000,2,2.315e-05,2,333433333.0,,166716666.5,,166716666.5,,0.0033343333299999996,,
2,2017-08-30,3,2,5,5,2,5,5,2,3,5,5,5,5,5,3,5,5,5,5,2,,,,,,,,,1614334987,,,,,,0.0,0,,0.9999985,2000000.0,,2000000.0,,,,,0.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,333483333.0,0.333483,99999850000.0,100000000000.0,100000000000.0,99999850000.0,100000000000.0,100000000000.0,99999850000.0,99999950000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999950000.0,100000000000.0,100000000000.0,99999850000.0,,,,,,,,,100000000000.0,99666516667.0,99666516667.0,100000000000,100000000000,2,2.315e-05,2,50000.0,,25000.0,,25000.0,,0.0033348333299999997,,
3,2017-08-31,4,4,6,6,4,5,6,4,5,6,6,6,6,6,5,6,5,6,6,4,,,,,,,,,1614334987,,,,,,0.0,0,,0.9999989001,30.62460438,,30.62460438,,,,,1.03629e-07,3598831628.0,3598831628.0,3265398295.0,3598831628.0,3598831628.0,3598831628.0,3598831628.0,3598831628.0,3598831628.0,3598831628.0,3598831628.0,3598831628.0,3.598832,99999890010.0,100000000000.0,100000000000.0,99999890010.0,99999990010.0,100000000000.0,99999890010.0,99999990010.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999990010.0,99999990010.0,100000000000.0,99999890010.0,,,,,,,,,100000000000.0,96401168372.0,96401168372.0,100000000000,100000000000,3,3.472e-05,3,3265348305.0,,1088449435.0,,565348295.0,,0.03598831638,,
4,2017-09-01,17,9,13,17,6,12,15,6,10,19,19,19,19,15,10,17,12,19,13,9,,,,,,,,,1614334987,,,,,,0.0,0,,0.999812993573,44.208405,,44.208405,,,,,1.07412e-07,5136331628.0,5136331628.0,4802898295.0,5136331628.0,5136331628.0,5136331628.0,5136331628.0,5136331628.0,5136331628.0,5136331628.0,5136331628.0,5136331628.0,5.136332,99999785284.55,99999998800.55,99999999987.4505,99981299357.25699,99999989810.55,99999999967.4505,99981299357.25699,99999885284.55,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999999987.4505,99999999967.4505,99999885284.55,99999989810.55,99999998800.55,99999785284.55,,,,,,,,,100000000000.0,94863668372.0,94863668372.0,100000000000,100000000000,26,0.00030093,25,2262013298.2925,,90480531.9317,,100.0,,0.058608449362925,,
5,2017-09-02,15,14,22,27,8,20,24,6,17,29,29,29,29,24,17,27,20,29,22,14,,,,,,,,,1614334987,,,,,,0.0,0,,0.999695191251,1106.84491103,,1106.84491103,,,,,1.22925e-07,5136341628.0,5136341628.0,2102908285.0,5136341628.0,5136341628.0,5136341628.0,5136341628.0,5136341628.0,5136341628.0,5136341628.0,5136341628.0,5136341628.0,5.136342,99998950450.3654,99999998785.625,99999999987.4505,99969519125.0724,99999988338.8654,99999999952.5255,99906952461.1224,99999907145.3654,100000000000.0,100000000000.0,100000000000.0,100000000000.0,99999999987.4505,99999999952.5255,99999907145.3654,99999988338.8654,99999998785.625,99998950450.3654,,,,,,,,,100000000000.0,97563658382.0,94863658372.0,100000000000,100000000000,15,0.00017361,15,90346894.1346,,6023126.275640001,,203965.05,,0.059511918304271,,
6,2017-09-03,316,133,303,318,37,295,315,19,277,328,328,328,328,315,277,318,295,327,303,133,,,,,,,,,1614334987,,,,,,0.0,0,,0.996392394227,4.80558499,,4.80558499,,,,,5.09371e-07,23064006132.494,23064006132.494,19593230569.751,23064006132.494,23064006132.494,23064006132.494,23064006132.494,23064006132.494,23064006132.494,23064006132.494,23064006132.494,23064006132.494,23.064006,99945394685.19943,99999994724.5825,99999999957.408,99639239422.69153,99999956694.56168,99999999922.483,99095004766.02812,99998885814.23645,100000000000.0,100000000000.0,100000000000.0,99999999999.9,99999999957.408,99999999922.483,99998885814.23645,99999956694.56168,99999994724.5825,99945394685.19943,,,,,,,,,99903728556.11171,99579444285.18816,85017544808.9,100000000000,100000000000,423,0.00489583,423,20809121112.873272,,49194139.74674531,,385925.904096,,0.2676031294330037,,
7,2017-09-04,1011,467,1151,1211,93,1126,1200,26,1053,1243,1243,1243,1243,1200,1053,1211,1126,1228,1151,467,,,,,,,,,1614334987,,,,,,0.0,0,,0.985651051553,13.68111922,,13.68111922,,,,,1.4013130000000002e-06,23862006132.494,23862006132.494,20318029574.1164,23862006132.494,23862006132.494,23862006132.494,23862006132.494,23862006132.494,23862006132.494,23862006132.494,23862006132.494,23862006132.494,23.862006,99755806655.71149,99999981621.04433,99999999941.16382,98565105155.27444,99999868875.41554,99999999515.31181,97061240650.00636,99996162046.33765,100000000000.0,100000000000.0,100000000000.0,99999999993.43832,99999999941.16382,99999999515.31181,99996162046.33765,99999868875.41554,99999981621.04433,99755806655.71149,,,,,,,,,98629632888.37924,98816522718.12503,93572632841.83138,100000000000,100000000000,1360,0.01574074,1359,7309343512.969219,,5379888.39641223,,408237.0,,0.3407158127402459,,
8,2017-09-05,1043,798,1972,2033,120,1913,2023,23,1762,2069,2062,2061,2061,2023,1762,2033,1913,2050,1972,798,,,,,,,,,1614334987,,,,,,0.0,0,,0.975317002294,9.44741056,,9.44741056,,,,,2.2850299999999997e-06,23862016132.494,23862016132.494,12549466543.949677,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23.862016,99591604304.18816,99999982920.77475,99999999948.68428,97531700229.43173,99999782776.81047,99999999443.83229,95429827173.14903,99992252308.15688,99999999999.99956,99999999999.99756,99999999999.99756,99999999995.71875,99999999948.68428,99999999443.83229,99992252308.15688,99999782776.81047,99999982920.77475,99591604304.18816,,,,,,,,,97322255514.50114,98179726946.3864,95063587227.19904,100000000000,100000000000,1397,0.01616898,1397,10584911005.013641,,7585889.9534099,,405284.9,,0.4466906953893823,,
9,2017-09-06,1336,789,2034,2119,114,1967,2110,19,1797,2222,2156,2155,2155,2110,1797,2119,1967,2137,2034,789,,,,,,,,,1614334987,,,,,,0.0,0,,0.975322038673,11.36719382,,11.36719382,,,,,3.08788e-06,23862016132.494,23862016132.494,9339613602.250574,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,23862016132.494,15688230387.014187,23862016132.494,23862016132.494,23.862016,99574671604.43048,99999972714.72638,99999999938.57224,97532203867.25584,99999705299.3921,99999999545.65424,95189860176.00417,99990930562.4233,99999999999.99612,99999999999.99513,99999999999.99513,99999999991.24623,99999999938.57224,99999999545.65424,99990930562.4233,99999705299.3921,99999972714.72638,99574671604.43048,,,,,,,,,97388206176.68584,98310002893.51326,95437852206.96692,100000000000,100000000000,1540,0.01782407,1540,8797245968.360899,,5714430.88905021,,448511.709125,,0.5346929310807556,,
