,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-04-16,4,3,3,3,3,3,3,2,3,3,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1614334989,0.100481255558428,100.00000004,1.00000004,10.048125555842802,0.100481255558428,0.100481255558428,10.0,10.048125555842802,1.0,99.00990099,,0.990099009901,,0.0001930118527151635,1.00481255558428,,,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,10.0,10.0,10.0,10.0,10.0,10.0,9.999,10.0,10.0,9.999,9.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.9,9.9,10.0,0.1,2,2.315e-05,2,0.10099999999999999,0.10148606811401227,0.0505,0.050743034057006135,0.0505,0.050743034057006135,0.0101,,
1,2019-04-17,16,11,17,17,6,17,17,3,13,17,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1614334989,0.100403254682893,99.99922315,0.99999218,10.0403254682893,0.100403254682893,0.10040403469164837,0.0,0.0,0.9997889999999999,395.67918332,,3.956791833182,,0.00019210962168023665,1.0040325468289302,,,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,9.999967999999999,10.0,10.0,9.99789,10.0,10.0,9.99489,9.999988,9.99789,9.99489,9.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.9,9.9,10.0,0.1,23,0.00026619999999999997,23,0.025273,0.025374914556007547,0.00109883,0.0011032610834320331,1e-05,1.00403254682893e-05,0.0126273,,
2,2019-04-18,11,1,2,4,1,2,3,1,1,24,7,4,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1614334989,50204686.83660388,1.00000021,1.0,50204697.37958809,50204686.83660388,50204686.83659963,50000001.1,50204687.84069761,0.999999788,1.00000021,,1.000000001966,,0.00019022322434097125,1.00409373472389,,,2e-09,50000000.1,50000000.1,50000000.099,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,99.99997900000001,50000000.0,50000010.5,50000010.593388,50000000.0,50000010.5,50000010.5769,50000000.0,50000000.0,50000010.596388,50000010.593388,50000010.5,50000010.5,50000010.5,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000010.5,50000010.5,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000010.6,50000010.5,50000000.0,50000010.6,50000000.1,9,0.00010417,9,50000000.001712,50204686.73791352,5555555.55574578,5578298.526434837,0.0001,0.00010040937347238901,0.9999997905597444,,
3,2019-04-19,7,1,2,4,1,2,3,1,1,25,7,4,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1614334989,50266298.22405211,1.00122741,1.0012272,50266308.77997471,50266298.22405211,50204686.836621195,0.0,0.0,0.999999788,66934418473.89557,,66934404417.67067,,0.0001900444674873996,1.00532596247039,,,2e-09,50000000.1,50000000.1,50000000.017988004,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,99.99997900000001,50000000.0,50000010.5,50000010.593083,50000000.0,50000010.5,50000010.5769,50000000.0,50000000.0,50000010.596083,50000010.593083,50000010.5,50000010.5,50000010.5,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000010.5,50000010.5,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000010.6,50000010.5,50000000.0,50000010.6,50000000.1,16,0.00018519,15,0.0007470000000000003,0.0007509784939653814,5.247e-05,5.274945325082136e-05,1e-05,1.00532596247039e-05,0.9999997905754844,,
4,2019-04-20,0,1,2,4,1,2,3,1,1,25,7,4,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1614334989,50236596.55080369,1.0006358,1.00063559,50236607.10048894,50236596.55080369,50204686.836621195,0.0,0.0,0.999999788,,,,,0.00018907357629503258,1.00473192900661,,,2e-09,50000000.1,50000000.1,0.017488,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,99.99997900000001,50000000.0,50000010.5,50000010.593083,50000000.0,50000010.5,50000010.5769,50000000.0,50000000.0,50000010.596083,50000010.593083,50000010.5,50000010.5,50000010.5,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000010.5,50000010.5,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000010.6,50000010.5,50000000.0,50000010.6,50000000.1,0,0.0,0,0.0,0.0,,,,,0.9999997905754844,,
5,2019-04-21,2,1,3,5,1,2,4,1,1,26,8,5,3,1,1,2,1,3,1,1,1,1,2,1,1,3,1,1,1614334989,50360038.84732557,1.00000021,1.0,50360049.4229337,50360038.84732557,50360038.847032174,0.0,0.0,0.999999768,50000010.6,,50000000.1,,0.00019019097402031516,1.00720077493211,,,2.2000000000000002e-08,50000000.1,50000000.1,50000000.0,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,50000000.1,99.99997900000001,49999999.0,50000010.5,50000010.593083,49999999.0,50000009.5,50000010.5769,49999999.0,49999999.0,50000010.596083,50000010.593083,50000010.5,50000010.5,50000009.5,49999999.0,49999999.0,49999999.0,49999999.0,49999999.0,50000010.5,50000009.5,49999999.0,49999999.0,49999999.0,49999999.0,49999999.0,49999999.0,50000010.6,50000009.5,49999999.0,50000010.6,50000000.1,1,1.157e-05,1,1.0,1.00720077493211,1.0,1.00720077493211,1.0,1.00720077493211,0.99999981057548,,
6,2019-04-22,26,5,12,15,2,8,14,2,5,39,18,15,12,5,2,7,2,11,4,1,5,2,7,2,1,11,4,1,1614334989,50260411.49369591,1.00000021,1.0,50260422.04817121,50260411.49369591,50260411.49570416,1000.0,1005.18812410106,0.99987977061,98.61485615,,98.614835440902,,0.00018670606796425708,1.00518812410106,,,8.3568e-08,50001000.1,50001000.1,50001000.094578005,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,99.99997900000001,50000979.0669,50001010.3775,50001010.592172,49994999.008999996,50001006.4638,50001010.576999,49994999.008999996,50000979.0669,50001010.595171995,50001010.592172,50001010.3775,50001009.477,50000999.577,50000979.0669,49994999.008999996,49994999.008999996,49999989.0659,49494999.0,50001009.477,50000999.577,50000979.0669,49994999.008999996,49994999.008999996,49494999.0,49999989.0659,49494999.0,50001010.6,49998989.0659,49494999.0,50001010.6,50001000.1,27,0.0003125,27,507033.245824,509663.7972266982,18779.009105,18876.436934731682,0.01,0.0100518812410106,1.0101202709412236,,
7,2019-04-23,35,7,16,21,3,10,18,3,7,53,26,20,17,7,3,9,3,14,5,1,7,3,9,3,1,15,6,2,1614334989,50214787.37304201,1.00000012,0.99999991,50214797.91793643,50214787.37304201,50214791.94037889,0.0,0.0,0.999859750975,1.01024346,,1.010243247342,,0.0001811182191743412,1.00427565993909,,,1.27779e-07,50001000.1,50001000.1,50000999.096256,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,50001000.1,99.99997900000001,50000977.0149,50001010.307157,50001010.588005,49993998.007,50001004.403491,50001010.516656,49993998.007,50000977.0149,50001010.595074,50001010.581765,50001010.416657,50001008.416691,50000997.525,50000977.0149,49993998.007,49993998.007,49998988.0639,48494000.0,50001009.416657,50000997.525,50000977.0149,49993998.007,49993998.007,48494000.0,49999987.0639,49493999.998,50001010.6,49998988.0639,48494000.0,50001010.6,50001000.1,349,0.00403935,361,49494020.60500401,49705640.20612933,137102.57262662,137688.77660394573,0.101995,0.10243109593548749,1.9999808382436572,,
8,2019-04-24,31,7,17,24,5,12,20,4,9,58,31,24,19,9,4,12,5,16,7,1,9,4,12,5,1,17,8,2,1614334989,100369355.20713346,1.00040877,1.00040867,100369365.7563595,100369355.20713346,100328354.04916498,49900000.0,50133940.79961729,0.9999296143970001,1.99681674,,1.996816534585,,0.0001849590988796008,1.0046881923771,,,1.23228e-07,99901000.1,99901000.1,99895996.795251,99901000.1,99901000.1,99901000.1,99901000.1,99901000.1,99901000.1,99901000.09899999,99901000.1,99901000.1,99.999989,99898969.064,99901009.365824,99901010.579432,99893979.0071,99900998.4751,99901010.395823,99883974.0071,99900957.965,99901010.59458299,99901010.579432,99901010.295824,99901008.365949,99900998.4751,99900957.965,99883974.0071,99893979.0071,99898969.064,98394000.0,99901009.365824,99900998.4751,99900957.965,99883974.0071,99893979.0071,98394000.0,99899968.064,99393999.998,99901010.6,99893979.0071,98394000.0,99901010.6,99901000.1,103,0.00119213,99,50030134.651696995,50264685.547596365,505355.1221393,507724.3241706419,1e-06,1.0046881923771e-06,1.5017988234906705,,
9,2019-04-25,39,12,21,33,10,17,28,8,14,72,40,33,29,14,9,18,10,25,12,6,14,8,17,10,1,21,12,6,1614334989,99507293.5299843,1.04928339,0.99997533,104413926.71886644,99507293.5299843,99509748.8401151,6500000.0,6378609.7504663365,0.999849183172,7.32282911,,6.978713748107,,0.0001913781446204767,0.981324576994821,,,2.96354e-07,101401000.1,101401000.1,101395997.85102901,101401000.1,101401000.1,101401000.1,101401000.1,101401000.1,101401000.1,101401000.096871,101401000.1,101401000.1,95.300787,106398937.594,106401004.202749,106401010.57943,106384963.5371,106400983.515,106401010.236322,106254970.537,106400926.425,106401010.59458101,106401010.57943,106401010.33782199,106401008.215949,106400993.5251,106400926.425,106354970.5371,106384963.5371,106398937.594,104894992.53,106401004.202749,106400983.515,106400926.425,106254970.537,106384963.5371,91394000.0,106398937.594,104894992.53,106401010.6,105894990.528,91394000.0,106401010.6,101401000.1,44,0.00050926,42,14530041.460362,14258686.789806949,345953.46358007,339492.6363076054,0.02,0.01962649153989642,1.5466137466834549,,
