,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614335611,0.0,,0.0,0.0,0.0,0.0,,,,0.039228442881721406,683.905956165985,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,
1,2017-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614335611,0.0,,0.0,0.0,0.0,0.0,,,,0.042482079165080885,701.59801899474,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,
2,2017-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614335611,0.0,,0.0,0.0,0.0,0.0,,,,0.0420462389183903,698.089197545295,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,
3,2017-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614335611,0.0,,0.0,0.0,0.0,0.0,,,,0.03894837902952015,689.464290181181,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,
4,2017-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614335612,0.0,,0.0,0.0,0.0,0.0,,,,0.03553002027642474,697.827856516657,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,
5,2017-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614335612,0.0,,0.0,0.0,0.0,0.0,,,,0.03788641595376992,729.331224722384,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,,,,,
6,2017-12-18,53,12,19,19,10,19,19,7,17,21,19,16,11,3,0,7,0,9,1,0,10,3,13,6,0,18,7,1,1614335612,2010042.953739682,1.24574829,2504007.579404203,2010042.953739682,3184.4848,2508509.4478050848,0.999929847075,0.85003003,,0.041498654810781965,787.728504091175,,,0.0,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,2551.6950869496936,80.273038,3178.7087999999994,3178.7698,3178.7698,3178.5468000000005,3178.7698,3178.7698,3175.5820000000003,3178.766809999999,3178.7698,3178.7587999999996,3178.6468,3177.5820000000003,3175.5820000000003,3022.5489130503065,0.0,0.0,2425.6620000000003,0.0,3178.7688,3178.7288,3178.5468000000005,3022.5489130503065,3165.5820000000003,0.0,3175.5820000000003,2425.6620000000003,3178.7698,2732.562,2425.6620000000003,3178.7698,181,0.00209491,181,3739.5970769496935,2945787.211329313,24.41213855,19230.137381658005,8.0,6301.8280327294,1.3900336781070757,,
7,2017-12-19,187,51,98,103,33,93,99,22,79,129,90,77,48,7,0,22,0,33,1,0,45,5,74,20,0,89,29,1,1614335612,6100487.188932704,1.12608213,6869649.620124479,6100487.188932704,5450.636072852307,4490491.406369555,0.999321888221,0.85983128,,0.04666810217099815,823.8472255990649,,,2.03765e-07,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,7404.876777362089,88.80346899999999,8337.604296673579,8338.499404101274,8338.49942880681,8332.844994178438,8338.498157279353,8338.499413707423,8304.562502500597,8338.446256851177,8338.495313330917,8338.426257107194,8337.316840864203,8332.844994178438,8304.562502500597,7822.320229233505,0.0,0.0,6240.431313943122,0.0,8338.494313330917,8338.394607107195,8337.016840864202,7612.529259794183,8284.464502552179,0.0,8328.80304757632,6240.431313943122,8338.49942173808,8078.930190209189,6240.431313943122,8338.49942885852,802,0.00928241,810,9697.832136918118,7989532.100325443,14.26171641,11749.475496659152,8.0,6590.77780479252,1.915283140029172,,
8,2017-12-20,114,49,117,126,26,110,122,17,84,158,111,94,56,6,0,20,1,30,2,0,51,5,89,18,1,110,27,2,1614335612,13216946.490286179,1.05179873,13903754.859221008,13219026.073416363,10088.8744209865,8043730.9500742685,0.9990971786130001,0.96433731,,0.048456625284730034,797.287250730567,,,4.02474e-07,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,16577.396011506873,95.06026700000001,17436.680148167517,17438.82693405229,17438.82753005641,17423.08338587555,17438.82182401674,17438.827509448194,17373.345066357346,17438.60466917466,17438.82282401674,17438.728996274658,17437.442890103,17427.425332477662,17410.014605357348,16906.359239192374,0.0,14183.070621067147,16018.506931940301,0.0,17438.82182401674,17438.678996274655,17436.937890103,16800.40698098787,17388.345066357346,14183.070621067147,17424.38338587555,16018.506931940301,17438.77667543878,17330.144580410357,14183.070621067147,17438.827532336403,825,0.00954861,830,18083.74247336472,14417937.319508534,25.58960009,20402.261903050767,8.0,6378.298005844536,2.1337418112869355,,
9,2017-12-21,117,61,144,156,30,132,150,20,104,200,136,113,72,8,0,23,1,38,2,0,66,6,107,21,1,133,34,2,1614335612,14800779.776695786,1.06004061,15699513.44749314,14810294.324145993,2855.7975045000003,2266786.324938081,0.998713009324,4.30261733,,0.0507712303180826,793.748969023963,,,5.641729999999999e-07,18646.67590673613,18646.67590673613,18570.601523670528,18646.67590673613,18646.67590673613,18646.67590673613,18646.67590673613,18646.67590673613,18646.67590673613,18646.67590673613,18646.67590673613,18646.67590673613,94.27540400000001,19775.931399796293,19778.9396279153,19778.94026618119,19753.484958032543,19778.930299313284,19778.940231531313,19689.31201837289,19778.714353580322,19778.93484136349,19778.818703580324,19777.359819887242,19764.180187671915,19725.981557372892,19253.972935300284,0.0,15644.732690357647,17672.6514683769,0.0,19778.93163631329,19778.75870358032,19776.7524332524,19032.42945709577,19704.312018372893,15644.732690357647,19759.930589106378,17672.6514683769,19778.63435747965,19689.31201837289,17672.6514683769,19778.940269740597,390,0.00451389,400,4596.9554713722855,3648828.6660508174,13.70219905,10876.106369298624,6.84602736,5434.027158909844,2.1583985027685952,,
