,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2014-10-09,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0,,,,,,,,,1614335169.0,629.0,268.51987281,,,,0.0,64.62146453,6.222955231081077,0.0,,,,,0.0,,125800000.0,36500.0,100.0,,125800000.0,,1.0,,,,,,,,,,,,,125800000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,125800000.0,122000000.0,,,,,,,,,125800000.0,46000000.0,46000000.0,125800000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,
1,2014-10-10,1121.0,91.0,114.0,124.0,81.0,108.0,119.0,57.0,102.0,124.0,124.0,124.0,124.0,106.0,72.0,109.0,88.0,119.0,97.0,42.0,,,,,,,,,1614335169.0,1414.0,626.4009901000001,,,,0.0,31.66629232,117.63726413115991,0.00012984,0.11100386100385903,,0.1,,115.0,,282800000.0,25262.359194999997,69.211943,,282800000.0,,0.9994199347499999,1.4858969,,,,,,,,,,,,282800114.99999905,,1.534134e-06,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,263799950.3,64.56190699999999,408585468.86577797,408599989.71083796,408600000.0,408362985.338742,408599928.509324,408599998.77275497,403970343.014585,408599045.366912,408600000.0,408600000.0,408600000.0,408599998.77275497,408599955.780272,408599814.58442795,407688486.912196,408560322.12632203,408595981.031139,393599171.521936,,,,,,,,,408598042.956706,270592754.229622,46600008.1,408600000.0,1036.0,0.01199074,4172.0,274985430.786872,,80129.53689716,,12015.784827500001,,0.8181606165808517,,
2,2014-10-11,2340.0,122.0,160.0,185.0,105.0,154.0,169.0,75.0,142.0,185.0,185.0,185.0,185.0,154.0,100.0,159.0,118.0,168.0,140.0,68.0,,,,,,,,,1614335169.0,1399.0,900.0378842,,,,0.0,59.51408128,70.36867323434589,0.0001923,0.109760028558473,,0.1,,242.13062299999999,,279800000.0,14835.415509999999,40.644974,,279800000.0,,0.999306044466,1.91449165,,,,,,,,,,,,279800242.1306227,,2.606415e-06,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,513999883.88289297,74.665875,688332941.270764,688399977.648122,688400000.0,687922281.0102919,688399866.55141,688399994.177721,679638193.5479031,688395652.385053,688400000.0,688400000.0,688400000.0,688399993.388875,688399968.602676,688399866.55141,687474742.0222241,688296237.587736,688394193.4182991,673824507.831427,,,,,,,,,687474742.0222241,474165589.00193495,51200049.545024,688400000.0,2206.0,0.02553241,7112.0,359573257.63303703,,66762.25199591,,10733.865869,,1.1753538119260256,,
3,2014-10-12,1817.0,145.0,186.0,222.0,125.0,177.0,200.0,86.0,165.0,222.0,222.0,222.0,222.0,177.0,124.0,186.0,144.0,199.0,164.0,85.0,,,,,,,,,1614335170.0,1411.0,786.13961729,,,,0.0,105.49357679999999,74.75891841661237,0.00017059,0.11104970305163972,,0.1,,189.228694,,282200000.0,10612.301635,29.074799,,282200000.0,,0.9991523919419999,3.69934113,,,,,,,,,,,,282200189.2286936,,2.590575e-06,750799870.651467,750799870.651467,552270911.003798,750799870.651467,750799870.651467,750799870.651467,750799870.651467,750799870.651467,750799870.651467,750799870.651467,750799870.651467,750799870.651467,77.354201,970517373.5762961,970599963.3854699,970600000.0,969777311.618578,970599668.4314779,970599991.63746,955305703.9801769,970595159.5252029,970600000.0,970600000.0,970600000.0,970599990.649888,970599963.3854699,970599668.4314779,969677321.618578,970507373.5862961,970594183.1858699,954330639.9105641,,,,,,,,,965197844.468381,683969138.435068,127990337.18836202,970600000.0,1704.0,0.01972222,5449.0,262371045.83530697,,65502.48141704,,14156.621136000002,,1.2013564654557336,,
4,2014-10-13,2335.0,169.0,211.0,242.0,137.0,204.0,221.0,92.0,192.0,248.0,248.0,248.0,248.0,204.0,144.0,213.0,171.0,223.0,195.0,98.0,,,,,,,,,1614335170.0,1362.0,917.22173275,,,,0.0,22.81496269,69.12966314030842,0.00018925,0.1073182378574632,,0.1,,236.42207799999997,,272400000.0,7998.87353,21.914722,,272400000.0,,0.998359396904,3.54927672,,,,,,,,,,,,272400236.4220774,,1.801154e-06,1003375832.000026,1003375832.000026,561177064.3472099,1003375832.000026,1003375832.000026,1003375832.000026,1003375832.000026,1003375832.000026,1003375832.000026,1003375832.000026,1003375832.000026,1003375832.000026,80.72211,1242867182.0014448,1242999952.790969,1242999999.3303711,1240960730.3512962,1242999682.048774,1242999990.581744,1217268858.7275891,1242992792.220614,1243000000.0,1243000000.0,1243000000.0,1242999992.581744,1242999972.790969,1242999682.048774,1241710449.642297,1242891267.9914448,1242995925.161591,1223821285.891905,,,,,,,,,1225634813.298418,856761826.632119,176526381.960999,1243000000.0,2203.0,0.02549769,7484.0,350212197.607063,,66079.5607083,,11303.100608,,1.3359420898731182,,
5,2014-10-14,2439.0,191.0,251.0,280.0,156.0,243.0,260.0,98.0,221.0,287.0,287.0,287.0,287.0,245.0,163.0,255.0,197.0,263.0,228.0,110.0,,,,,,,,,1614335170.0,1429.0,861.97130861,,,,0.0,41.44188563,53.735941406801956,0.00019663,0.1047151629917816,,0.1,,242.206172,,285800000.0,6823.456365000001,18.694401,,285800000.0,,0.998709438494,4.85184196,,,,,,,,,,,,285800242.2061713,,2.7353429999999996e-06,1271923784.414607,1271923784.414607,629581329.102676,1271923784.414607,1271923784.414607,1271923784.414607,1271923784.414607,1271923784.414607,1271923784.414607,1271923784.414607,1271923784.414607,1271923784.414607,83.197526,1528599277.031337,1528799919.7828028,1528799999.169042,1526826989.569645,1528799388.318149,1528799988.19099,1490133362.941857,1528784688.4327369,1528800000.0,1528800000.0,1528800000.0,1528799991.532021,1528799969.738259,1528799628.768564,1527578916.733837,1528673303.710733,1528792683.162672,1504479429.7266471,,,,,,,,,1493050865.931857,1076346890.8845198,223621597.648551,1528800000.0,2313.0,0.02677083,7744.0,315096825.804177,,59235.20395467,,10115.5024715,,1.3862463612880862,,
6,2014-10-15,2968.0,205.0,269.0,312.0,169.0,259.0,285.0,111.0,234.0,320.0,320.0,320.0,320.0,260.0,182.0,273.0,214.0,289.0,244.0,130.0,,,,,,,,,1614335170.0,1399.0,1079.5003574,,,,0.0,32.21475273,55.38807538704072,0.00020689,0.11056229794762994,,0.1,,312.449054,,279800000.0,5646.74345,15.470529999999998,,279800000.0,,0.9983639648039999,3.59894066,,,,,,,,,,,,279800312.44905317,,1.78787e-06,1544155712.968058,1544155712.968058,694470505.6091089,1544155712.968058,1544155712.968058,1544155712.968058,1544155712.968058,1544155712.968058,1544155712.968058,1544155712.968058,1544155712.968058,1544155712.968058,85.378509,1808360797.0173237,1808599875.308256,1808599998.929259,1805641066.744532,1808599359.8225892,1808599983.447413,1762393388.8954852,1808579197.2977052,1808600000.0,1808600000.0,1808600000.0,1808599988.217454,1808599929.569545,1808599500.274788,1807292090.1799378,1808480377.842837,1808591552.040331,1787439919.7841468,,,,,,,,,1740159173.837605,1233072642.126561,358067002.64487004,1808600000.0,2826.0,0.03270833,8303.0,502536765.90068203,,84580.90845928,,9979.536001,,1.5600844410453545,,
7,2014-10-16,3004.0,229.0,302.0,345.0,175.0,293.0,317.0,108.0,259.0,358.0,358.0,358.0,358.0,296.0,203.0,311.0,239.0,323.0,277.0,136.0,,,,,,,,,1614335170.0,1413.0,973.89525832,,,,0.0,95.36264836,38.85377628283079,0.00021711,0.10460841281512548,,0.1,,298.761627,,282600000.0,4932.52678,13.513772,,282600000.0,,0.9971945195640001,4.79320092,,,,,,,,,,,,282600298.7616261,,2.634935e-06,1819539707.500191,1819539707.500191,765032928.313013,1819539707.500191,1819539707.500191,1819539707.500191,1819539707.500191,1819539707.500191,1819539707.500191,1819539707.500191,1819539707.500191,1819539707.500191,87.009359,2090906238.316877,2091199798.107529,2091199997.99192,2085333179.3125038,2091199002.5568788,2091199978.495237,2020955932.968228,2091163595.294911,2091200000.0,2091200000.0,2091200000.0,2091199986.2460911,2091199945.473098,2091199486.0100489,2089654865.1295981,2091051388.618271,2091190539.0564039,2063946823.950491,,,,,,,,,2002599791.491339,1445771805.066107,378545684.26049197,2091200000.0,2856.0,0.03305556,8296.0,436284653.333619,,75782.76571485,,14568.465982499998,,1.6498960139848189,,
8,2014-10-17,3209.0,240.0,320.0,359.0,189.0,307.0,338.0,114.0,275.0,377.0,377.0,377.0,377.0,313.0,216.0,329.0,254.0,342.0,296.0,148.0,,,,,,,,,1614335170.0,1424.0,960.58005618,,,,0.0,48.69874167,45.058808462731726,0.00023285,0.1035132703932414,,0.1,,318.510333,,284800000.0,4375.08418,11.986532,,284800000.0,,0.997392830691,7.82420813,,,,,,,,,,,,284800318.51033235,,3.694222e-06,2070265638.6008122,2070265638.6008122,661707394.25526,2070265638.6008122,2070265638.6008122,2070265638.6008122,2070265638.6008122,2070265638.6008122,2070265638.6008122,2070265638.6008122,2070265638.6008122,2070265638.6008122,87.13239200000001,2375611537.485582,2375999792.202776,2375999996.99021,2369805365.7211514,2375998380.996732,2375999982.642171,2292442021.129403,2375960503.0717287,2376000000.0,2376000000.0,2376000000.0,2375999987.229771,2375999927.699511,2375999412.355072,2374215510.299953,2375833880.706418,2375991830.2985487,2347762091.317641,,,,,,,,,2251461395.4319077,1652755034.9383788,438252871.274758,2376000000.0,3077.0,0.03561343,7635.0,303672903.572303,,71351.74949212,,15952.939580000002,,1.6814112591823978,,
9,2014-10-18,2486.0,242.0,332.0,369.0,195.0,313.0,350.0,113.0,280.0,389.0,389.0,389.0,389.0,320.0,224.0,340.0,260.0,355.0,300.0,151.0,,,,,,,,,1614335170.0,1386.0,868.95093795,,,,0.0,22.11052786,38.310424620872986,0.00020647,0.10443550902981537,,0.1,,248.66094700000002,,277200000.0,3813.432765,10.447761,,277200000.0,,0.9975755262270001,8.07716754,,,,,,,,,,,,277200248.6609464,,3.738622e-06,2332265646.149316,2332265646.149316,577703360.7531691,2332265646.149316,2332265646.149316,2332265646.149316,2332265646.149316,2332265646.149316,2332265646.149316,2198258795.143012,2332265646.149316,2332265646.149316,87.903876,2652706293.839871,2653199798.574626,2653199996.546023,2646767386.185882,2653198068.922823,2653199982.2226076,2555787503.606072,2653159074.286072,2653200000.0,2653200000.0,2653200000.0,2653199988.4553037,2653199925.1280513,2653199136.134697,2651564826.381611,2653033339.0276647,2653189458.157059,2622026961.057938,,,,,,,,,2511516039.576225,1872050668.570541,516521128.461451,2653200000.0,2381.0,0.02755787,6451.0,328481486.31298196,,75466.49873518,,17982.707381,,1.6892309419410587,,
