,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-07-17,10.0,4.0,9.0,9.0,3.0,7.0,9.0,2.0,6.0,9.0,7.0,6.0,4.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,,,,,,,,,1614090067.0,,,,,,,10000.0,,0.999971575421,247.02649578476897,,247.02649578476897,,,,,,,,,,,3.8595e-08,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,40.47740276410445,0.4047740276,9999.889757988049,10000.0,10000.0,9999.715754214732,9999.999615613278,10000.0,9995.796750644777,9999.995530882565,9999.999615613278,9999.995530882565,9999.889757988049,9999.715754214732,9995.796750644777,9959.522597235897,0.0,0.0,9959.522597235897,0.0,,,,,,,,,10000.0,9959.522597235897,9959.522597235897,10000.0,10000.0,9.0,0.000104166667,9.0,40.48148749481865,,4.49794305497985,,0.09498163948362187,,0.004048148749,,
1,2020-07-18,365.0,127.0,165.0,254.0,65.0,160.0,235.0,19.0,146.0,258.0,162.0,152.0,137.0,8.0,0.0,33.0,0.0,87.0,2.0,0.0,,,,,,,,,1614090087.0,,,,,,,10000.0,,0.9972659786139999,2.8926383989960005,,2.8926383989960005,,,,,,,,,,,4.95341e-07,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,1942.6820175914386,9.713410088,19998.053518137625,19999.99567021785,19999.999996380888,19945.31957227936,19999.9910554777,19999.99980596142,19617.736613981215,19999.859734675378,19999.994304036733,19999.94304387456,19999.417529380124,19974.97192492104,19805.082894521827,19056.260018656005,0.0,0.0,18057.31798240856,0.0,,,,,,,,,19986.668278211375,19714.698523514126,18057.31798240856,20000.0,20000.0,1199.0,0.013877314815,2300.0,6914.103057935648,,5.514689319621904,,1.0,,0.636213346131,,
2,2020-07-19,1505.0,330.0,654.0,928.0,113.0,617.0,855.0,30.0,531.0,956.0,635.0,577.0,444.0,13.0,0.0,56.0,0.0,223.0,3.0,0.0,,,,,,,,,1614090106.0,,,,,,,10000.0,,0.9911532447570001,2.8490326138309996,,2.8490326138309996,,,,,,,,,,,2.228054e-06,5185.8654404446615,5185.8654404446615,5179.190664760049,5185.8654404446615,5185.8654404446615,5185.8654404446615,5185.8654404446615,5185.8654404446615,5185.8654404446615,5185.8654404446615,5185.8654404446615,5185.8654404446615,17.2862181348,29973.27222395229,29999.983397871885,29999.99998951136,29734.597342720845,29999.938473723952,29999.998859925003,29036.44834971433,29998.840906734822,29999.970843206098,29999.708873994743,29993.53398215613,29910.22541553276,29437.32998242812,28128.52933608501,0.0,0.0,24814.13455955534,0.0,,,,,,,,,29692.73266088697,29674.231836918887,27614.352857452388,30000.0,30000.0,6021.0,0.0696875,10713.0,10529.889989450849,,1.8116461792659888,,0.3958645189633001,,1.07108108137,,
3,2020-07-20,1947.0,458.0,932.0,1378.0,143.0,866.0,1256.0,34.0,731.0,1422.0,895.0,813.0,612.0,11.0,0.0,65.0,0.0,301.0,6.0,0.0,,,,,,,,,1614090126.0,,,,,,,0.0,,0.987380642019,1.7151809522850001,,1.7151809522850001,,,,,,,,,,,3.6743520000000003e-06,9099.392327954485,9099.392327954485,8683.26070605982,9099.392327954485,9099.392327954485,9099.392327954485,9099.392327954485,9099.392327954485,9099.392327954485,9099.392327954485,9099.392327954485,9099.392327954485,30.3313077598,29963.40482128344,29999.974863559277,29999.999973505728,29621.419260558436,29999.89824814528,29999.997931918137,28708.19843758525,29997.97890477903,29999.951505409277,29999.56911203384,29990.859330159004,29867.05168799388,29209.083861984836,27430.825259138244,0.0,0.0,26089.426150167066,0.0,,,,,,,,,29456.223900844998,29618.419260558436,27692.462418812895,30000.0,30000.0,6842.0,0.079189814815,11556.0,17490.86588213097,,2.7192174370493336,,0.4899744828429554,,2.1185236381209998,,
4,2020-07-21,1715.0,596.0,1148.0,1645.0,202.0,1073.0,1503.0,41.0,914.0,1694.0,1110.0,1012.0,776.0,13.0,0.0,86.0,0.0,412.0,6.0,0.0,,,,,,,,,1614090147.0,,,,,,,0.0,,0.984036657858,2.041029960845,,2.041029960845,,,,,,,,,,,4.2610750000000005e-06,11774.434803216958,11774.434803216958,10167.17329373093,11774.434803216958,11774.434803216958,11774.434803216958,11774.434803216958,11774.434803216958,11774.434803216958,11774.434803216958,11774.434803216958,11774.434803216958,39.2481160107,29957.449223383166,29999.972342070378,29999.999963674614,29521.099735729582,29999.884849406968,29999.997821389,28207.327784856254,29997.66045220552,29999.949124814295,29999.5185517051,29989.377599264128,29850.222362126457,28928.604078126704,26784.979442248445,0.0,0.0,25248.213370917852,0.0,,,,,,,,,29045.825149457538,29414.992836563208,27023.833794000777,30000.0,30000.0,5273.0,0.061030092593,8880.0,14698.461353098144,,3.489354824935142,,0.7763803953004567,,3.151372666302,,
5,2020-07-22,2015.0,746.0,1383.0,1938.0,253.0,1314.0,1781.0,43.0,1142.0,1995.0,1350.0,1247.0,968.0,17.0,0.0,104.0,0.0,508.0,6.0,0.0,,,,,,,,,1614090172.0,,,,,,,0.0,,0.980119673545,1.09977621243,,1.09977621243,,,,,,,,,,,4.185172e-06,16042.909839532687,16042.909839532687,13365.125089106928,16042.909839532687,16042.909839532687,16042.909839532687,16042.909839532687,16042.909839532687,16042.909839532687,16042.909839532687,16042.909839532687,16042.909839532687,53.476366131800006,29947.288300708246,29999.96974028536,29999.999962731683,29403.59020635028,29999.889234203692,29999.997598552392,27681.623195559983,29997.522711770816,29999.95140778461,29999.487888519732,29987.03727894634,29809.314038674045,28657.284920192495,26302.638468641875,0.0,0.0,23928.925535992763,0.0,,,,,,,,,28616.69044186515,29222.384300354486,26466.246728446997,30000.0,30000.0,6101.0,0.070613425926,10508.0,27278.276853900912,,4.749127188977641,,0.8406068668248725,,4.814833616361,,
6,2020-07-23,2089.0,952.0,1659.0,2268.0,341.0,1573.0,2113.0,64.0,1395.0,2326.0,1616.0,1499.0,1208.0,22.0,0.0,143.0,0.0,672.0,6.0,0.0,,,,,,,,,1614090198.0,,,,,,,0.0,,0.974554875757,1.4239163520429998,,1.4239163520429998,,,,,,,,,,,5.663538999999999e-06,19492.714428522086,19492.714428522086,16056.735656105264,19492.714428522086,19492.714428522086,19492.714428522086,19492.714428522086,19492.714428522086,19492.714428522086,19492.714428522086,19492.714428522086,19492.714428522086,64.9757147617,29939.96259854847,29999.96587140082,29999.99996752931,29236.64627271178,29999.859436429153,29999.997520173518,26918.044951592026,29997.45721746871,29999.939212167756,29999.40374900957,29986.226794738628,29775.94071247024,28193.54605747731,24728.622695983275,0.0,0.0,21058.406050211357,0.0,,,,,,,,,27674.153930128246,28816.847021655198,24819.034920416067,30000.0,30000.0,6081.0,0.070381944444,10480.0,21068.653335536666,,3.9987851701187864,,0.9262837692674569,,6.2117425691229995,,
7,2020-07-24,3146.0,1350.0,2428.0,3066.0,485.0,2304.0,2873.0,80.0,2006.0,3130.0,2367.0,2182.0,1728.0,27.0,0.0,206.0,0.0,919.0,4.0,0.0,,,,,,,,,1614090212.0,,,,,,,0.0,,0.965057210707,1.267113767282,,1.267113767282,,,,,,,,,,,8.400059e-06,23773.50298884571,23773.50298884571,19329.652073062898,23773.50298884571,23773.50298884571,23773.50298884571,23773.50298884571,23773.50298884571,23773.50298884571,23773.50298884571,23773.50298884571,23773.50298884571,79.2450099628,29911.331762604004,29999.964409978624,29999.99996585472,28951.716321199965,29999.807366806635,29999.996935187122,25435.371837287963,29995.756428482524,29999.925337981775,29999.087291331747,29978.911232311013,29655.487807889007,27486.176862822434,22557.25557136502,0.0,0.0,15793.890260291522,0.0,,,,,,,,,25935.451401365703,28268.239770904947,22932.362981464863,30000.0,30000.0,8612.0,0.099675925926,15009.0,23675.85356156276,,2.986453695600865,,0.609,,7.705865353032,,
8,2020-07-25,3803.0,1660.0,3170.0,3845.0,552.0,3030.0,3635.0,91.0,2611.0,3919.0,3104.0,2868.0,2193.0,32.0,0.0,235.0,0.0,1113.0,3.0,0.0,2629.0,95.0,3033.0,566.0,1.0,3172.0,1684.0,13.0,1614090223.0,95671574.43790878,1.5476525443470002,1.547587680914,104694739.9181766,104690352.07263346,67647444.70622373,0.0,0.0,0.955009520898,1.293060993757,,1.293006800471,,0.35968478685779226,3489.82466393922,,,,,,,,9.882017e-06,27414.43586736454,27414.43586736454,22944.66514845442,27414.43586736454,27414.43586736454,27414.43586736454,27414.43586736454,27414.43586736454,27414.43586736454,27413.7978727912,27414.43586736454,27414.43586736454,91.38145289120001,29872.508757313906,29999.9628376757,29999.99996535054,28650.285626953104,29999.780944862556,29999.996549205105,24606.34867251829,29993.989058494386,29999.922937481475,29998.812634036058,29968.656570259434,29550.942940221885,26982.61119059697,21538.676625623164,0.0,0.0,12869.955987155106,0.0,29999.963429917185,29999.789671215884,29994.517178814436,24723.889559077925,28691.461729348946,8599.17054328471,29879.550859618103,18606.166879177574,24857.6225164945,28049.24063713504,22167.048089121854,30000.0,29998.74267449925,11171.0,0.129293981481,19530.0,23200.76171569019,80966590.45759244,2.324545023489329,8112.254555410231,0.4555202431975977,1589.6857796345676,9.219144163324,,
9,2020-07-26,2442.0,1783.0,3381.0,4069.0,613.0,3234.0,3866.0,105.0,2767.0,4144.0,3316.0,3066.0,2307.0,43.0,0.0,265.0,0.0,1219.0,1.0,0.0,2747.0,100.0,3229.0,584.0,1.0,3379.0,1753.0,13.0,1614090237.0,93034706.83532894,1.340265846411,1.340198417233,95105680.8883695,95100896.09294914,70960310.70478858,0.0,0.0,0.952284064712,2.007898188411,,2.007797170449,,0.3191281642963927,3170.18936294565,,,3489.82466393922,0.35968478685779204,11.4269812274981,2996.5454461718605,3489.82466393922,1.1442309e-05,29346.73490572932,29346.73490572932,21866.29584205549,29346.73490572932,29346.73490572932,29346.73490572932,29346.73490572932,29346.73490572932,29346.73490572932,29228.43873848986,29346.73490572932,29346.73490572932,97.8224496858,29870.204424238033,29999.96014650196,29999.999960754933,28568.521941363757,29999.762750016947,29999.99669961718,24082.078526100595,29993.20311864794,29999.919943166475,29998.741514591922,29965.683200592073,29544.73586309428,26710.818073802882,20935.433787413127,0.0,0.0,8441.40249422756,0.0,29999.959538740284,29999.7472934824,29992.58787277545,23930.84890459863,28479.598632695088,8441.40249422756,29861.01379937204,15719.582246582095,23930.84890459863,27782.0735869279,20734.450782529995,30000.0,29998.49069097377,6523.0,0.075497685185,10548.0,14940.996596912419,47365788.483338915,2.40104109720174,7611.754946344305,0.5,1585.094681472825,10.0633502131,,
